Regulator	Target	MI	pvalue
ZSCAN20	RBBP5	1.273827332196129	0.020427743803961174
HEYL	CBWD3	1.3862943611198906	0.020427743803961174
ATF4	OFD1	1.1613603032723674	0.020427743803961174
ZNF718	ATP8B1	1.2175938177342482	0.020427743803961174
ZNF334	GIMAP4	1.1051267888104865	0.020427743803961174
MNT	DTX2	1.2105646284265132	3.1915770137835864E-8
DZIP1	GBGT1	1.2175938177342482	0.020427743803961174
ZNF483	PSMF1	1.3394330990683232	2.682259351056704E-4
ZNF446	PPP2R1A	1.34612756507569	3.084223968774502E-6
ZNF37A	MED13L	1.1613603032723674	0.020427743803961174
ZNF391	P2RX2	1.2457105749651887	2.682259351056704E-4
ZBTB41	DOK1	1.34612756507569	3.084223968774502E-6
FOXM1	GLS2	1.1613603032723674	0.020427743803961174
POU2AF1	FKBP3	1.2175938177342482	0.020427743803961174
ZNF229	OAS3	1.3862943611198906	0.020427743803961174
ZNF585A	DCPS	1.273827332196129	0.020427743803961174
HIC1	VPS4A	1.2175938177342482	0.020427743803961174
MYCN	CDH1	1.292571837016756	2.682259351056704E-4
ZNF821	LIN37	1.2175938177342482	0.020427743803961174
ZBTB26	LSM7	1.1613603032723674	0.020427743803961174
IRF1	PPARA	1.33006084665801	0.020427743803961174
FOXO3	DSP	1.3862943611198906	2.682259351056704E-4
NFIL3	SLC7A6OS	1.2175938177342482	0.020427743803961174
ZNF273	NUP210L	1.265793972987289	3.084223968774502E-6
ZNF578	FAHD2A	1.33006084665801	0.020427743803961174
FOSB	NBEAL1	1.34612756507569	3.084223968774502E-6
SREBF2	TAF4	1.3300608466580097	0.020427743803961174
ZNF620	FBXO36	1.2457105749651887	2.682259351056704E-4
ZXDC	SDSL	1.33006084665801	0.020427743803961174
HMG20B	THSD1P1	1.3394330990683232	2.682259351056704E-4
CEBPA	PHOSPHO2	1.1613603032723674	0.020427743803961174
MNT	PAFAH2	1.273827332196129	0.020427743803961174
FOXP1	AKAP10	1.3862943611198906	0.020427743803961174
ZNF513	ABCG2	1.2175938177342482	0.020427743803961174
ZNF385A	IGSF8	1.3300608466580097	0.020427743803961174
SP100	SP140	1.2256271769430884	3.084223968774502E-6
TFAP4	NCALD	1.1854603808988877	3.084223968774502E-6
SOX15	ABCB1	1.3300608466580097	0.020427743803961174
ZNF22	DBF4B	1.2175938177342482	0.020427743803961174
TOPORS	NBR1	1.3862943611198906	0.020427743803961174
ZNF763	LGR4	1.1613603032723674	0.020427743803961174
ZNF211	GNRH2	1.1613603032723674	0.020427743803961174
MESP1	CACNA1F	1.3862943611198906	0.020427743803961174
NKX2-3	SERPINB9	1.273827332196129	0.020427743803961174
TBX19	NR1I2	1.2175938177342482	0.020427743803961174
ZNF620	ZNF502	1.2925718370167558	2.682259351056704E-4
ZNF324B	ING2	1.1051267888104865	2.682259351056704E-4
ZNF529	MAP3K7	1.273827332196129	0.020427743803961174
GTF3A	LRRC61	1.1613603032723674	0.020427743803961174
ZNF683	PDZD4	1.3628637300941069	0.0
ZNF7	ABHD11	1.1613603032723674	0.020427743803961174
ZNF793	PCDHGB5	1.292571837016756	2.682259351056704E-4
RORA	SLC30A4	1.3300608466580097	0.020427743803961174
ELK4	DGKD	1.273827332196129	0.020427743803961174
ZNF200	USP18	1.2175938177342482	0.020427743803961174
CEBPA	NOC3L	1.3300608466580097	0.020427743803961174
ZNF524	CELSR1	1.1613603032723674	0.020427743803961174
KDM5B	FKBP15	1.1613603032723674	0.020427743803961174
ZNF776	RNF103	1.3300608466580097	0.020427743803961174
ZNF467	FARSA	1.2613309956490444	0.0
IRF3	JUP	1.33006084665801	0.020427743803961174
ZNF287	TEKT5	1.3300608466580097	0.020427743803961174
ZSCAN12	FANCF	1.2175938177342482	0.020427743803961174
ZNF534	NBL1	1.3862943611198906	0.020427743803961174
ZNF777	PLOD1	1.3300608466580097	0.020427743803961174
ZNF71	MGST1	1.2256271769430884	3.084223968774502E-6
ZFP3	PIPSL	1.1613603032723674	0.020427743803961174
ZNF721	HDAC4	1.2175938177342482	0.020427743803961174
PPARD	ASTN2	1.1051267888104865	0.020427743803961174
ZNF671	SNRPF	1.33006084665801	0.020427743803961174
KDM5B	OPTN	1.151988050862054	2.682259351056704E-4
SP7	PITX1	1.3862943611198906	0.020427743803961174
ZNF813	RNF10	1.1613603032723674	0.020427743803961174
ELF1	CAND1	1.273827332196129	0.020427743803961174
NACC2	ZNF605	1.1613603032723674	0.020427743803961174
NFAT5	DCTN1	1.1613603032723674	0.020427743803961174
FOXO4	MRPL52	1.3862943611198906	2.682259351056704E-4
YBX1	RPS11	1.2175938177342482	0.020427743803961174
VENTX	NDUFB2	1.2175938177342482	0.020427743803961174
ZNF138	TPSD1	1.2175938177342482	0.020427743803961174
