	mean.x	mean.y	mean.diff	pvalue	logFC
MAR00198	1.32926966	1.35208891	-0.02281925	0.03010361	-0.0245562186243221
MAR00199	1.32911963	1.35193827	-0.02281864	0.02997868	-0.0245583161021016
MAR00200	4.33986553	4.35649992	-0.01663439	0.102833	-0.00551917496283129
MAR00201	0.66796867	0.68929527	-0.0213266	0.03591241	-0.0453416784723564
MAR00202	1.32951109	1.35233436	-0.02282328	0.02997797	-0.0245560857304736
MAR00203	1.32863352	1.35145335	-0.02281982	0.03012216	-0.0245684955770421
MAR00204	0.59736615	0.62133025	-0.0239641	0.08893205	-0.0567448057903384
MAR00205	2.45122633	2.46468835	-0.01346202	0.1231499	-0.00790153585131349
MAR00206	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00207	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00208	1.32863352	1.35145335	-0.02281982	0.03012216	-0.0245684955770421
MAR00209	0.66763203	0.68896563	-0.02133359	0.03602219	-0.0453788434751965
MAR00210	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00211	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00212	1.3286339	1.35145375	-0.02281985	0.03012219	-0.0245685099600164
MAR00213	0.66732612	0.6886601	-0.02133398	0.03586465	-0.0454001178346927
MAR00214	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00215	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00216	1.34016331	1.36132002	-0.02115671	0.04625568	-0.0225974406688028
MAR00217	2.20692686	2.23446161	-0.02753475	0.0547833	-0.0178884402877603
MAR00218	4.48773824	4.49845924	-0.010721	0.07283299	-0.00344242175988248
MAR00219	2.80795526	2.83006571	-0.02211045	0.1015784	-0.0113156017922836
MAR00220	4.38754953	4.40275025	-0.01520072	0.007925525	-0.00498959666228564
MAR00221	1.31286526	1.33373401	-0.02086875	0.03038199	-0.0227521154960736
MAR00222	4.04763987	4.06453609	-0.01689622	0.0427408	-0.00600976314446088
MAR00223	0.67080659	0.69210707	-0.02130049	0.03640265	-0.0450983802109128
MAR00224	1.32958596	1.35243102	-0.02284506	0.02971984	-0.0245779591560379
MAR00225	3.15044468	3.1983395	-0.04789482	0.001696536	-0.0217676103606769
MAR00226	2.20692686	2.23446161	-0.02753475	0.0547833	-0.0178884402877603
MAR00227	4.04763987	4.06453609	-0.01689622	0.0427408	-0.00600976314446088
MAR00228	4.06899191	4.08667067	-0.01767876	0.04115143	-0.00625457443305156
MAR00229	2.35559255	2.3188892	0.03670336	0.2554165	0.0226561283530903
MAR00230	0.66825464	0.6895846	-0.02132996	0.03597483	-0.0453296063097483
MAR00231	1.32878219	1.3515961	-0.02281391	0.03018362	-0.0245594510163376
MAR00232	1.32993965	1.35277274	-0.02283309	0.03030018	-0.0245587125129962
MAR00233	0.66854216	0.68987891	-0.02133675	0.03612319	-0.0453246138739554
MAR00234	0.66795844	0.68928966	-0.02133122	0.03586385	-0.0453520318671876
MAR00235	1.32957623	1.35239926	-0.02282303	0.02974409	-0.024554636809201
MAR00236	1.32864165	1.35146157	-0.02281992	0.03012043	-0.0245684425901335
MAR00237	0.66733374	0.68866741	-0.02133366	0.03586573	-0.0453989580804989
MAR00238	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00239	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00240	1.32863352	1.35145335	-0.02281982	0.03012216	-0.0245684955770421
MAR00241	3.05706931	3.10273869	-0.04566937	0.1128059	-0.0213929380033067
MAR00242	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00243	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00244	1.32863352	1.35145335	-0.02281982	0.03012216	-0.0245684955770421
MAR00245	0.66732453	0.68865852	-0.02133399	0.03586443	-0.0454002452722543
MAR00246	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00247	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
