2260553_BL	2280935_BL	2283265_BL	2410163_BL	2450523_BL	2463247_BL	2480485_BL	2297625_BL	1825001_BL	2247707_BL	2620771_BL	2430935_BL	2295595_BL	2264225_BL	2297941_BL	2151503_BL	2263055_BL	757509_BL	1794247_BL	2010157_BL	2150901_BL	2152641_BL	2163337_BL	2210551_BL	2219711_BL	2292915_BL	2296723_BL	2361361_BL	2361405_BL	2366711_BL	2370233_BL	2382431_BL	2419959_BL	2498789_BL	2502699_BL	2512641_BL	2583919_BL	2616045_BL	4128869_BL	4235533_BL	4259035_BL
ABR	0.366012343749896	0.333099985242052	0.392180492248784	0.19513251025055	0.245435588700472	0.287663399766698	-0.0325975256563268	0.437675920481401	0.111058565149172	0.254171474362195	0.111340531896441	0.184172789366464	0.0438670100290844	0.581479680755804	0.178978441495718	0.0143468064993882	-0.0949425381275589	0.393546779695336	0.382860987638308	0.415525839687413	0.385612162223588	0.185216263760855	-0.0705307973526711	0.048325336963347	0.193075843412568	0.331366162638542	0.143806877327168	0.615063338751084	0.322096404609458	0.611871455768864	0.209269729518561	0.427985386404676	0.189099347052046	0.584652810618159	0.140173812044671	0.273073471632039	0.415731753633423	0.466156694649735	0.182278829515113	0.377606936155095	0.167051494416264
ABRA	-0.0912929836837778	-0.246468201403309	0.310290274774914	-0.185293217542712	-0.0395890574843384	0.0257860386526487	-0.471129994969347	0.0448425387271952	-0.0526862309823466	0.128055443907144	0.289078853735917	0.181196673327816	-0.550932643806348	0.0980917448825519	0.21398790222161	-0.346759831971539	-0.264088086228494	-0.0638910417473084	0.10826663475322	0.0747953070430474	-0.293033784927911	-0.0614458180728018	-0.164307442559642	0.12507565185792	0.0538362832454812	0.427484447414346	-0.0047113450646213	0.154672100395496	-0.0673391222338306	0.199381767272754	-0.0657498275531428	-0.00161179916237632	0.250950548040207	0.128873795826444	-0.276927607407022	-0.0408765964771101	0.0425680897924738	-0.206982373093543	-0.363224439449496	0.210238080473519	0.382497482631922
ABT1	1.62449842926369	0.925954506922411	1.71661488532431	1.96443552540774	1.23649295376028	1.06070786410078	1.55440426991894	0.866922220270285	0.590622190894476	1.03875779716625	1.64973227771045	0.799939447925223	1.37698486699596	1.24829834923774	1.37288935072572	0.818289311234081	1.24755305577697	0.440368843596611	0.8024193593682	1.27580590879826	1.04200162279087	0.701534177668539	1.04613405555138	1.69778535587895	1.30163776044127	0.721158102838978	1.14865858345326	1.75736044759024	0.79890387454938	1.20119973288003	0.781883504581026	1.37456088958418	0.755852215730585	1.29560778658487	0.9964608007383	1.53609060863397	1.0544563602887	1.14633727124416	1.13507544588819	1.61873511956205	0.916438758506557
ACAD8	-1.74118376404139	-1.20695248172793	-1.81916590889472	-1.89265565124114	-1.94301886181481	-2.07459076199679	-2.12660682966029	-1.30753530910669	-1.70178319811107	-1.66806267969167	-2.04449751297826	-1.50855000346556	-1.79469464713439	-1.64820889264864	-1.42285433556114	-3.06929994152955	-2.39438178778917	-2.11077120558373	-2.02370844691629	-2.2567052681508	-2.03539423308319	-1.61060880646507	-1.67683973984022	-2.03637706754917	-1.52531753460797	-1.61506048406249	-1.82876074700335	-0.861889909757279	-1.52797092434197	-1.39849925955336	-1.66464335431081	-1.53687589626915	-1.66056123283163	-1.32218326318191	-1.7743224007932	-1.98847140308401	-1.59833225026433	-2.14518143437232	-1.82442816956722	-1.93303128710663	-1.76979909363378
ACAP1	3.14772310845895	2.21691172997991	3.61102280804729	2.74813793607177	2.41885521135962	2.38218986604128	2.85457574043134	2.33731495233859	1.97307904617669	2.5118243791617	2.78491369227658	2.18346327092153	2.20811358239995	2.66564577736515	2.9046926626261	1.86284637340452	2.1604027904779	2.10715402906081	1.69646887675128	2.68392751140671	2.56959973843984	2.3750946431628	1.99690679236147	2.9462596386431	2.49926961968765	2.15013849953095	2.22386574528883	2.87183120849924	2.2983013609325	2.71706083296203	2.08898091032194	2.65222613205418	2.4022856069985	2.73046394263726	2.12580473369213	2.70429161433183	2.43702061645932	2.41996172914641	2.06275095302995	2.93274325780614	2.69408056210452
ACAP2	2.56004457837185	2.60692544614746	2.68637982070465	2.89773640979961	2.30503368263049	2.45166758031743	2.63186867431947	2.3181319808523	2.20835868486702	2.45851703400503	2.83188223852325	2.97436826494246	2.33474920578895	2.74511977238457	2.45029634797328	3.77903582065705	2.94111169949165	3.43343452458972	3.28069885603163	3.14100952870086	3.00705918151233	2.5377435021966	2.50381527759979	2.67600783890606	2.7841455029609	2.73327348273982	2.43968667415446	2.7900009892534	2.3499906562425	2.85619290124224	2.28903724461099	2.76628234769801	2.80671251202387	2.89908168265977	2.43600185241256	2.4578518921813	2.42002273677075	2.66206497859311	2.35588639970488	2.67455526553187	2.64772657111996
ACAP3	1.90792449402136	1.09815879108557	2.15702848903004	1.48487795441573	1.53749337777048	1.65315820761	1.89657466793011	1.32818456153842	0.915714437919516	1.52141499130173	2.09493578986338	1.46145976123828	1.38964697954264	1.99244208084234	1.98487570866093	0.698782781824194	0.979920313959694	1.37714423217942	0.881142770477838	1.8324442490623	1.1682350898265	1.24123748520447	1.22086319195924	1.97702035060871	1.59125879785841	1.53028783258413	1.30849476152798	2.13992067224935	1.10056760784738	1.90014847276126	1.05597054790347	2.03250145094739	1.40425093993014	1.95623441078799	1.07971967760757	1.69514412262124	1.4972569237007	1.80385866082405	1.12709519001755	2.11861123491213	1.43381117045432
ACIN1	2.45482136120455	1.06170966023801	2.68657135256392	2.22610107347878	1.83968681128759	1.89476032138351	2.72695742923388	1.51985909002816	1.14135145775695	2.00092577902339	2.55286558385872	0.934178690824402	1.58348419052717	2.27721195428742	1.64122416044006	2.34213547698643	1.59029180047146	2.0202103918439	1.39406573698707	2.71356807593589	2.25059411136256	1.29678009494578	1.21192653185211	1.96039475507034	1.38814660628805	1.33899061610378	1.6706297809211	2.184606558524	1.51832705651508	1.98354673948479	1.30883538892168	2.13005135821393	1.27237220739538	2.06066650245061	1.65980875349176	2.05925415379947	1.922810400167	2.14147330951674	1.68771927088491	2.40535426623877	1.60446152579804
ACOT11	-1.08883543535076	-1.14216623872251	-0.928290167690856	-0.660887521695813	-0.532450723261847	-0.650953933568424	-0.647435139745993	-1.237399244772	-1.08793052927311	-1.4435751944979	-0.532457790045985	-1.47362202699781	-0.548841853896296	-1.44943123645017	-1.34714422335463	-1.86995493845549	-0.387663023992672	-2.13546645098538	-0.840194234211719	-1.54945030257147	-1.12494645047593	-1.45511770944241	-1.0582977888296	-0.898538194363869	-1.38735612791805	-1.30379061950755	-1.19722547829836	-1.01243891862248	-0.986916286422298	-1.33000010723827	-0.909020450966992	-1.14176918109325	-1.03811598597902	-0.861014333363066	-0.985019117025283	-0.388161329618988	-0.890157232782337	-1.09403569859719	-0.72100880544421	-0.949869252222538	-0.776484759113906
ACSL6	-1.20665288192423	2.05832435374441	-1.59107591249382	-1.92994510599758	0.326327670070353	0.0066970602351656	-2.15880553554556	1.11359058630079	2.10879292121806	0.64918350643484	-0.999849054908278	0.924237080235239	1.10113422352076	-0.23479029856699	-1.06861852135734	-0.45809365521038	0.792449255431051	-0.362980756569243	0.270467297555389	-1.04065537039057	0.397130822610277	1.49902364552313	0.926888078982161	-0.134766113231612	0.591862529658015	-0.800792045719439	0.356337276687646	-0.43790792342102	1.05879134313131	-0.272913726426494	1.79083437128033	-0.241212572148904	1.69807753479385	-0.00451970607259839	1.85124394227444	0.407215843906923	1.21693772824434	-0.859080140897464	1.92510902823821	-1.0399202071319	1.45156135481587
