"name"	"mIDH2"	"Cluster_NR"	"distance"
"36"	"AB019440.50"	0.267910494159235	0.282888021960566	0.026
"37"	"ABAT"	0.526586670446594	0.578593906284493	0.0426
"38"	"ABCA1"	0.856668692640944	0.860135972011654	-0.0022
"39"	"ABCA10"	0.467961559808788	0.497258898702666	0.029
"40"	"ABCA11P"	0.471639877457101	0.515473732836093	0.0389
"41"	"ABCA12"	0.430561524164651	0.425638276337812	0.0067
"42"	"ABCA13"	0.456610336960471	0.485187736120224	0.0289
"43"	"ABCA17P"	0.428690398578839	0.459164880190143	0.0311
"44"	"ABCA2"	0.667505395614599	0.696832890122743	0.0221
"45"	"ABCA3"	0.598965785181025	0.589455771158564	-0.0023
"46"	"ABCA4"	0.567859664441795	0.577992926743837	0.0123
"47"	"ABCA5"	0.507306994027211	0.524657608221816	0.0194
"48"	"ABCA6"	0.405725375513857	0.446276747464773	0.0389
"49"	"ABCA7"	0.563563873329468	0.568839449602109	0.0091
"50"	"ABCA8"	0.644234309314584	0.652670570435615	0.0085
"51"	"ABCA9"	0.410999680272497	0.426894621179103	0.0217
"52"	"ABCA9-AS1"	0.276801763085299	0.297117234609091	0.0294
"53"	"ABCB1"	0.820700335189549	0.826020725875787	3e-04
"54"	"ABCB10"	0.449002220979206	0.48695109327264	0.0356
"55"	"ABCB11"	0.795705439239931	0.801922722223573	0.0018
"56"	"ABCB4"	0.732629130812193	0.739234808294566	0.0042
"57"	"ABCB5"	0.437754993462569	0.37917339910652	-0.0306
"58"	"ABCB6"	0.590302276836524	0.552929656936287	-0.0212
"59"	"ABCB7"	0.484940956732493	0.466545160008654	-0.0045
"60"	"ABCB8"	0.426574335467508	0.455883989253072	0.0304
"61"	"ABCB9"	0.431392512632704	0.461019056462941	0.0305
"62"	"ABCC1"	0.789316239615597	0.791467235840924	-8e-04
"63"	"ABCC10"	0.463439065374996	0.446444118161965	-0.0028
"64"	"ABCC11"	0.693197895997195	0.698471085789502	0.0047
"65"	"ABCC12"	0.389475268656936	0.425544410862099	0.0363
"66"	"ABCC13"	0.394271793920429	0.410976240248377	0.0228
"67"	"ABCC2"	0.802540683096316	0.808097603250911	0.0011
"68"	"ABCC3"	0.823955470067482	0.828159238810984	-6e-04
"69"	"ABCC4"	0.767727609450482	0.770844943369628	6e-04
"70"	"ABCC5"	0.662848368563934	0.67049597710806	0.0073
"71"	"ABCC5-AS1"	0.271524324057408	0.283259526155097	0.0236
"72"	"ABCC6"	0.39556819871101	0.456526188814344	0.0533
"73"	"ABCC6P1"	0.442944505189814	0.453157652039266	0.0167
"74"	"ABCC6P2"	0.407176034243632	0.427289324581627	0.0247
"75"	"ABCC8"	0.465758784001268	0.479261680936807	0.0182
"76"	"ABCC9"	0.446308495699483	0.4283039788156	-0.0029
"77"	"ABCD1"	0.695374357571152	0.706979920617405	0.009
"78"	"ABCD2"	0.62012033123657	0.624104706239577	0.0063
"79"	"ABCD3"	0.677892539818454	0.686447281093047	0.0075
"80"	"ABCD4"	0.62903987076879	0.630631971063923	0.0043
"81"	"ABCE1"	0.716539270011555	0.722926126947358	0.0046
"82"	"ABCF1"	0.622086088962592	0.634511342336269	0.012
"83"	"ABCF2"	0.546436856906006	0.568262020184352	0.0211
"84"	"ABCF3"	0.639589111875887	0.654858118651887	0.0134
"85"	"ABCG1"	0.525064866093538	0.529646809249889	0.01
"86"	"ABCG2"	0.779702462082182	0.780356411881602	-0.0015
"87"	"ABCG4"	0.46411849382887	0.474896733725373	0.0163
"88"	"ABCG5"	0.414297092237951	0.477744979285447	0.0544
"89"	"ABCG8"	0.453208014926564	0.509320915523934	0.048
"90"	"ABHD1"	0.388421029580932	0.422641638477479	0.0351
"91"	"ABHD10"	0.403341788510599	0.461095529116759	0.0508
"92"	"ABHD11"	0.479610055006782	0.456338734664565	-0.0077
"93"	"ABHD12"	0.62598752875939	0.64702053107439	0.0178
"94"	"ABHD12B"	0.408817982625573	0.532980461411199	0.0964
"95"	"ABHD13"	0.396889060971191	0.415399405404178	0.024
"96"	"ABHD14A"	0.467635002904622	0.498573293794749	0.0301
"97"	"ABHD14A-ACY1"	0.331545131299372	0.346767554870719	0.024
"98"	"ABHD14B"	0.464558272791458	0.50074503297054	0.0338
"99"	"ABHD15"	0.430003868069183	0.46951962283515	0.0373
"100"	"ABHD2"	0.464794195333053	0.462783719384536	0.0075
"101"	"ABHD3"	0.417149310810788	0.456038551820149	0.0373
"102"	"ABHD4"	0.555790555933831	0.563988287188925	0.0114
"103"	"ABHD5"	0.635949648513755	0.636499806646503	0.0034
"104"	"ABHD6"	0.622448990375708	0.658062775361309	0.028
"105"	"ABHD8"	0.489267582528183	0.523187016175871	0.0314
"106"	"ABI1"	0.651650522391163	0.66212484789001	0.0097
"107"	"ABI2"	0.517950420190047	0.540187337878574	0.0224
"108"	"ABI3"	0.403297149647565	0.459412155311611	0.0497
"109"	"ABI3BP"	0.460389191410574	0.51397174489743	0.046
"110"	"ABL1"	0.659737527141487	0.67011291877931	0.0093
"111"	"ABL2"	0.514647990100552	0.526203827152428	0.0151
"112"	"ABLIM1"	0.568771706753692	0.582399636611981	0.0147
"113"	"ABLIM2"	0.637486665245221	0.644041228674211	0.0075
"114"	"ABLIM3"	0.538809953345744	0.543602982456392	0.0096
"115"	"ABO"	0.682918535663107	0.693005558579697	0.0083
"116"	"ABR"	0.419918015645182	0.446227241057159	0.0286
"117"	"ABRA"	0.425085249936993	0.457461682999729	0.0326
"118"	"ABRAXAS1"	0.501708518278942	0.514956006263293	0.0168
"119"	"ABRAXAS2"	0.367333944954909	0.381576683939286	0.0221
