node	layer	module	flow	log_flow	nodeLabel	DNA_methylation_logFC	DNA_methylation_P.Value	GRN_size	GRN_nes	GRN_pval	GRN_pval.fdr	fPPI_IDH2_vs_IDH1_diff	fPPI_IDH2_vs_IDH1_p.val	Metabolism_pvalue	Metabolism_mean.diff
7741	3	191	0	Inf	frag_381912	0	1	0	0	1	NA	NA	NA	NA	NA
7742	3	191	0	Inf	frag_381915	0	1	0	0	1	NA	NA	NA	NA	NA
7743	3	191	0	Inf	frag_381917	0	1	0	0	1	NA	NA	NA	NA	NA
7744	3	191	0	Inf	frag_381918	0	1	0	0	1	NA	NA	NA	NA	NA
7745	3	191	0	Inf	frag_381925	0	1	0	0	1	NA	NA	NA	NA	NA
7746	3	191	0	Inf	frag_381926	0	1	0	0	1	NA	NA	NA	NA	NA
7747	3	191	0	Inf	frag_381927	0	1	0	0	1	NA	NA	NA	NA	NA
7748	3	191	0	Inf	frag_381928	0	1	0	0	1	NA	NA	NA	NA	NA
7749	3	191	0	Inf	frag_381932	0	1	0	0	1	NA	NA	NA	NA	NA
7750	3	603	0	Inf	frag_38195	0	1	0	0	1	NA	NA	NA	NA	NA
7751	3	603	0	Inf	frag_38198	0	1	0	0	1	NA	NA	NA	NA	NA
7752	3	603	0	Inf	frag_38199	0	1	0	0	1	NA	NA	NA	NA	NA
7753	3	603	0	Inf	frag_38206	0	1	0	0	1	NA	NA	NA	NA	NA
7754	3	603	0	Inf	frag_38213	0	1	0	0	1	NA	NA	NA	NA	NA
7755	3	603	0	Inf	frag_38214	0	1	0	0	1	NA	NA	NA	NA	NA
7756	3	603	0	Inf	frag_38225	-0.126869953115496	0.00113944822852369	0	0	1	NA	NA	NA	NA	NA
7757	3	603	0	Inf	frag_38227	-0.124450334170343	0.0244405679739628	0	0	1	NA	NA	NA	NA	NA
7758	3	603	0	Inf	frag_38232	0.1627671120255	0.0240399257276179	0	0	1	NA	NA	NA	NA	NA
7759	3	247	0	Inf	frag_38233	0	1	0	0	1	NA	NA	NA	NA	NA
7760	3	247	0	Inf	frag_38246	0	1	0	0	1	NA	NA	NA	NA	NA
7761	3	247	0	Inf	frag_38247	0	1	0	0	1	NA	NA	NA	NA	NA
7762	3	247	0	Inf	frag_38248	0	1	0	0	1	NA	NA	NA	NA	NA
7763	3	1923	0	Inf	frag_382487	0.11572743439108	0.0417149381729296	0	0	1	NA	NA	NA	NA	NA
7764	3	247	0	Inf	frag_38249	0	1	0	0	1	NA	NA	NA	NA	NA
7765	3	247	0	Inf	frag_38250	0	1	0	0	1	NA	NA	NA	NA	NA
7766	3	247	0	Inf	frag_38251	0	1	0	0	1	NA	NA	NA	NA	NA
7767	3	247	0	Inf	frag_38252	0	1	0	0	1	NA	NA	NA	NA	NA
7768	3	247	0	Inf	frag_38253	0	1	0	0	1	NA	NA	NA	NA	NA
