"TF"	"size"	"nes"	"pval"	"pval.fdr"
"GATA2"	39	1.60976559809394	0.107449038123207	0.33837021654589
"FLI1"	13	1.59254498952396	0.111262302713569	0.342666056259143
"MAX"	52	1.59160417875722	0.11147367056442	0.342666056259143
"RUNX1"	20	1.59070189045671	0.111676681287799	0.342666056259143
"PITX1"	16	-1.58390608648224	0.113215092117115	0.344062164160029
"NFIC"	27	1.57856526728558	0.114435806621179	0.344062164160029
"ZBTB7A"	84	1.57099953656888	0.116182756436689	0.344062164160029
"STAT5A"	21	-1.5704012384051	0.116321794543731	0.344062164160029
"CREB3"	22	1.56781791645439	0.116923632388645	0.344062164160029
"SP1"	315	-1.55823365622371	0.119177869395891	0.34784435051321
"SETBP1"	3	-1.55286953907268	0.120454305330899	0.348734642046715
"NFE2L1"	28	1.54807258589752	0.121604821514343	0.349249047389193
"GABPA"	50	1.53936710190136	0.12371470074233	0.352488710845209
"ZHX1"	432	1.53260815114791	0.125372431915362	0.354399236674135
"MEIS1"	48	1.52324733880293	0.127696836697639	0.358149721675408
"KLF6"	47	-1.51923081020529	0.128704408586972	0.358177385137388
"MITF"	34	1.50420184017089	0.132529404097122	0.360876981967168
"SOX6"	28	-1.50345658851895	0.132721343454045	0.360876981967168
"NRF1"	70	1.50278148596018	0.132895401679007	0.360876981967168
"STAT1"	281	1.49968749174075	0.133695372149396	0.360876981967168
"CEBPB"	41	-1.4858666352189	0.137314400349126	0.364252869275086
"STAT4"	10	1.48533771711688	0.137454385360014	0.364252869275086
"PDX1"	46	1.48304820988674	0.138061602481823	0.364252869275086
"WT1"	29	-1.47454437444612	0.140335079252056	0.364252869275086
"FOXK2"	48	1.45619007734215	0.145340081788427	0.364252869275086
"OTX2"	24	1.45430694776196	0.145861225081163	0.364252869275086
"TFAP4"	38	1.45328847239871	0.146143676580105	0.364252869275086
"AR"	130	1.45321077329972	0.146165241870063	0.364252869275086
"TFDP1"	12	1.45280106403431	0.146278996453923	0.364252869275086
"ERG"	12	1.45020647181632	0.147000950873052	0.364252869275086
"SPI1"	101	1.44704683147667	0.147883807661459	0.364252869275086
