"name"	"mIDH2"	"mIDH1"	"distance"
"112"	"15-deoxy-prostaglandin"	0.278017981934889	0.278530639657308	0.0031
"113"	"15-epi-lipoxin"	0.258558816669917	0.258837177778827	0.0032
"114"	"15-keto-prostaglandin"	0	0	0.0063
"115"	"15-oxo-lipoxin"	0.285920324535254	0.285590574664978	0.0024
"116"	"15-oxo-prostaglandin"	0	0	0.0063
"117"	"16-5-5"	0.19884681982704	0.200781915448396	0.0051
"118"	"16-hydroxyhexadecanoic"	0.410252131946153	0.411819641006677	0.0022
"119"	"17alpha-hydroxypregnenolone"	0.278873240974638	0.278530639657308	0.0025
"120"	"2,3-Epoxy-Alpha-Tocopheryl"	0.0662935666612312	0.0657225093646262	0.005
"121"	"2,3-dihydro-2-S-glutathionyl-3-hydroxy"	0	0	0.0063
"122"	"2,4,7,10,13,16,19-Docosaheptenoyl"	0	0	0.0063
"123"	"2,4,7,10,13,16-Docosahexenoyl"	0	0	0.0063
"124"	"2,4,7,10,13-Hexadecapentaenoyl"	0	0	0.0063
"125"	"2,4,7,10-Hexadecatetraenoyl"	0	0	0.0063
"126"	"2,4,7-Decatrienoyl"	0	0	0.0063
"127"	"2,5,8,11,14-Eicosapentaenoyl"	0	0	0.0063
"128"	"2,5-diaminopyrimidine"	0.230952268046636	0.236660763392106	0.0073
"129"	"2,6,10-Trimethyl"	0	0	0.0063
"130"	"2,6,9,12,15-Octadecapentenoyl"	0	0	0.0063
"131"	"2,6,9,12-Octadecatetraenoyl"	0	0	0.0063
"132"	"2,6,9-Dodecatrienoyl"	0	0	0.0063
"133"	"2,6-Dodecadienoyl"	0	0	0.0063
"134"	"2,7,10,13,16,19-Docosahexenoyl"	0	0	0.0063
"135"	"2,7,10,13,16-Docosapentenoyl"	0	0	0.0063
"136"	"2,7,10,13-Hexadecatetraenoyl"	0	0	0.0063
"137"	"2,7,10-Hexadecatrienoyl"	0	0	0.0063
"138"	"2,7-Decadienoyl"	0	0	0.0063
"139"	"2-(S-glutathionyl)acetyl"	0	0	0.0063
"140"	"2-Hydroxyadipic"	0.433238160310158	0.438070362990583	0.0042
"141"	"2-Methyl-3-Oxo-Valeryl"	0.227246157115528	0.234570887863795	0.0085
"142"	"2-amino-3-carboxymuconate"	0	0	0.0063
"143"	"2-aminoadipate"	0.280819389544138	0.280549981370313	0.0025
"144"	"2-aminomuconate"	0	0	0.0063
"145"	"2-hydroxy"	0.381955756969149	0.380805221768835	6e-04
"146"	"2-hydroxy-atorvastatin-acid"	0.347351830952759	0.347160628008076	0.0017
"147"	"2-hydroxy-atorvastatin-lactone"	0.336937119821782	0.337135802034235	0.0021
"148"	"2-lysolecithin"	0.230189401474406	0.23489684081778	0.0067
"149"	"2-methoxy-6-all"	0	0	0.0063
"150"	"2-methylglutaconic"	0	0	0.0063
"151"	"20-OH-hepoxilin"	0	0	0.0063
"152"	"20alpha,22beta"	0	0	0.0063
"153"	"23S,25,26-trihydroxyvitamin"	0	0	0.0063
"154"	"23s,25-dihydroxyvitamin"	0	0	0.0063
"155"	"24(R),25(R)-Varanoyl"	0.267441982116096	0.266930999585	0.0025
"156"	"24,25,26,27-Tetranor-23-Oxo-Hydroxyvitamin"	0	0	0.0063
"157"	"24-Oxo-25(R)-Trihydroxycoprostanoyl"	0.2523301276675	0.251932141481822	0.0028
"158"	"24-oxo-1alpha,23,25-trihydroxyvitamin"	0	0	0.0063
"159"	"24-oxo-1alpha,25-dihydroxyvitamin"	0	0	0.0063
"160"	"24R,25-dihyoxyvitamin"	0.278873240974638	0.278530639657308	0.0025
"161"	"25-hydroxyvitamin"	0.402027271159846	0.401294766836887	7e-04
"162"	"285464"	0.401337591843192	0.442199170522884	0.0298
"163"	"3''-hydroxy-lovastatin"	0.278873240974638	0.278530639657308	0.0025
"164"	"3',5'-dihydrodiol-simvastatin-lactone"	0.278873240974638	0.278530639657308	0.0025
"165"	"3'-alpha,5'beta-dihydroxy-pravastatin"	0.382162408441783	0.382893779435495	0.0019
"166"	"3'-hydroxy-iso-delta-4',5'-hydroxy"	0.278873240974638	0.278530639657308	0.0025
"167"	"3'-hydroxy-simvastatin-acid"	0.278873240974638	0.278530639657308	0.0025
"168"	"3'-hydroxy-simvastatin-lactone"	0.146932459738424	0.147624916318745	0.0049
"169"	"3(S)-2-Hydroxyphytanoyl"	0	0	0.0063
"170"	"3(S)-3-Hydroxydodecen-(5Z)-Oyl"	0.267441982116096	0.266930999585	0.0025
"171"	"3(S)-Hydroxy-Cis-9-Octadecenoyl"	0.200170868754883	0.209010959656172	0.0099
"172"	"3(S)-Phytanoyl"	0.244388092533589	0.245370892497889	0.0039
"173"	"3,4-dihydro-3-hydroxy-4-S-glutathionyl"	0	0	0.0063
"174"	"3,6,9,12,15-Octadecapentenoyl"	0	0	0.0063
"175"	"3,6,9,12-Octadecatetraenoyl"	0	0	0.0063
"176"	"3,6,9-Dodecatrienoyl"	0	0	0.0063
"177"	"3,6-Dodecadienoyl"	0	0	0.0063
"178"	"3,7,10,13,16,19-Docosahexenoyl"	0	0	0.0063
"179"	"3,7,10,13,16-Docosapentenoyl"	0	0	0.0063
