A	B	scaled_weight
cholesterol-ester-trico[l]	MAR03569	0.705546797061277
H2O[l]	MAR03569	0.705546797061277
cholesterol-ester-tetraco[l]	MAR03570	0.705546797061099
H2O[l]	MAR03570	0.705546797061099
cholesterol-ester-15-tetra[l]	MAR03571	0.705546797061109
H2O[l]	MAR03571	0.705546797061109
cholesterol-ester-hexacosa[l]	MAR03572	0.705546797061058
H2O[l]	MAR03572	0.705546797061058
cholesterol-ester-hexecose[l]	MAR03573	0.705546797061074
H2O[l]	MAR03573	0.705546797061074
cholesterol-ester-linolen[l]	MAR03574	0.705546797061085
H2O[l]	MAR03574	0.705546797061085
cholesterol-ester-6,9,12,15-octa[l]	MAR03575	0.705546797061114
H2O[l]	MAR03575	0.705546797061114
cholesterol-ester-8,11,14,17-eico[l]	MAR03576	0.705546797061115
H2O[l]	MAR03576	0.705546797061115
cholesterol-ester-5,8,11,14,17-eico[l]	MAR03577	0.705546797061505
H2O[l]	MAR03577	0.705546797061505
cholesterol-ester-7,10,13,16,19-docosa[l]	MAR03578	0.705546797059345
H2O[l]	MAR03578	0.705546797059345
cholesterol-ester-9,12,15,18,21-tetra[l]	MAR03579	0.705546797061102
H2O[l]	MAR03579	0.705546797061102
cholesterol-ester-6,9,12,15,18,21-tetra[l]	MAR03580	0.705546797061111
H2O[l]	MAR03580	0.705546797061111
cholesterol-ester-4,7,10,13,16,19-doco[l]	MAR03581	0.70554679706103
H2O[l]	MAR03581	0.70554679706103
cholesterol-ester-11,14,17-eico[l]	MAR03582	0.7055467970611
H2O[l]	MAR03582	0.7055467970611
cholesterol-ester-13,16,19-doco[l]	MAR03583	0.7055467970611
H2O[l]	MAR03583	0.7055467970611
cholesterol-ester-10,13,16,19-docosa[l]	MAR03584	0.705546797061103
H2O[l]	MAR03584	0.705546797061103
cholesterol-ester-12,15,18,21-tetracosa[l]	MAR03585	0.7055467970611
H2O[l]	MAR03585	0.7055467970611
cholesterol-ester-lin[l]	MAR03586	0.705546797061086
H2O[l]	MAR03586	0.705546797061086
cholesterol-ester-gamma-lin[l]	MAR03587	0.705546797061104
H2O[l]	MAR03587	0.705546797061104
cholesterol-ester-dihomo-gamma[l]	MAR03588	0.705546797061097
H2O[l]	MAR03588	0.705546797061097
cholesterol-ester-arach[l]	MAR03589	0.705546797061141
H2O[l]	MAR03589	0.705546797061141
cholesterol-ester-7,10,13,16-docosa[l]	MAR03590	0.705546797061108
H2O[l]	MAR03590	0.705546797061108
cholesterol-ester-9,12,15,18-tetraco[l]	MAR03591	0.705546797061089
H2O[l]	MAR03591	0.705546797061089
cholesterol-ester-6,9,12,15,18-tetraco[l]	MAR03592	0.70554679706113
H2O[l]	MAR03592	0.70554679706113
