node	mux	agg	layer1	layer2	layer3	layer4
288	0.5	2	1	0	0	0
289	4.1	16.4	8.2	0	0	0
290	3.8	15.2	7.6	0	0	0
291	5.5	22	11	0	0	0
292	34.4	137.6	68.7999999999999	0	0	0
293	2.2	8.8	4.4	0	0	0
294	5.6	22.4	11.2	0	0	0
295	5.9	23.6	11.8	0	0	0
296	5	20	10	0	0	0
297	1.9	7.6	3.8	0	0	0
298	0.2	0.8	0.4	0	0	0
299	3	12	6	0	0	0
300	0.7	2.8	1.4	0	0	0
301	0.9	3.6	1.8	0	0	0
302	3.6	14.4	7.2	0	0	0
303	14.3	57.2	28.6	0	0	0
304	9.5	38	19	0	0	0
305	0.2	0.8	0.4	0	0	0
306	2.4	9.6	4.8	0	0	0
307	0.2	0.8	0.4	0	0	0
308	0.2	0.8	0.4	0	0	0
309	1.3	5.2	2.6	0	0	0
310	2.3	9.2	4.6	0	0	0
311	4.5	18	9	0	0	0
312	3.8	15.2	7.6	0	0	0
313	1.4	5.6	2.8	0	0	0
314	1.7	6.8	3.4	0	0	0
315	2.8	11.2	5.6	0	0	0
316	0.4	1.6	0.8	0	0	0
317	7.2	28.8	14.4	0	0	0
318	0.8	3.2	1.6	0	0	0
319	9.2	36.8	18.4	0	0	0
320	1.4	5.6	2.8	0	0	0
321	0.4	1.6	0.8	0	0	0
322	14.2	56.7999999999999	28.4	0	0	0
323	0.2	0.8	0.4	0	0	0
324	3.2	12.8	6.4	0	0	0
325	1	4	2	0	0	0
326	12.4	49.6	24.8	0	0	0
327	0.2	0.8	0.4	0	0	0
328	0.4	1.6	0.8	0	0	0
329	1.3	5.2	2.6	0	0	0
330	11.1	44.4	22.2	0	0	0
331	1.7	6.8	3.4	0	0	0
332	1.5	6	3	0	0	0
333	6.4	25.6	12.8	0	0	0
334	4.8	19.2	9.6	0	0	0
335	10.6	42.4	21.2	0	0	0
336	11.7	46.8	23.4	0	0	0
337	0.2	0.8	0.4	0	0	0
338	0.4	1.6	0.8	0	0	0
339	1.8	7.2	3.6	0	0	0
340	0.5	2	1	0	0	0
341	0.2	0.8	0.4	0	0	0
342	13.5	54	27	0	0	0
343	6.8	27.2	13.6	0	0	0
344	20.1	80.4	40.2	0	0	0
345	26.6	106.4	53.2	0	0	0
346	4.9	19.6	9.8	0	0	0
347	7.4	29.6	14.8	0	0	0
348	3.4	13.6	6.8	0	0	0
349	16.3	65.2	32.6	0	0	0
350	19.1	76.4	38.2	0	0	0
351	1.2	4.8	2.4	0	0	0
352	5.3	21.2	10.6	0	0	0
353	1.5	6	3	0	0	0
354	3.2	12.8	6.4	0	0	0
355	1	4	2	0	0	0
356	3.4	13.6	6.8	0	0	0
357	5.4	21.6	10.8	0	0	0
358	5.2	20.8	10.4	0	0	0
359	2	8	4	0	0	0
360	0.4	1.6	0.8	0	0	0
361	0.4	1.6	0.8	0	0	0
362	4.8	19.2	9.6	0	0	0
363	0.2	0.8	0.4	0	0	0
364	1.6	6.4	3.2	0	0	0
365	9	36	18	0	0	0
366	0.4	1.6	0.8	0	0	0
367	2.2	8.8	4.4	0	0	0
368	6.1	24.4	12.2	0	0	0
369	0.2	0.8	0.4	0	0	0
370	20	79.9999999999999	40	0	0	0
371	2.4	9.6	4.8	0	0	0
372	4.3	17.2	8.6	0	0	0
373	6.8	27.2	13.6	0	0	0
374	7.4	29.6	14.8	0	0	0
375	0.9	3.6	1.8	0	0	0
376	5.5	22	11	0	0	0
377	1.5	6	3	0	0	0
378	3	12	6	0	0	0
379	3.2	12.8	6.4	0	0	0
380	3.5	14	7	0	0	0
381	7.9	31.6	15.8	0	0	0
382	7.6	30.4	15.2	0	0	0
383	17.3	69.2	34.6	0	0	0
384	0.2	0.8	0.4	0	0	0
385	0.2	0.8	0.4	0	0	0
386	6.5	26	13	0	0	0
387	2.6	10.4	5.2	0	0	0
388	1.4	5.6	2.8	0	0	0
389	10.2	40.8	20.4	0	0	0
390	0.5	2	1	0	0	0
391	27.4	109.6	54.8	0	0	0
392	29.7	118.8	59.3999999999999	0	0	0
393	38.8	155.2	77.6	0	0	0
394	41.5	166	83.0000000000001	0	0	0
395	54.3000000000001	217.200000000001	108.6	0	0	0
396	16.4	65.6	32.8	0	0	0
397	15.7	62.8	31.4	0	0	0
398	1.9	7.6	3.8	0	0	0
399	4.6	18.4	9.2	0	0	0
400	26.9	107.6	53.7999999999999	0	0	0
401	25.3	101.2	50.5999999999999	0	0	0
402	29.5	118	58.9999999999999	0	0	0
403	4.2	16.8	8.4	0	0	0
404	2	8	4	0	0	0
405	10.7	42.8	21.4	0	0	0
406	4.7	18.8	9.4	0	0	0
407	0.5	2	1	0	0	0
408	13.1	52.4	26.2	0	0	0
409	13.1	52.4	26.2	0	0	0
410	12.4	49.6	24.8	0	0	0
411	2.3	9.2	4.6	0	0	0
412	2.2	8.8	4.4	0	0	0
413	8.6	34.4	17.2	0	0	0
414	16.2	64.8	32.4	0	0	0
415	29.5	118	58.9999999999999	0	0	0
416	12.4	49.6	24.8	0	0	0
417	11.9	47.6	23.8	0	0	0
418	15.1	60.4	30.2	0	0	0
419	20.1	80.4	40.2	0	0	0
420	1.8	7.2	3.6	0	0	0
421	2	8	4	0	0	0
422	1	4	2	0	0	0
423	1.4	5.6	2.8	0	0	0
424	2.9	11.6	5.8	0	0	0
425	2.6	10.4	5.2	0	0	0
426	2.7	10.8	5.4	0	0	0
427	5.2	20.8	10.4	0	0	0
428	1.4	5.6	2.8	0	0	0
429	1.5	6	3	0	0	0
430	4.6	18.4	9.2	0	0	0
431	11.3	45.2	22.6	0	0	0
432	3.3	13.2	6.6	0	0	0
433	15.1	60.4	30.2	0	0	0
434	1.1	4.4	2.2	0	0	0
435	3.4	13.6	6.8	0	0	0
436	0.6	2.4	1.2	0	0	0
437	4.8	19.2	9.6	0	0	0
438	10.7	42.8	21.4	0	0	0
439	9.5	38	19	0	0	0
440	15.3	61.1999999999999	30.6	0	0	0
441	1.7	6.8	3.4	0	0	0
442	1.8	7.2	3.6	0	0	0
443	1.8	7.2	3.6	0	0	0
444	2.9	11.6	5.8	0	0	0
445	3.6	14.4	7.2	0	0	0
446	12.1	48.4	24.2	0	0	0
447	13.4	53.6	26.8	0	0	0
448	0.4	1.6	0.8	0	0	0
449	6.1	24.4	12.2	0	0	0
450	5	20	10	0	0	0
451	3.8	15.2	7.6	0	0	0
452	4	16	8	0	0	0
453	2.4	9.6	4.8	0	0	0
454	8.9	35.6	17.8	0	0	0
455	13.4	53.6	26.8	0	0	0
456	14.3	57.2	28.6	0	0	0
457	17.9	71.6	35.8	0	0	0
458	0.4	1.6	0.8	0	0	0
459	2	8	4	0	0	0
460	9.5	38	19	0	0	0
461	10	40	20	0	0	0
462	8.1	32.4	16.2	0	0	0
463	5.6	22.4	11.2	0	0	0
464	30.1	120.4	60.2	0	0	0
465	14.1	56.4	28.2	0	0	0
466	1	4	2	0	0	0
467	0.5	2	1	0	0	0
468	1.4	5.6	2.8	0	0	0
469	20.6	82.3999999999999	41.2	0	0	0
470	3.6	14.4	7.2	0	0	0
471	10.4	41.6	20.8	0	0	0
472	0.6	2.4	1.2	0	0	0
473	5.4	21.6	10.8	0	0	0
474	21.6	86.4	43.2	0	0	0
475	8.2	32.8	16.4	0	0	0
476	3.5	14	7	0	0	0
477	9.5	38	19	0	0	0
478	4.6	18.4	9.2	0	0	0
479	2.9	11.6	5.8	0	0	0
480	1.2	4.8	2.4	0	0	0
481	9.2	36.8	18.4	0	0	0
482	5.1	20.4	10.2	0	0	0
483	2.7	10.8	5.4	0	0	0
484	0.6	2.4	1.2	0	0	0
485	2.5	10	5	0	0	0
486	2.6	10.4	5.2	0	0	0
487	1.9	7.6	3.8	0	0	0
488	5.4	21.6	10.8	0	0	0
489	2.5	10	5	0	0	0
490	7	28	14	0	0	0
491	0.2	0.8	0.4	0	0	0
492	1.9	7.6	3.8	0	0	0
493	1.5	6	3	0	0	0
494	1.5	6	3	0	0	0
495	4.4	17.6	8.8	0	0	0
496	12.9	51.6	25.8	0	0	0
497	4.1	16.4	8.2	0	0	0
498	5.8	23.2	11.6	0	0	0
499	6	24	12	0	0	0
500	3.2	12.8	6.4	0	0	0
501	0.4	1.6	0.8	0	0	0
502	0.2	0.8	0.4	0	0	0
503	1	4	2	0	0	0
504	2.4	9.6	4.8	0	0	0
505	1.5	6	3	0	0	0
506	2.2	8.8	4.4	0	0	0
507	6.8	27.2	13.6	0	0	0
508	10.7	42.8	21.4	0	0	0
509	7.9	31.6	15.8	0	0	0
510	10.7	42.8	21.4	0	0	0
511	6.5	26	13	0	0	0
512	2.6	10.4	5.2	0	0	0
513	9.1	36.4	18.2	0	0	0
514	5.8	23.2	11.6	0	0	0
515	2.9	11.6	5.8	0	0	0
516	10.4	41.6	20.8	0	0	0
517	14.1	56.4	28.2	0	0	0
518	2.5	10	5	0	0	0
519	2.1	8.4	4.2	0	0	0
520	3.3	13.2	6.6	0	0	0
521	4.7	18.8	9.4	0	0	0
522	5.7	22.8	11.4	0	0	0
523	10	40	20	0	0	0
524	8.9	35.6	17.8	0	0	0
525	7.5	30	15	0	0	0
526	0.9	3.6	1.8	0	0	0
527	2.6	10.4	5.2	0	0	0
528	14.6	58.3999999999999	29.2	0	0	0
529	3.9	15.6	7.8	0	0	0
530	9.2	36.8	18.4	0	0	0
531	13.3	53.2	26.6	0	0	0
532	5.7	22.8	11.4	0	0	0
533	11.5	46	23	0	0	0
534	11.2	44.8	22.4	0	0	0
535	7.6	30.4	15.2	0	0	0
536	6.4	25.6	12.8	0	0	0
537	3.4	13.6	6.8	0	0	0
538	2	8	4	0	0	0
539	5.4	21.6	10.8	0	0	0
540	4.7	18.8	9.4	0	0	0
541	3.8	15.2	7.6	0	0	0
542	5.3	21.2	10.6	0	0	0
543	23.1	92.3999999999999	46.2	0	0	0
544	25.3	101.2	50.5999999999999	0	0	0
545	11.3	45.2	22.6	0	0	0
