node	agg	layer1	layer2	layer3	layer4
17353	289	0	35	258	0
6237	288	0	102	201	0
8226	288	0	71	232	0
8572	288	0	98	215	0
6441	287	0	204	106	0
7764	287	0	230	99	0
8154	287	0	104	187	0
11207	287	0	60	236	0
6731	286	0	142	166	0
6917	286	0	210	94	0
7954	286	0	286	21	0
9640	286	0	95	209	0
7440	285	0	299	1	0
7604	285	0	228	79	0
7806	285	0	168	137	0
8017	285	0	73	231	0
6444	284	0	133	175	0
7097	284	0	150	163	0
7385	284	0	142	151	0
7721	284	0	308	6	0
10422	284	0	87	214	0
13543	284	0	27	258	0
13545	284	0	24	261	0
16967	284	0	21	264	0
16984	284	0	25	261	0
7366	283	0	126	179	0
7866	283	0	306	2	0
9792	283	0	98	192	0
14426	282	0	0	282	0
7852	281	0	308	0	0
11281	281	0	67	225	0
17336	281	0	26	259	0
7908	280	0	257	56	0
9112	280	0	101	199	0
11340	280	0	79	220	0
17359	280	0	28	256	0
7451	279	0	240	62	0
17360	279	0	24	255	0
6198	278	0	120	177	0
7528	278	0	313	0	0
7848	278	0	249	60	0
7911	278	0	121	161	0
8899	278	0	124	177	0
17760	278	0	32	247	0
6125	277	0	124	165	0
7382	277	0	231	73	0
7718	277	0	272	32	0
7794	277	0	228	68	0
8463	277	0	91	203	0
8635	277	0	70	219	0
9318	277	0	97	187	0
9479	277	0	77	209	0
10129	277	0	105	175	0
17759	277	0	33	246	0
7472	276	0	107	176	0
17342	276	0	22	257	0
6880	275	0	186	116	0
17757	275	0	42	237	0
17758	275	0	30	245	0
5842	274	0	123	172	0
10197	274	0	69	222	0
11871	274	0	40	236	0
7591	273	0	229	65	0
7791	273	0	194	108	0
7869	273	0	282	0	0
6920	272	0	124	175	0
10200	272	0	151	148	0
10770	272	0	92	199	0
11195	272	0	28	257	0
13271	272	0	30	244	0
17756	272	0	35	239	0
6045	271	0	126	162	0
6200	271	0	122	169	0
6937	271	0	165	130	0
7597	271	0	198	91	0
7909	271	0	137	156	0
9444	271	0	166	138	0
9485	271	0	126	169	0
7717	270	0	184	110	0
10927	270	0	98	188	0
11384	270	0	60	222	0
7637	269	0	293	9	0
7904	269	0	235	61	0
7958	269	0	250	53	0
9725	269	0	88	200	0
11870	269	0	39	233	0
17357	269	0	22	249	0
7601	268	0	129	156	0
10034	268	0	104	180	0
12468	268	0	30	242	0
17332	268	0	31	238	0
6843	267	0	157	135	0
7364	267	0	292	0	0
7585	267	0	210	71	0
7953	267	0	213	78	0
11079	267	0	94	183	0
12766	267	0	27	240	0
16271	267	0	29	241	0
6669	266	0	231	53	0
7418	266	0	222	67	0
7912	266	0	130	156	0
9874	266	0	87	191	0
11139	266	0	182	113	0
13172	266	0	36	231	0
15528	266	0	20	246	0
6337	265	0	166	127	0
7775	265	0	139	143	0
8073	265	0	94	187	0
9330	265	0	71	200	0
10361	265	0	78	203	0
10659	265	0	115	171	0
10720	265	0	140	144	0
10738	265	0	72	206	0
16994	265	0	37	229	0
17264	265	0	31	234	0
7400	264	0	201	109	0
7922	264	0	248	22	0
7923	264	0	162	127	0
10459	264	0	142	153	0
12875	264	0	31	236	0
13173	264	0	28	237	0
16538	264	0	29	236	0
6240	263	0	104	170	0
7677	263	0	236	52	0
8574	263	0	74	203	0
12943	263	0	43	221	0
16966	263	0	38	227	0
6338	262	0	216	66	0
7752	262	0	287	2	0
7519	261	0	223	74	0
7571	261	0	180	106	0
7924	261	0	124	158	0
8143	261	0	92	184	0
9058	261	0	69	209	0
9500	261	0	103	179	0
14987	261	0	31	230	0
16988	261	0	48	214	0
17765	261	0	0	261	0
7432	260	0	179	95	0
7957	260	0	282	3	0
9110	260	0	45	224	0
9723	260	0	103	162	0
17345	260	0	24	239	0
17853	260	0	0	260	0
7354	259	0	231	52	0
7491	259	0	273	16	0
7949	259	0	214	71	0
8427	259	0	79	183	0
9333	259	0	145	131	0
9429	259	0	123	169	0
10228	259	0	49	221	0
10902	259	0	86	194	0
11517	259	0	21	239	0
11872	259	0	31	231	0
17753	259	0	14	246	0
18538	259	0	35	225	0
6450	258	0	130	146	0
7544	258	0	287	8	0
16993	258	0	40	220	0
17334	258	0	29	233	0
5965	257	0	115	158	0
7266	257	0	141	121	0
