node	mux	agg	layer1	layer2	layer3	layer4
37339	21.4676560337729	2	1	0	0	0
34562	21.4617804	2	1	0	0	0
37484	21.4587556427491	2	1	0	0	0
19621	21.4453003750882	2	1	0	0	0
19533	21.44385155	4	2	0	0	0
19363	21.35888995	4	2	0	0	0
37330	21.3366399080955	2	1	0	0	0
19557	21.2881587522501	4	2	0	0	0
19550	21.26715915	4	2	0	0	0
33363	21.163479832897	4	2	0	0	0
20070	21.079154962791	2	1	0	0	0
37369	21.0690971719784	2	1	0	0	0
19460	21.0429469678004	4	2	0	0	0
4240	21	84	42	0	0	0
4580	21	84	42	0	0	0
37261	20.8866659459368	2	1	0	0	0
35606	20.874453	4	2	0	0	0
37203	20.8483305	2	1	0	0	0
19556	20.8028599	4	2	0	0	0
37944	20.80155835	2	1	0	0	0
19393	20.7554209	8	4	0	0	0
19448	20.6919178	2	1	0	0	0
37313	20.6038975248	2	1	0	0	0
19362	20.58542005	2	1	0	0	0
19534	20.56951415	2	1	0	0	0
37159	20.5291510400492	2	1	0	0	0
319	20.5	82	41	0	0	0
1053	20.5	82	41	0	0	0
3450	20.5	82	41	0	0	0
3562	20.5	82	41	0	0	0
4555	20.5	82	41	0	0	0
20430	20.4504339	6	3	0	0	0
33880	20.4463779	6	3	0	0	0
19682	20.37744045	2	1	0	0	0
36734	20.3585918110229	2	1	0	0	0
35042	20.3567398	2	1	0	0	0
34594	20.308030289996	2	1	0	0	0
19431	20.262765	4	2	0	0	0
14426	20.25	6.86871666487407	0	0	0	3.43435833243704
19752	20.12191445	2	1	0	0	0
19540	20.10841595	10	5	0	0	0
34823	20.0811047	2	1	0	0	0
19531	20.035514670503	2	1	0	0	0
19762	20.0145718966743	2	1	0	0	0
282	20	80	40	0	0	0
1088	20	80	40	0	0	0
1501	20	80	40	0	0	0
2118	20	80	40	0	0	0
5237	20	80	40	0	0	0
37638	19.9574046988048	2	1	0	0	0
37864	19.9162761894987	2	1	0	0	0
19601	19.88578415	4	2	0	0	0
37723	19.8851999493162	2	1	0	0	0
19477	19.8004530328181	4	2	0	0	0
19343	19.77301365	2	1	0	0	0
37348	19.7510347413012	4	2	0	0	0
20045	19.70641625	2	1	0	0	0
19495	19.6853747441777	2	1	0	0	0
33657	19.682043	2	1	0	0	0
19782	19.6485092	2	1	0	0	0
37612	19.6333663269259	2	1	0	0	0
37368	19.6258076511834	2	1	0	0	0
37435	19.60377415	2	1	0	0	0
341	19.5	78	39	0	0	0
1698	19.5	78	39	0	0	0
2048	19.5	78	39	0	0	0
2447	19.5	78	39	0	0	0
2463	19.5	78	39	0	0	0
2930	19.5	78	39	0	0	0
3551	19.5	78	39	0	0	0
3849	19.5	78	39	0	0	0
4966	19.5	78	39	0	0	0
4992	19.5	78	39	0	0	0
19713	19.37189345	2	1	0	0	0
34313	19.26603725	2	1	0	0	0
19884	19.23435685	2	1	0	0	0
19517	19.2271206998203	10	5	0	0	0
19561	19.1895669	6	3	0	0	0
19387	19.17626545	4	2	0	0	0
19745	19.1697844	4	2	0	0	0
