""	"SRR12097378"	"SRR12097379"	"SRR12097381"	"SRR12097382"	"SRR12097383"	"SRR12097384"	"SRR12097385"	"SRR12097386"	"SRR12097387"	"SRR12097388"	"SRR12097389"	"SRR12097391"	"SRR12097392"	"SRR12097394"	"SRR12097395"	"SRR12097397"	"SRR12097398"	"SRR12097399"	"SRR12097400"	"SRR12097402"	"SRR12097404"	"SRR12097405"	"SRR12097406"	"SRR12097407"	"SRR12097408"	"SRR12097409"	"SRR12097411"	"SRR12097412"	"SRR12097414"	"SRR12097415"	"SRR12097417"	"SRR12097418"	"SRR12097419"	"SRR12097420"	"SRR12097421"	"SRR12097422"	"SRR12097423"	"SRR12097424"	"SRR12097425"	"SRR12097426"	"SRR12097427"
"RCAN2"	-0.718780748700179	-1.33675564776108	-0.577003819271684	-0.733293383902861	-1.03497227739406	-0.694793163644352	-0.569923097399739	-0.661678873137652	-0.896317306285557	-0.622819835771515	-0.401495943602259	-0.482259169243589	-0.648867919594855	-0.678588663099017	-0.644729525101796	-0.425883199482353	-0.463512290536707	0.181004621916322	-1.13753515420973	-0.969127469318916	-0.458223454755222	-0.380100010555342	-0.318817987162239	-0.412938450840826	-0.391891105479806	-0.402506944180601	-0.944301559723151	-0.299561800064016	-0.658204458217659	-1.0648890760647	-0.495109827336055	-0.398816160201614	-0.646500799796958	-0.431835107903939	-0.408184412809833	-0.528823997359083	-0.582172139684858	-0.472262424049167	-0.512894967978376	-0.324297898936827	-0.499313872927266
"RCBTB1"	0.997659236310249	0.854942711649681	0.986872315265283	1.49123846071802	1.30855582058727	1.00919134312787	1.62400155785654	0.997485685549963	1.10306352543688	0.934904100415781	1.18494554280431	0.875803496480306	1.04321357842947	0.983189991456384	1.02561562114925	1.09606884986071	0.968286313297918	1.12745900673325	1.22417556654196	0.892013421382277	1.2829530051398	1.11204697341734	0.99168792249569	1.13822377144833	1.37446570733494	1.02898020357708	0.953999478390173	1.07351601686379	0.976942412533917	1.08940398954684	1.05307174734986	0.890672576757458	1.17321597541015	1.06020523038699	0.982948501302762	1.09001332731667	0.978383643275312	1.04150617235117	0.677096799627346	0.798077578754141	1.04926551947268
"RCHY1"	0.864929946843665	0.774719583039424	1.85796911525929	1.07813600974924	0.845155467540697	0.886920519260704	1.33407951811921	0.599917241872077	0.805807990859777	0.805618441759736	1.05392114839092	0.707582787601315	0.72806413766115	0.459350363127573	1.0016771996174	0.71326665650379	0.818807627191125	0.734906019429747	0.957423670657708	0.532486963375681	1.24666016051295	1.36841693708472	1.03518735197078	1.21447139226694	1.18168426620681	0.637374367578778	0.840295460512186	0.894847745084222	0.73783577961626	0.839736783408077	0.966007292501614	0.725594467248621	0.92403838606057	0.818261901204726	0.944705377546773	0.883206973949319	0.945012236297197	0.958455875838585	0.898765650587347	0.898098094248261	0.909153768710033
"RCOR1"	4.49315716384464	4.51584267230125	5.33598758203187	3.50808483205122	4.42701107295841	3.48110460728433	3.55314667987706	4.63608495793397	4.3719490655128	4.73347614011409	3.66676437980156	4.92946868822486	4.57900731180182	4.53944677862922	4.48334074445064	5.28741993024884	4.38790174690266	3.92310649619282	4.3998981343865	4.0284998846455	4.59435123545629	5.44804344800654	5.06206399320486	4.10822564010052	5.14539082290272	4.73810725684905	4.25901544936566	5.63811140657107	4.93344100233161	4.35610349410465	4.64023766602805	4.51782309077572	4.73538718519818	4.73790866143563	4.68124427284148	4.10663324496222	3.4730823319055	3.98679573318735	4.46110659340095	3.62047752804799	3.39518380608416
"RCOR2"	-0.921563031369394	-1.41545968186868	-0.906523682406698	-0.784170175793842	-1.20195800531931	-0.899817143302693	-0.494615472966367	-0.976691364632973	-0.737853089915429	-0.799193530627656	-0.465810119302857	-1.1859813946164	-0.821656280590257	-1.39795880941414	-0.854748475603534	-0.912232591236674	-1.43888799262564	-0.711548861960154	-1.47709554095298	-0.759981610089765	-0.75171786774965	-1.21292808495073	-1.06077230037786	-0.809188624943885	-0.671949500872733	-1.45632717439888	-1.34730786412151	-0.924203487780269	-0.621118173562933	-0.958220335035663	-1.07956590221584	-1.11347858589238	-1.1982887366874	-0.893569630694987	-0.949986695456271	-0.725003003793688	-0.485851865352081	-0.735790529630446	-0.562532821361241	-0.561104435608048	-0.86221411415515
"RCOR3"	1.63396953014711	1.66257281266064	1.7189783189617	2.0637259075827	1.15591892459497	2.22956627720576	2.87387210085659	1.59758259004253	1.66529243884611	1.09072822741476	1.91037949469093	1.25051825366806	1.79845429584836	0.740484690990585	1.52688366484323	0.658915925237236	1.49438262371711	1.39017542222788	1.88048775521238	0.817777042025562	1.59547627497921	1.92953174129075	0.913158813675809	2.4537721288147	2.27108661033411	1.53171388321113	1.38475071257797	0.951390401563436	1.26382979231464	1.38942337637326	1.24841315189129	1.69676650080457	1.62384138867462	1.35330160668475	1.39404687007854	1.77435746317116	1.61547203716461	1.78952953424614	1.46033268252334	1.4748408512185	1.90270479594485
"RCVRN"	-0.994101507969672	-0.667510004527686	-0.752291165434056	-0.963793209859341	-0.532642843936036	-0.731792166540454	-0.97556565703157	-0.781385484601988	-1.28278642098919	-0.95471074528815	-1.25260673390142	-0.764069653616359	-0.883238242413739	-0.25953518699161	-0.999438406331964	-0.199896300690944	-0.693209033735709	-1.27677826199829	-0.548052026344119	-0.35878139247445	-0.902768877722973	-0.624500694745693	-0.47317508840548	-0.715531286474279	-0.704883678410354	-0.947267948239541	-0.641634743257086	-0.23943611144892	-0.763055322671999	-0.527805726617987	-0.550791737767346	-1.00477550312762	-0.576864233779787	-0.494929880088512	-0.462138817932875	-1.27486743587674	-1.14012506958279	-0.934284575125599	-0.00838794247082644	-1.67435152297345	-0.648928195042653
"REL"	2.42844825450903	2.37246429812562	2.75513942919604	2.86598734022186	2.74948228677215	3.25949768256285	2.69829446434409	2.44228476264254	2.55319169917151	2.49808049360282	3.30284527191196	2.76909427215571	3.13145261463576	2.33740001622753	2.4361516852402	3.19382668069109	3.21884650381877	2.1390574569493	2.96248832535928	2.67977174909225	2.81543478124545	2.87533824683389	2.64690578408945	3.1004996443608	3.4593114388196	2.99397992298555	2.43792343154835	3.1696504925482	2.48009677636663	3.61453773228582	3.54672154748465	2.24287668773679	2.82531350727767	3.34814094441827	3.17974908196662	2.79859318958192	2.45110373010024	2.27589244233919	3.23280724868746	2.96997995153199	2.84383420690865
"RELN"	-0.339997495008073	1.03028804322675	-1.03870850120932	-1.52879525671874	2.19285826195115	-2.18963221469885	-1.66468510006993	0.365674626057543	-0.129005292993665	0.124063149339889	-1.89777559927214	1.07324691626925	0.266072884678048	-1.17886025195001	-0.181913500351099	0.550479793527129	-0.617485024435266	1.12566229096036	-1.12149153684606	-1.34839240634606	0.459593645096575	-1.02681394434542	-0.10903148644215	-1.24084897326524	-0.25197543641236	1.57516420579802	-0.543544198213182	-0.346457993939408	0.373971243697806	-1.06335374251232	-1.42988984462277	1.71979776480687	-0.908312541613438	0.705464233906275	-1.78048929611386	1.72403086683211	-0.528061216196497	0.822283879147938	-1.2266517721626	1.72836793547024	-1.39467453175345
"REM1"	-0.094471593045017	-0.157080416158539	-0.0699413238161756	-0.752035920793757	-0.973515494220448	0.499933393403662	-0.181198858063328	-0.232620243183334	-0.126090684388058	-0.680349087900478	-1.0779204640988	-0.352016534831891	-0.566220547862558	-0.756531266763334	-0.211633856740895	-0.216497358142829	-0.296968535477492	-0.703331278419124	-0.719108681008086	-0.167968696359139	-0.503652781305958	-0.517176956361894	-0.459324982172584	-0.202131924180704	-0.787076379888142	-0.373031628176645	-1.25239936990197	-0.207616180292091	-0.200541546971905	-0.151076122958761	-0.319377020291323	-0.76587512745275	-0.507483410549578	-0.729774899262141	-0.464114350914076	-0.119452440541251	-0.42956810480933	-0.186402833742347	-0.702237832095975	-0.331848188650533	-0.788807460904536
"REM2"	-2.07747747089074	-1.27121725360556	-1.81010405299916	-1.8473534649594	-1.37468722356522	-1.71398803686293	-2.08161380982692	-1.48544794055195	-2.15505135199386	-1.92472447748414	-2.44388587895783	-1.56662659790067	-1.61551354368702	-1.35783755984895	-2.01850825021101	-0.906884888659747	-1.42574521103977	-2.34472352265081	-1.5165090601228	-1.18630899877716	-1.92973518521319	-1.63674474414258	-1.44584681028722	-2.36133099523598	-1.84659399541734	-1.24827565844029	-2.23888883264059	-1.39412276648819	-2.01380650141667	-1.24465730230978	-1.83667978792917	-1.35938925392243	-1.38821896688701	-0.802300507355062	-1.38238625349054	-1.65695624579909	-2.62620274390581	-1.62158027459285	-1.1564592728292	-1.67786887924735	-1.95914635647618
"REN"	-1.25066556564491	-1.4695059147833	-1.0884143880585	-0.315988932584869	-1.38197058583157	-0.544171771867367	-0.47778423940153	-1.13618713701356	-0.858354203812958	-0.86753724390399	-0.725603552469109	-0.664210365484043	-0.41272905693421	-0.981001240763921	-1.00568260199566	-1.33789276685114	-1.02718380945512	-1.19396002554085	-0.542455974147951	-0.968081094913729	-1.00271262526358	-0.562774189924197	-0.600011835199479	-0.395207081305523	-0.872840124716898	-0.812697658853507	-0.540176371697834	-1.61735931951679	-0.978387003020703	-0.775546906048903	-0.705949076797673	-1.5342137308337	-0.963803260046854	-0.537057484804478	-0.791723671225051	-0.909321359109758	-0.758719688268748	-0.99633921350969	-0.63705653264849	-1.05155585280451	-0.577778359668482
"REPS2"	-0.384242988357208	-0.219900692417484	0.60381348946489	-0.692063276304085	1.13093502712862	-0.564898847140308	-0.31858509155153	-0.265556315617529	-0.119380027982826	-0.195572268190427	-0.207642946658479	-0.545029619080406	-0.414526240001575	-1.73520772866901	-0.260856844021253	0.965393353522615	-0.717061527178934	-0.478544373478435	-0.25105931372928	0.525878950465242	-0.225776893867811	0.865733957892434	0.464946766441306	-0.139762691105252	0.889249766968661	0.628977125184456	-0.0879212265173829	0.310164754748207	0.0265388270417929	-0.0625412248594715	0.639396722921348	-0.192378521508778	-0.354972323511117	1.09060813689845	1.04596387317889	-0.538393742208049	-0.644148757624409	-0.306620664429238	0.48388553770955	-0.143385852838045	-0.3958900457799
"RERE"	-1.13327074004901	-2.05256238637639	-1.29528566096291	-1.15119225951344	-1.05026748182795	-0.518146696466008	-1.39666865733901	-1.00461794095574	-1.16963789361396	-1.55509469840697	-0.986060572978576	-1.25208466725017	-0.971496044885712	-1.05715845815093	-1.17601797381676	-0.875289254645107	-0.553004584461584	-1.28693451096915	-0.942257857529194	-0.753802665687859	-1.13665428748741	-0.702843210137672	-1.01306692151006	-0.604922064895127	-0.7991739864705	-1.13138774626928	-0.6775762047582	-0.655749943874071	-0.977593332240535	-0.644489237981015	-0.718063802172163	-1.43454045044354	-0.953897850515723	-0.739362423277028	-0.647739657690105	-0.943539615639063	-1.55463357683473	-1.55096953735039	-0.975918757480013	-0.953887266440709	-1.19392427960968
