""	"SRR12097378"	"SRR12097381"	"SRR12097382"	"SRR12097383"	"SRR12097384"	"SRR12097386"	"SRR12097387"	"SRR12097388"	"SRR12097389"	"SRR12097391"	"SRR12097392"	"SRR12097394"	"SRR12097395"	"SRR12097397"	"SRR12097398"	"SRR12097399"	"SRR12097402"	"SRR12097404"	"SRR12097406"	"SRR12097407"	"SRR12097408"	"SRR12097412"	"SRR12097414"	"SRR12097415"	"SRR12097417"	"SRR12097418"	"SRR12097419"	"SRR12097420"	"SRR12097422"	"SRR12097423"	"SRR12097424"	"SRR12097425"	"SRR12097426"	"SRR12097427"
"AIMP1"	1.06103699979772	1.87586074702482	1.47557692847029	0.729351786813008	1.2398204568702	1.0322248326897	1.35195860759453	1.11470040247363	2.31849978690094	0.866131107545549	1.02208587864033	1.10692287715919	1.33697353731536	0.445475416826267	0.939328563651544	1.66035388957579	1.03730508579123	2.01381273651716	1.40234646283302	1.72192080743709	1.62722615182157	1.05693418327106	1.40170384299116	1.20862161838777	0.881031349227218	1.15320595574608	1.04814451122902	0.766203455404932	1.29061063006347	1.34254076926424	1.31332985498735	1.73328557249551	0.725002885811805	0.972223945971394
"AIP"	1.52996486854077	0.853774682218976	1.55688101810827	2.24155997920346	1.93132590448628	2.01936036252549	1.51841539786499	1.59902374468312	1.41709754226051	2.09695083298067	1.95040186018088	2.44746242135052	1.49300984242728	2.53999778114873	1.97650758140134	1.5100430575848	2.41005754426836	0.938120998641881	1.1814550713954	1.04913227679612	1.0242334755115	2.07488976307627	1.45559763317444	2.03092501316281	1.84388072023842	1.68710045489892	1.70711597895901	2.34444854708423	1.58511128540441	1.69740247853131	1.54044408604746	1.11946663599447	1.51449068489427	1.89446075490895
"AIRE"	0.0256553460086609	0.144910338466685	0.0761042739566073	0.313373463131856	0.295105556531495	0.175188004593855	0.0825596012867763	-0.0404881057582965	0.283954561770967	0.25857681453249	0.261190206097074	0.39662521100122	0.00294295388562499	0.331531511897312	0.369303389823415	0.0826646250750903	0.289063314427535	0.141153538425061	0.116532699328602	0.418582193559175	0.265364822539003	0.213475387456095	0.106575729958534	0.379254756417405	0.381826856007269	0.0591649027305551	0.172636871725933	0.24972974958311	0.0806345201978214	0.105258896848387	0.038978112848367	0.0935371990109482	0.204147024396223	0.00986320348217927
"AJUBA"	-2.70087259640593	-3.83845621437236	-2.05805721721811	-3.81682534420014	-1.06661664023745	-2.97295139969186	-3.13924296587484	-3.4208759527621	-0.97527360079913	-3.64185649924771	-3.17017247163347	-3.02612581499849	-3.17878253932598	-4.08720384655665	-2.99904215779562	-2.48819364290261	-3.14291732785761	-2.70202093568376	-3.6995092678733	-1.61543237615969	-1.51332783536387	-4.04984976787131	-2.5633442423155	-2.1297874282808	-3.31818793309891	-2.83189015137759	-3.11634591565765	-3.31980308746777	-2.25055421159161	-1.77663541047666	-2.7272076059783	-2.19443241990935	-1.55626983228915	-1.9785936804812
"AKAP10"	2.14269642013545	2.55812732286468	1.81724297558869	2.36189768949272	2.02502652974975	2.34747588593432	2.76961777551807	2.20123992865117	1.6258289727527	2.51632856446198	2.33876537314755	2.21205689145297	2.43760785973304	2.81469935614443	2.33612375341636	1.84014410952654	2.40596322058051	2.29094998889023	2.81046602681682	2.32298447433147	2.53565878175626	2.84677459937418	2.21355704518184	2.66927759623174	2.78009180102142	2.37951415958547	2.03521386594603	2.56391960212919	2.25059027984575	1.69586420547934	1.99384400331335	2.71287828360834	2.05679993027641	2.04301808593914
"AKAP11"	4.40849711602413	4.18815452930662	4.6177140715078	3.96663475229333	5.21750415621666	4.03986881785526	3.86317136895829	3.31440466721333	4.57818215736848	4.23786768666242	4.54118796769567	3.64180764075814	3.95740044887818	3.84408608020555	4.51489250688248	3.91050460566438	3.56985638732877	4.59997000396916	3.85836754618692	5.58812499937613	5.38512507443545	3.97721623923724	4.06961175496421	4.49207406021813	4.49395515591533	4.13526461586868	4.2982187987684	4.22753099751975	4.2525168488331	3.92495433432741	4.03796826914157	4.08138329313863	4.43850672714003	4.67568444840191
"AKAP12"	-1.4860885900047	-2.06941294129649	-1.86154909267008	-0.780622173666167	-1.53473132073538	-2.06552211644834	-1.67040168011598	-2.1374443325782	-1.90446998267699	-1.07059691346581	-1.78220529729347	-1.03505475281975	-1.80640374201414	-2.11652414754854	-1.52973717441911	-0.997623086253098	-1.60855446715418	-1.86992594985054	-1.74418224590737	-1.59315993550937	-2.16051904476261	-1.50753106865916	-0.987640678052602	-1.91543392955908	-1.69082035859701	-1.35765366860689	-2.55735351877555	-1.59794513814932	-1.33577423414734	-1.75716426466141	-1.5171019723179	-1.11170887612869	-1.41696869958427	-2.14506424530629
"AKAP3"	-2.29249902494216	-1.00553141262713	-2.06143583156029	-1.45553782030679	-1.71619347792944	-1.69828941075161	-1.15536210635117	-1.45318946702082	-1.43608184577751	-1.03607916205928	-1.28447486065359	-0.742304866935729	-1.58168948451635	-1.82615264225392	-1.80073305066487	-1.3806111500105	-1.77395644822364	-1.26388242894127	-0.646161394984323	-1.16260564133169	-0.780801263141209	-1.56294880415816	-1.17002546729485	-0.706665819998101	-1.16105839150847	-1.44662581007545	-0.761900713203156	-1.15902311037709	-1.0400338545912	-1.98656403382911	-1.43388131157406	-0.70901809253055	-1.24761169089261	-1.93381705556625
"AKAP5"	-2.10368970668992	-1.45571978726029	-1.98528135571065	-1.88102594304019	-1.2983192524827	-2.35757700535354	-2.37308753298073	-2.62532011902574	-2.19332635496049	-2.18119429594164	-2.17151592588722	-2.30300350599995	-2.18439151983006	-1.65216552607165	-2.23786459713256	-2.0366076621147	-2.36441160959914	-1.63668072792378	-1.41674713062732	-0.865488075889938	-0.997010771702259	-2.34638959846646	-2.54488734204122	-1.05947282972879	-1.68958269713582	-2.32551963671636	-2.54358120619562	-1.89833300368435	-1.96895837251918	-2.34330097733648	-2.26646174265115	-1.56089666404556	-1.76524717357434	-2.14159675159446
"AKAP7"	1.49333544501722	2.41710501589373	1.90015458494986	1.56569843546735	1.00513127083139	1.57036860368614	1.46002186602606	1.66972383913528	1.46130273872832	1.86623102714912	2.12576587100821	1.6460152060799	1.5200054756888	1.85858941044141	1.89566447532217	1.27587736224451	1.6210445644187	2.47472121390916	2.0263195041958	1.85813087412495	2.26768056741681	1.98605378834488	1.50833477687086	1.2253008403488	2.09341267764319	1.53010243647609	1.7247487321925	2.40556417750225	2.06080669959826	1.26165228278175	1.51397433977028	2.3951079143217	1.10622858116397	1.26889684296702
"AKAP8"	-0.0307491023558642	0.202311050562923	0.11026645564728	-0.280018875507645	0.386873695292273	0.12833779932055	0.00673294139799378	-0.0595438714380811	-0.189442015540189	-0.129865762358288	-0.0908209434041436	0.121367065953388	0.138836320317273	0.309477564993871	0.299427655971396	-0.206074619391536	0.278871108410009	-0.184625190154818	0.0769541735107721	0.158465680133783	-0.132805948122038	0.12075045093691	0.100752648964188	0.140358615041099	0.0445591666081622	0.110920656602215	0.117680084477641	0.00661844509752309	-0.481838573108737	0.00913110568013025	-0.0283368335149677	0.431504601024032	0.0208947663831634	0.12501081845305
"AKAP9"	2.85387557316714	3.43758069054502	2.88064393505481	2.45954691381444	3.06001498174377	2.40816790806279	2.55296890468949	2.26722837181648	3.18161000900988	2.5830933606462	2.7363692691608	2.34951005939263	2.59169633508153	2.43298902911264	2.82108418996922	2.501049666567	2.6084895632471	2.79737779482218	2.68999620758211	3.55775453897558	3.73688893608437	2.45459800029988	2.40617072912581	3.19010635649097	2.75283041114044	2.64440311594958	2.72009142945912	2.6798838691694	2.780280407308	2.66040392214902	2.62860452239339	3.1096511638922	2.59815577774213	2.76370505981477
"AKIRIN2"	2.88868121692229	4.3948485928084	1.86454687394348	4.26034970462858	1.37809779435141	3.44612492092354	2.5712542951205	3.43709677118739	0.248593473469063	4.01528638190441	3.00578544456009	4.43600890243767	3.46740637780876	6.07693107986894	3.76742082782423	1.81728923802233	4.18942305929752	2.25091291718846	4.48424157922768	1.31781258572465	1.76693087916558	5.19741899505295	3.46606511278529	2.3891351529359	4.02211425342757	3.18809264494025	3.19389856432502	4.84109706286088	1.88703857607507	2.01207856141255	2.60863832416808	2.56497665801156	1.13133293862929	2.14984489757568
"AKNA"	1.41403973121613	1.24982941586347	1.56146372804715	2.34790881415458	2.10805322346518	1.85708578382567	1.45268742262428	1.47788429558857	0.322332714621154	2.31199409601529	1.9093341006661	2.26710853996706	1.39624234560102	3.32011777743011	2.6342661261495	0.826759914745394	2.58742635040391	0.68309495050156	1.87958626331116	1.88739830117327	1.91584072122732	2.14959527241287	1.31800419598053	2.34637978957092	2.43184681272034	1.47883598380521	1.57950367205786	3.00085251542437	1.13345897535044	1.01657082591827	1.27432499595716	1.21135273255837	1.50024227903096	1.76133219876411
"AKT1S1"	0.949071165913927	-0.246189534396991	0.929012246769017	0.873590996841052	1.01026646385462	0.946866299880905	0.596096333596556	0.8312493827126	0.565743849176413	0.943954735055776	0.711852081747295	1.38771964552354	0.863740948017101	0.98806290482967	0.799158113907302	1.11311589671501	1.42908035653815	0.357875019676073	0.300032776839168	0.245218422567756	0.117813945296023	0.99574682113851	0.820851374277624	1.02948767128398	0.925949642350889	0.857990468202807	0.827078972311923	0.675169784914245	0.704763812977911	0.929250918280237	0.72563850126243	-0.369813489817396	0.177167386362473	1.0042019785319
"AKT2"	0.937966467023208	-0.400632228217557	1.14306623871427	1.40613639907999	1.47162294854038	1.54429435090176	1.33134000008918	0.771655828891865	1.00899789984472	1.232910526908	1.26065213135423	1.39537053962133	0.933470519559903	1.20945083277561	1.17861636895341	1.13075251040928	1.74830645013252	0.325273911636106	0.224697576891114	1.22463252109529	0.734842300338619	1.37340385618636	1.05269560549801	1.84299435636981	1.30328207222503	0.977680404956751	1.30484239227116	1.35772667092834	1.12580987115048	1.37603968249314	1.12797834827927	0.436541371447092	1.02352316529999	1.70287847783593
"AKT3"	-0.489304616153341	-0.213278858156108	-0.728378313658907	-0.262570247226903	0.0133060096522724	-0.139574224161349	-0.325753050403834	-0.187845431119678	0.301144865319518	-0.320704925309108	-0.306694336376012	-0.480501630514719	-0.593383344102726	-0.147600778878504	-0.118117387575293	-0.097388289115718	-0.00164822501910874	0.13669856815497	-0.0228880859782012	0.283555184516296	0.047095536110341	-0.0733129273178775	-0.245057482866278	-0.142579944872177	-0.228028840033288	-0.498835787465312	-0.532906877214548	0.0108889297980506	-0.0447749423626513	-0.995722320948742	-0.770109246250829	0.183400146322618	0.258840726729321	-0.690061927679719
