"name"	"Double_NR"	"Double_R"	"distance"
"96"	"11-Octadecenoyl"	0.280477561700325	0.260002632738196	-0.0255
"97"	"11-dehydro-thromboxane"	0.327594876156977	0.308621012620786	-0.0243
"98"	"12,13-epoxy-(6Z,9Z)-octadecadienoic"	0	0	-0.0121
"99"	"12,13-epoxylinoleic"	0.14387161776622	0.120345561427789	-0.0282
"100"	"12,15,18,21-tetracosatetraenoic"	0.276510454402234	0.260062109317464	-0.0227
"101"	"12-Dehydrocholic"	0.30008336421528	0.299613866362069	-0.0113
"102"	"12-hydroxydodecanoic"	0.389756111132269	0.372759138811657	-0.0227
"103"	"13,14-dihydro-15-oxo-lipoxin"	0	0	-0.0121
"104"	"13,14-dihydro-lipoxin"	0.274987918459706	0.255409326526528	-0.0249
"105"	"13,15-O-didesmethyl"	0.430434335766526	0.414256572660158	-0.0219
"106"	"13,16,19-docosatrienoic"	0.272412479402448	0.257948085694918	-0.0213
"107"	"13-Docosenoyl"	0	0	-0.0121
"108"	"13-O-desmethyl"	0.456980935254338	0.440587945977212	-0.022
"109"	"14-hydroxytetradecanoic"	0.389638212430909	0.37283811910876	-0.0225
"110"	"15-Keto-Prostaglandin"	0.518088569584217	0.504465951878085	-0.0198
"111"	"15-dehydro-prostaglandin"	0.101630362885485	0.0774118206955946	-0.0289
"112"	"15-deoxy-prostaglandin"	0.328595143341018	0.308621012620786	-0.025
"113"	"15-epi-lipoxin"	0.316736452708751	0.297901878731394	-0.0242
"114"	"15-keto-prostaglandin"	0	0	-0.0121
"115"	"15-oxo-lipoxin"	0.347967069646612	0.328104692663313	-0.0249
"116"	"15-oxo-prostaglandin"	0	0	-0.0121
"117"	"16-5-5"	0.274012241425685	0.254535667106394	-0.0249
"118"	"16-hydroxyhexadecanoic"	0.451927971379933	0.433957839663799	-0.0231
"119"	"17alpha-hydroxypregnenolone"	0.328595143341018	0.308621012620786	-0.025
"120"	"2,3-Epoxy-Alpha-Tocopheryl"	0.129678331723028	0.106016608142857	-0.0284
"121"	"2,3-dihydro-2-S-glutathionyl-3-hydroxy"	0	0	-0.0121
"122"	"2,4,7,10,13,16,19-Docosaheptenoyl"	0	0	-0.0121
"123"	"2,4,7,10,13,16-Docosahexenoyl"	0	0	-0.0121
"124"	"2,4,7,10,13-Hexadecapentaenoyl"	0	0	-0.0121
"125"	"2,4,7,10-Hexadecatetraenoyl"	0	0	-0.0121
"126"	"2,4,7-Decatrienoyl"	0	0	-0.0121
"127"	"2,5,8,11,14-Eicosapentaenoyl"	0	0	-0.0121
"128"	"2,5-diaminopyrimidine"	0.300630656396194	0.277054598216089	-0.0277
"129"	"2,6,10-Trimethyl"	0	0	-0.0121
"130"	"2,6,9,12,15-Octadecapentenoyl"	0	0	-0.0121
"131"	"2,6,9,12-Octadecatetraenoyl"	0	0	-0.0121
"132"	"2,6,9-Dodecatrienoyl"	0	0	-0.0121
"133"	"2,6-Dodecadienoyl"	0	0	-0.0121
"134"	"2,7,10,13,16,19-Docosahexenoyl"	0	0	-0.0121
"135"	"2,7,10,13,16-Docosapentenoyl"	0	0	-0.0121
"136"	"2,7,10,13-Hexadecatetraenoyl"	0	0	-0.0121
"137"	"2,7,10-Hexadecatrienoyl"	0	0	-0.0121
"138"	"2,7-Decadienoyl"	0	0	-0.0121
"139"	"2-(S-glutathionyl)acetyl"	0	0	-0.0121
