nodeID nodeLabel DNA_methylation_logFC DNA_methylation_P.Value GRN_size GRN_nes GRN_pval GRN_pval.fdr fPPI_IDH2_vs_IDH1_diff fPPI_IDH2_vs_IDH1_p.val Metabolism_pvalue Metabolism_mean.diff
207 frag_103669 0 1 0 0 1 NA NA NA NA NA
208 frag_103670 0 1 0 0 1 NA NA NA NA NA
209 frag_103672 0 1 0 0 1 NA NA NA NA NA
210 frag_103730 0 1 0 0 1 NA NA NA NA NA
211 frag_103737 0 1 0 0 1 NA NA NA NA NA
212 frag_103753 0 1 0 0 1 NA NA NA NA NA
213 frag_103757 0 1 0 0 1 NA NA NA NA NA
214 frag_103878 0 1 0 0 1 NA NA NA NA NA
215 frag_103895 0 1 0 0 1 NA NA NA NA NA
216 frag_104138 0 1 0 0 1 NA NA NA NA NA
217 frag_104287 0.109907006728011 0.0457460866853561 0 0 1 NA NA NA NA NA
218 frag_104335 0.113948621768129 0.0145853386589958 0 0 1 NA NA NA NA NA
219 frag_104364 0 1 0 0 1 NA NA NA NA NA
220 frag_104447 0 1 0 0 1 NA NA NA NA NA
221 frag_104449 0 1 0 0 1 NA NA NA NA NA
222 frag_104797 -0.119659484709163 0.0440925762794135 0 0 1 NA NA NA NA NA
223 frag_104945 0 1 0 0 1 NA NA NA NA NA
224 frag_104949 0 1 0 0 1 NA NA NA NA NA
225 frag_105491 0 1 0 0 1 NA NA NA NA NA
226 frag_105525 0.117161758258282 0.0264669737640682 0 0 1 NA NA NA NA NA
227 frag_105822 0.122924761054865 0.0136788545654215 0 0 1 NA NA NA NA NA
228 frag_105904 0 1 0 0 1 NA NA NA NA NA
229 frag_105925 0 1 0 0 1 NA NA NA NA NA
230 frag_105981 0 1 0 0 1 NA NA NA NA NA
231 frag_106060 0 1 0 0 1 NA NA NA NA NA
232 frag_106128 0.119323060607808 0.0260856594927465 0 0 1 NA NA NA NA NA
233 frag_106157 0.117561391771841 0.0154271448919299 0 0 1 NA NA NA NA NA
234 frag_10680 0 1 0 0 1 NA NA NA NA NA
235 frag_10681 0 1 0 0 1 NA NA NA NA NA
236 frag_10688 0 1 0 0 1 NA NA NA NA NA
237 frag_107066 0 1 0 0 1 NA NA NA NA NA
238 frag_10707 0 1 0 0 1 NA NA NA NA NA
239 frag_10708 0 1 0 0 1 NA NA NA NA NA
240 frag_107130 0 1 0 0 1 NA NA NA NA NA
241 frag_107133 0 1 0 0 1 NA NA NA NA NA
242 frag_107135 0 1 0 0 1 NA NA NA NA NA
243 frag_107180 0 1 0 0 1 NA NA NA NA NA
244 frag_107181 0 1 0 0 1 NA NA NA NA NA
245 frag_107182 0 1 0 0 1 NA NA NA NA NA
246 frag_107183 0 1 0 0 1 NA NA NA NA NA
247 frag_107184 0 1 0 0 1 NA NA NA NA NA
248 frag_107188 0 1 0 0 1 NA NA NA NA NA
249 frag_107189 0 1 0 0 1 NA NA NA NA NA
250 frag_107204 -0.129634308576796 0.0486022786410846 0 0 1 NA NA NA NA NA
251 frag_10729 -0.118922187689205 0.019013434722002 0 0 1 NA NA NA NA NA
252 frag_107446 0 1 0 0 1 NA NA NA NA NA
253 frag_107499 0 1 0 0 1 NA NA NA NA NA
254 frag_10751 0 1 0 0 1 NA NA NA NA NA
255 frag_107529 0 1 0 0 1 NA NA NA NA NA
256 frag_107545 0.112165986717853 0.0330797484187087 0 0 1 NA NA NA NA NA
257 frag_107641 0 1 0 0 1 NA NA NA NA NA
258 frag_107643 0 1 0 0 1 NA NA NA NA NA
259 frag_10769 0 1 0 0 1 NA NA NA NA NA
