""	"x"
"355"	"RP11-31L23.3"
"356"	"TLX1"
"357"	"TLX1NB"
"358"	"RP11-324L3.5"
"359"	"LBX1-AS1"
"360"	"LBX1"
"361"	"SNORD112"
"362"	"RNU2-43P"
"363"	"DPCD"
"364"	"POLL"
"365"	"RNU6-1165P"
"366"	"NT5C2"
"367"	"SLK"
"368"	"MIR936"
"369"	"ITPRIP"
"370"	"CCDC147-AS1"
"371"	"CCDC147"
"372"	"SMNDC1"
"373"	"DUSP5"
"374"	"RP11-525A16.4"
"375"	"ENO4"
"376"	"RP11-539I5.1"
"377"	"CACUL1"
"378"	"EIF3A"
"379"	"SNORA19"
"380"	"SFXN4"
"381"	"PRDX3"
"382"	"FANK1-AS1"
"383"	"FANK1"
"384"	"DOCK1"
"385"	"KCNQ1"
"386"	"KCNQ1OT1"
"387"	"RHOG"
"388"	"HPX"
"389"	"TRIM3"
"390"	"DNHD1"
"391"	"ILK"
"392"	"RRP8"
"393"	"RP11-732A19.8"
"394"	"RP11-732A19.2"
"395"	"TAF10"
"396"	"RP11-732A19.9"
"397"	"TPP1"
"398"	"RP11-732A19.5"
"399"	"RP11-732A19.6"
"400"	"OR10AB1P"
"401"	"NUCB2"
"402"	"PIK3C2A"
"403"	"MRGPRX2"
"404"	"HTATIP2"
"405"	"MIR610"
"406"	"ELP4"
"407"	"IMMP1L"
"408"	"EIF3M"
"409"	"CCDC73"
"410"	"TSPAN18"
"411"	"PRDM11"
"412"	"CHST1"
"413"	"RP11-495O11.1"
"414"	"CTD-2210P24.3"
"415"	"CTD-2210P24.4"
"416"	"ARFGAP2"
"417"	"PACSIN3"
"418"	"RP11-390K5.6"
"419"	"MADD"
"420"	"NR1H3"
"421"	"RP11-17G12.3"
"422"	"SLC39A13"
"423"	"TNKS1BP1"
"424"	"RP11-872D17.4"
"425"	"P2RX3"
"426"	"SSRP1"
"427"	"PRG3"
"428"	"PRG2"
"429"	"RP11-872D17.8"
"430"	"SLC43A3"
"431"	"RN7SKP259"
"432"	"RTN4RL2"
"433"	"RP11-624G17.3"
"434"	"SLC43A1"
"435"	"TIMM10"
"436"	"SMTNL1"
"437"	"RPS4XP13"
"438"	"UBE2L6"
"439"	"SERPING1"
"440"	"OR5B21"
"441"	"LPXN"
"442"	"ZFP91-CNTF"
"443"	"ZFP91"
"444"	"RP11-727F15.9"
"445"	"STX5"
"446"	"WDR74"
"447"	"RNU2-2P"
"448"	"SNHG1"
"449"	"SLC3A2"
"450"	"MARK2"
"451"	"FLRT1"
"452"	"RP11-21A7A.3"
"453"	"MACROD1"
"454"	"STIP1"
"455"	"FERMT3"
"456"	"CDC42BPG"
"457"	"POLA2"
"458"	"CDC42EP2"
"459"	"DPF2"
"460"	"TIGD3"
"461"	"NEAT1"
"462"	"MALAT1"
"463"	"LTBP3"
"464"	"EHBP1L1"
"465"	"FAM89B"
"466"	"SSSCA1"
"467"	"AP001362.1"
"468"	"KCNK7"
"469"	"CCND1"
"470"	"ORAOV1"
"471"	"PPFIA1"
"472"	"CTA-797E19.2"
"473"	"FOLR1"
"474"	"RP11-7N14.1"
"475"	"CLPB"
"476"	"GAB2"
"477"	"MSANTD4"
"478"	"ALG9"
"479"	"C11orf1"
"480"	"FDXACB1"
"481"	"C11orf52"
"482"	"CRYAB"
"483"	"DIXDC1"
"484"	"RNA5SP351"
"485"	"DLAT"
"486"	"IL18"
"487"	"PTS"
"488"	"RPS12P21"
"489"	"TMPRSS5"
"490"	"RP11-667M19.2"
"491"	"RP11-667M19.4"
"492"	"ZW10"
"493"	"CLDN25"
"494"	"NNMT"
"495"	"DDX6"
"496"	"FOXR1"
"497"	"UPK2"
"498"	"RP11-1007G5.2"
"499"	"FLI1"
"500"	"RP11-744N12.3"
"501"	"SENCR"
"502"	"NFRKB"
"503"	"LINC00167"
"504"	"PRDM10"
"505"	"RP11-664D1.1"
"506"	"C12orf5"
"507"	"RP11-264F23.1"
"508"	"C12orf4"
"509"	"RAD51AP1"
"510"	"VWF"
"511"	"CD9"
"512"	"PLEKHG6"
"513"	"RN7SL391P"
"514"	"TNFRSF1A"
"515"	"LTBR"
"516"	"SCNN1A"
"517"	"CD27"
"518"	"CD27-AS1"
"519"	"TAPBPL"
"520"	"VAMP1"
"521"	"MRPL51"
"522"	"NCAPD2"
"523"	"SCARNA10"
"524"	"GAPDH"
"525"	"RP5-940J5.3"
"526"	"IFFO1"
"527"	"RP5-940J5.8"
"528"	"CHD4"
"529"	"NOP2"
"530"	"RP5-940J5.6"
"531"	"SCARNA11"
"532"	"LPAR5"
"533"	"ACRBP"
"534"	"ING4"
"535"	"PIANP"
"536"	"COPS7A"
"537"	"RP4-761J14.9"
"538"	"PTMS"
"539"	"CD4"
"540"	"GPR162"
"541"	"LEPREL2"
"542"	"GNB3"
"543"	"CDCA3"
"544"	"USP5"
"545"	"LRRC23"
"546"	"SPSB2"
"547"	"SLC2A3"
"548"	"ETV6"
"549"	"EPS8"
"550"	"STRAP"
"551"	"DERA"
"552"	"C2CD5"
"553"	"PPHLN1"
"554"	"SNORA74"
"555"	"PRICKLE1"
"556"	"AC079603.1"
"557"	"NELL2"
"558"	"RP11-101K23.1"
"559"	"SCAF11"
"560"	"DDX23"
"561"	"RND1"
"562"	"RNU6-600P"
"563"	"DHH"
"564"	"RP11-386G11.8"
"565"	"RP11-161H23.5"
"566"	"PRPH"
"567"	"RP11-161H23.9"
"568"	"TROAP"
"569"	"C1QL4"
"570"	"DNAJC22"
"571"	"SPATS2"
"572"	"KCNH3"
"573"	"ACVR1B"
"574"	"RNU6-574P"
"575"	"GRASP"
"576"	"NR4A1"
"577"	"C12orf44"
"578"	"OR7E47P"
"579"	"RP11-1100L3.7"
"580"	"KRT84"
"581"	"RP3-416H24.4"
"582"	"KRT82"
"583"	"RP11-1020M18.10"
"584"	"KRT75"
"585"	"KRT71"
"586"	"KRT72"
"587"	"RP11-641A6.2"
"588"	"CALCOCO1"
"589"	"HOTAIR"
"590"	"HOXC11"
"591"	"HOXC10"
"592"	"HOXC6"
"593"	"HOXC-AS3"
"594"	"RP11-834C11.12"
"595"	"MIR196A2"
"596"	"HOXC9"
"597"	"HOXC-AS1"
"598"	"HOXC-AS2"
"599"	"HOXC8"
"600"	"AC012531.25"
"601"	"HOXC4"
"602"	"RP11-834C11.14"
"603"	"HOXC5"
"604"	"MIR615"
"605"	"SMUG1"
"606"	"RNU6-950P"
"607"	"MIR148B"
"608"	"GPR84"
"609"	"ZNF385A"
"610"	"ITGA5"
"611"	"RP11-753H16.3"
"612"	"CS"
"613"	"RP11-977G19.11"
"614"	"CNPY2"
"615"	"RP11-977G19.10"
"616"	"RNU7-40P"
"617"	"RNU6-343P"
"618"	"MYO1A"
"619"	"TAC3"
"620"	"AGAP2"
"621"	"TSPAN31"
"622"	"CDK4"
"623"	"MARCH9"
"624"	"CYP27B1"
"625"	"METTL1"
"626"	"METTL21B"
"627"	"RP11-571M6.15"
"628"	"TSFM"
"629"	"AVIL"
"630"	"RNU6-1083P"
"631"	"RP11-571M6.17"
"632"	"CTDSP2"
"633"	"MIR26A2"
"634"	"RP11-620J15.1"
"635"	"DUSP6"
"636"	"RP11-887P2.5"
"637"	"NR2C1"
"638"	"FGD6"
"639"	"VEZT"
"640"	"GAS2L3"
"641"	"RP11-575G13.2"
"642"	"AC010209.1"
"643"	"ANO4"
"644"	"ASCL1"
"645"	"PAH"
"646"	"GLT8D2"
"647"	"HCFC2"
"648"	"NFYB"
"649"	"TXNRD1"
"650"	"RP11-818F20.5"
"651"	"EID3"
"652"	"CHST11"
"653"	"C12orf45"
"654"	"KIAA1033"
"655"	"RP11-61E11.2"
"656"	"RNU7-169P"
"657"	"MMAB"
"658"	"MVK"
"659"	"RNU4-32P"
"660"	"PPP1CC"
"661"	"RASAL1"
"662"	"RP11-780K2.1"
"663"	"RBM19"
"664"	"MED13L"
"665"	"RP11-493P1.2"
"666"	"MIR620"
"667"	"RP11-115H15.2"
"668"	"RP11-103B5.2"
"669"	"TESC"
"670"	"SACS"
"671"	"TNFRSF19"
"672"	"SPATA13-AS1"
"673"	"SPATA13"
"674"	"RNU6-70P"
"675"	"GTF3A"
"676"	"RNU6-63P"
"677"	"LNX2"
"678"	"POLR1D"
"679"	"TEX26-AS1"
"680"	"TEX26"
"681"	"GPALPP1"
"682"	"NUFIP1"
"683"	"MED4"
"684"	"AL137118.1"
"685"	"DLEU1"
"686"	"DLEU2"
"687"	"FAM124A"
"688"	"DHRS12"
"689"	"RP11-327P2.5"
"690"	"SUGT1"
"691"	"UGGT2"
"692"	"MBNL2"
"693"	"RAP2A"
"694"	"STK24-AS1"
"695"	"STK24"
"696"	"TPP2"
"697"	"IRS2"
"698"	"TUBGCP3"
"699"	"C13orf35"
"700"	"ATP11A"
"701"	"TMEM255B"
"702"	"AE000662.92"
"703"	"AE000662.93"
"704"	"DAD1"
"705"	"PRMT5-AS1"
"706"	"RBM23"
"707"	"IL25"
"708"	"FITM1"
"709"	"EMC9"
"710"	"PSME1"
"711"	"PSME2"
"712"	"RP11-468E2.5"
"713"	"IRF9"
"714"	"RNF31"
"715"	"GMPR2"
"716"	"TINF2"
"717"	"DHRS1"
"718"	"NOP9"
"719"	"RIPK3"
"720"	"NFATC4"
"721"	"NYNRIN"
"722"	"CBLN3"
"723"	"KHNYN"
"724"	"SDR39U1"
"725"	"RP11-260G13.1"
"726"	"RNU11-5P"
"727"	"RNU6-189P"
"728"	"C14orf166"
"729"	"RP11-463J10.4"
"730"	"NID2"
"731"	"GCH1"
"732"	"KTN1-AS1"
"733"	"KTN1"
"734"	"TMEM260"
"735"	"KIAA0586"
"736"	"TIMM9"
"737"	"DAAM1"
"738"	"RNU6-398P"
"739"	"SLC38A6"
"740"	"TRMT5"
"741"	"PRKCH"
"742"	"TMEM30B"
"743"	"GPHN"
"744"	"VTI1B"
"745"	"RDH12"
"746"	"RNU6-921P"
"747"	"ZFP36L1"
"748"	"RP1-240K6.3"
"749"	"NUMB"
"750"	"ACOT6"
"751"	"ISCA2"
"752"	"NPC2"
"753"	"PROX2"
"754"	"RP11-316E14.2"
"755"	"RPS6KL1"
"756"	"PGF"
"757"	"EIF2B2"
"758"	"RP11-950C14.3"
"759"	"MLH3"
"760"	"RNU6-689P"
"761"	"ACYP1"
