"name"	"mIDH2_NR"	"mIDH2_R"	"distance"
"104"	"13,14-dihydro-lipoxin"	0.568674129417771	0.579934018326439	-0.00171371562347775
"105"	"13,15-O-didesmethyl"	0.652718134142654	0.659231640343751	0.0011197765330099
"106"	"13,16,19-docosatrienoic"	0.556835932675324	0.572469162176832	-0.00581761195596118
"107"	"13-Docosenoyl"	0	0	0.0224895280476119
"108"	"13-O-desmethyl"	0.668617559712197	0.674471350806857	0.00141761144300459
"109"	"14-hydroxytetradecanoic"	0.627710201486674	0.632274800711677	0.00363787863773126
"110"	"15-Keto-Prostaglandin"	0.706079767217296	0.711438183110289	0.00106032495876365
"111"	"15-dehydro-prostaglandin"	0.453659555794348	0.46555120498724	0.000272322849524411
"112"	"15-deoxy-prostaglandin"	0.590579900937925	0.597084913146849	0.00254257294386664
"113"	"15-epi-lipoxin"	0.579862474994505	0.589515684582341	-0.000361689571562105
"114"	"15-keto-prostaglandin"	0	0	0.0224895280476119
"115"	"15-oxo-lipoxin"	0.595572564813364	0.606098914930761	-0.00159240090548371
"116"	"15-oxo-prostaglandin"	0	0	0.0224895280476119
"117"	"16-5-5"	0.561520011412157	0.571346151717746	-0.000117135123238497
"118"	"16-hydroxyhexadecanoic"	0.665214370215244	0.668521288168951	0.00404194316120634
"119"	"17alpha-hydroxypregnenolone"	0.590579900937925	0.597976877382689	0.00165060870802671
"120"	"2,3-Epoxy-Alpha-Tocopheryl"	0.47068852278565	0.482272407646313	0.000192497963950069
"121"	"2,3-dihydro-2-S-glutathionyl-3-hydroxy"	0	0	0.0224895280476119
"122"	"2,4,7,10,13,16,19-Docosaheptenoyl"	0	0	0.0224895280476119
"123"	"2,4,7,10,13,16-Docosahexenoyl"	0	0	0.0224895280476119
"124"	"2,4,7,10,13-Hexadecapentaenoyl"	0	0	0.0224895280476119
"125"	"2,4,7,10-Hexadecatetraenoyl"	0	0	0.0224895280476119
"126"	"2,4,7-Decatrienoyl"	0	0	0.0224895280476119
"127"	"2,5,8,11,14-Eicosapentaenoyl"	0	0	0.0224895280476119
"128"	"2,5-diaminopyrimidine"	0.551002639810041	0.55998180533972	0.000969221162700287
"129"	"2,6,10-Trimethyl"	0	0	0.0224895280476119
"130"	"2,6,9,12,15-Octadecapentenoyl"	0	0	0.0224895280476119
"131"	"2,6,9,12-Octadecatetraenoyl"	0	0	0.0224895280476119
"132"	"2,6,9-Dodecatrienoyl"	0	0	0.0224895280476119
"133"	"2,6-Dodecadienoyl"	0	0	0.0224895280476119
