	Group_control_4	Group_control_7	IDH1_13	IDH1_24	IDH1_31	Group_control_41	IDH1_46	Group_control_56	IDH1_58	IDH1_64	IDH1_68	Group_control_72	Group_control_75	IDH1_81	IDH1_82	Group_control_107	Group_control_110	IDH1_112	IDH1_115	Group_control_123	Group_control_126	IDH1_133	Group_control_141	Group_control_148	Group_control_151	IDH1_158	IDH1_160	Group_control_176
ABCB10	22.8276657665953	22.5948983600755	21.9559097536714	22.0967411339354	23.7564988465515	21.6181271678315	24.0503119288726	23.0525265471119	21.491435306701	28.0810130534557	20.6341529063292	21.6672433807628	20.925561637616	22.3327063995208	21.7847976056978	20.9510670173201	22.6890489487196	25.1993021786401	23.6466827152923	22.5212597737682	23.6880148799834	23.6507188114403	20.9823585929478	24.6674218603273	23.9634559455408	21.0962129935306	22.8404111211135	22.8774876054272
ABCB7	21.3901355739529	22.8683900589768	22.6167650710514	22.7140991958323	21.779804663228	20.2972100153443	23.9397870617901	23.9175953475298	23.2719229644636	24.5895612119508	23.2529762254019	21.1985550428293	21.6141744075826	22.3333988931405	21.4772438768811	22.0686218768417	23.275504482841	23.9171935227525	24.4342499381136	23.3410423768526	19.1790176630862	23.0506298091826	22.8428869715789	23.5271445539095	23.2847833444058	23.0736285243747	21.2002111291275	21.2864113795829
ABCC1	20.1964496971218	22.4993919483687	23.0807069423005	22.3623557179133	22.3428885376869	22.3884253310133	22.6144264085766	21.9084549527366	21.5577992785819	21.9584461311299	22.7065554786652	21.3327545355327	22.5911963431733	21.5678616235935	22.3296025339887	19.5973862604603	22.0265201050922	22.4592491952814	22.5057561961061	22.6832167190584	16.8252466797433	22.8441512949306	21.7847278668885	20.6732196509734	21.2927100319465	22.6607147767218	19.9741367486292	21.2904509256974
ABCC4	19.855612993712	22.5722191940327	21.4580068411598	22.0033410569883	19.68332351066	22.1142555654428	22.9743066865264	21.0815887170015	19.2310351435872	21.0697315589923	23.9981570679219	22.3848543210513	19.8733175825935	21.6929865644898	20.7699914869861	20.4095370067739	22.1954596943803	21.4075245104735	21.513196434925	22.6192620478958	21.810505980721	22.31523043904	19.3223359710998	22.5784715758721	20.764005580312	20.9801048966399	18.7375739751856	21.197180691304
ABCD1	22.3471473293265	21.7793572804114	19.8848344607729	19.4170793649927	19.0841578332289	20.4169392767876	21.4263237615534	23.921519478041	20.8985597796477	21.2552477143001	15.8070251420895	23.0194958695383	22.8009930560194	22.2798171993218	22.6430136046714	23.0731848607622	21.6480434880654	22.6498869179844	22.3185088067492	22.7462336384445	22.7771405120174	20.9331430168193	19.4741074894012	23.4685855621998	22.5756121701065	21.1797017555469	22.136130683003	22.6137052441511
ABCD3	21.951921022875	21.5971737506479	21.396937560079	21.9763770866741	20.9669037154889	20.5324125878604	22.2660299831524	23.072075064916	23.2630215360613	21.311945629407	21.1068086556252	22.6653142370001	21.14763568526	22.3874278224218	22.3675886944153	21.7425583706509	22.3055373260001	22.8454298038265	23.147625646748	23.7280164676702	23.1167797785435	21.2056825369935	20.6353471547628	23.6985800056183	23.0352259562329	23.4423958037763	22.7187919291666	22.1748374127127
ABCE1	24.8722243246423	24.7915169754323	26.3083331416781	26.024377394102	24.8370630052269	25.3622237648968	25.1096828973973	24.5844667032303	25.4315797328727	25.319507194839	25.5614758411795	26.5113949465059	24.8686635886214	24.3768898568572	24.9343740033633	24.7096049917411	25.0683993179553	24.1219985107571	24.0951733226535	26.0442777827678	24.2057837032081	25.5936106499558	25.7817433315721	26.2380695243927	24.1716224129907	24.8156972131985	23.8531541859166	25.6121881901842
ABCF1	25.4973440858595	25.3459013987947	25.7692268587987	25.0680869862488	25.063162172035	25.4694448603357	25.2611658766907	23.879003255186	24.4268724794472	24.5370038316112	24.4970698669621	24.7416120859466	24.544042777471	25.4918767192083	25.4872724508336	24.9386761103334	23.9026007362642	23.8751389623106	24.1214303723977	24.3896364134219	25.3685959061646	24.8075438299771	25.7542455640928	24.8715343547123	24.2774440942399	24.8818303538729	25.1681995695877	25.0764578137005
ABCF2	22.2779556751655	21.2748612515629	22.0741097583714	21.7975838902568	21.7423378730161	20.6482754265941	21.099409065288	21.0376730799568	22.1731231404714	21.4295252752394	22.9417003433797	22.9153765684374	20.6502232890624	22.4885318908873	22.1927340554596	20.5196723461949	21.5229185471691	21.5190159832333	21.4471210020522	21.2038627971805	23.1684282610073	19.5420243236435	21.4262614300789	19.7561416943316	23.1973704518784	22.4413097149034	21.7240392715236	22.0104423128034
ABCF3	22.0522893168696	21.1140873162062	21.805696346014	21.8045665342548	21.6098263335105	21.3013257638028	20.7011242453498	21.5564229358093	21.6569557087422	22.0862256309014	22.0104118405851	22.1517869371957	22.0467665155931	21.7949851038807	20.7722565182003	21.7722490345923	21.0772556220881	20.7232398256296	20.817903986919	21.5913562582129	17.324012942568	21.6990698140269	20.3179542457673	21.4534147021357	21.9852036515731	20.9251526425324	21.8088553129774	22.0625091768291
ABHD10	23.4871649506369	25.2668128566531	25.139750158558	25.6374898649868	25.1080299878066	25.6393943361524	25.6556131278201	25.9034939252142	25.4721050365713	25.037806561155	25.3167947622448	26.5656402800433	26.1935048716201	23.3443097352418	24.1808255296062	24.420416770795	24.0111779650415	26.5356417411147	25.8303026483307	25.6153501201611	25.8175481759388	26.6240844368116	24.8619675352038	25.3296188840953	25.9773572339689	24.3642923618548	23.2372099651596	26.1190069580485
ABHD11	22.0144329989967	21.3355121510819	20.7081083858561	22.0630253508298	18.7769070703712	19.7551029267801	24.451886093504	22.2506622164354	22.3025328856391	19.4471035926053	22.5868406441723	22.3658396004124	22.5995206935593	21.9756249499504	20.7962341097799	22.1199096855453	22.148629813353	19.5907242185323	22.9863900489783	22.10286378496	22.9257669551298	21.7700504100386	21.4467909805107	21.7827531260698	23.0715674443129	23.376334797854	20.1101540370841	21.2090252175897
ABHD12	23.5358126274156	22.7918406601073	23.2944422126082	23.3343570747615	23.0696028836835	22.3296066541963	23.5951127895713	22.3498042196453	22.8595141600751	22.2796189011325	21.4892094031632	21.1956552257971	21.2828306375417	23.3597609991297	21.945802372261	21.9645170026913	23.2789092431375	23.6868239786233	23.4828069855978	21.8749468224004	22.6876357116806	21.4090304030067	22.2996401539322	23.1210836077009	23.4031853264116	23.0717097399703	23.1130372029903	21.8026365191138
ABHD14B	27.6444061265616	26.3875704991677	27.5300650101045	26.8217549432013	26.7818592011964	27.0429779144829	25.9889333900671	24.192529741472	26.6045052280658	27.9207873422146	27.2987115016164	25.0702291623603	27.0928809601103	25.5143539079453	26.1870372534664	26.8605046012518	24.8829120165482	25.3298516528901	24.2655700339329	24.0747826476983	25.4390427050112	25.3238988120616	27.4867636117459	23.4268628216173	24.3760523002846	24.872698094264	27.6400122639939	26.4012846697489
ABHD16A	22.9756862777905	24.4126941115956	21.5174891576957	23.6634502405386	22.2260735202261	23.4641564613017	24.7316679427836	24.5142651625406	22.7405928078546	21.8911155535716	23.34005729807	23.331637368585	22.7756737580518	23.8193603583057	23.4102099735154	23.4152767088576	24.671557193058	23.5436509227655	23.6660581096915	24.5184979344741	23.2019853476584	22.5871351733963	22.3028573638734	23.7916915435573	21.5074407618324	22.2436460673512	22.6992434113626	23.3751019789306
ABHD17B	21.1534037446935	22.9596116664123	22.0082363028044	22.1439172617724	23.2143484771358	22.7071599463969	22.7129480529189	22.5407016274558	22.5696334455093	23.1052588460827	19.8655859771967	19.0945430221481	18.0392591129933	20.7093138047605	20.7166550513245	18.1092558030645	22.0944998954189	25.8105576405143	24.4431802204167	17.2201056999259	19.7070750772402	21.7542528993409	23.1130171910349	22.4019722645698	23.2528997840022	23.0369984972865	20.461940795854	19.4115841906973
ABI1	24.9648886271186	24.1027166551102	24.9902003906195	24.8726450890596	24.1819928949608	25.3572464670057	25.0597223681313	23.2583847024964	23.8588690148988	25.0826022421746	25.0200035384331	23.2576992477395	24.9885804004201	24.4002326626188	23.4820273326508	25.3012542280096	23.1530629547207	22.6447509236389	22.1597257905489	24.3749209240048	23.6740784458885	25.0072705314378	23.941787784224	24.03700740831	23.36819997167	23.654154581878	24.6400289151182	24.2736413042971
ABR	23.5524324742867	20.4609215633941	19.2956666599747	20.9727951353814	21.332093111189	22.0201774218264	21.0517712750378	22.5561240374429	23.2320613004838	21.8464352881553	21.0429116922642	19.2976456300043	21.6717235127637	22.7505541642135	20.9930032864067	21.7616307990914	22.3485296382186	19.7526667368719	20.4641840167938	19.8025586770149	19.443570226303	21.9927448165502	24.665905279147	20.951097142799	23.1275728658002	21.7260503675315	23.3652924308897	22.5368817332238
ABT1	17.4445521874825	17.7225132523823	20.6314579983337	19.1467615951824	20.8899503620078	19.0715005563755	20.6614789856262	21.5830983671153	20.9520404848135	21.3775305459658	21.366450482134	22.2254076651323	17.9838468720025	19.5391294301451	20.1995210139179	18.011287788437	21.0296178318379	21.3593673500086	22.3758415076741	21.5449014778963	20.1459895371481	21.6076318023354	21.5032436374607	16.7426980007292	19.6614258953129	20.9475721234678	19.3356143504834	19.2774729620961
ACAA1	23.5806660162369	23.3085274620513	21.2301764403026	22.1477692575316	22.1132836219295	21.8205805629195	23.4865067068932	22.9831040617444	20.9948596736271	21.9712284091922	23.0928226489128	21.0647306508364	22.6647882172091	22.3770115642265	20.7312551251383	22.980837951195	22.4416844570088	21.9944994148095	22.8064282695778	20.4976635746655	23.2563749506999	22.6913987440013	23.6108046879433	24.651956169489	23.5314409155466	22.3487896819312	25.1574226376322	23.9337279257132
ACAA2	28.5895733556496	28.2987519006846	27.9729868146078	27.8899119245251	25.5432478007916	28.9246417754631	27.8506592055823	28.7200241726905	29.3387297234594	27.7779316792658	26.8801423894033	28.4666074006707	28.6407340425297	27.5180264885336	26.1895763967383	28.5904113708809	27.0230924019054	29.923161831874	28.3112187484449	27.0434739411371	28.9233676330141	28.8887116963958	27.5678719269447	28.5642133005204	27.8665086822114	27.0128351987699	28.3893480682316	28.4726773555564
ACACA	19.3689775294701	19.1495694790276	20.8839873382909	20.3627659642929	19.0900584559461	19.586653853806	19.0022209921499	19.4551664626554	19.1239871715533	20.0701170190619	19.2534504713477	21.3333893213507	16.5824724865339	20.5727915730412	20.6894746767541	21.0064953607909	19.3684699078577	18.2268003268776	19.1542602005181	19.4045479691345	18.4296565266708	18.9996719769232	19.0814203262218	18.4397690312234	22.0322210829557	21.0593088543847	18.5671339830556	20.8928441724285
ACAD8	21.6383656826882	23.7449571388706	24.283106697179	23.2263569240006	23.7144442861096	23.5667609326097	25.0273627183642	24.052068952291	22.3489588120549	22.8745719090446	23.36158230808	22.6884406385055	23.4959104033148	22.5170251179448	23.3105341731403	22.2956299415253	22.3201373998139	25.1392427840879	24.3673088882164	23.1457880300187	23.4213471286255	23.8071646616743	22.1837773151984	23.2712248806062	22.635224329196	22.2773474235064	21.3519105126769	21.7633375062
ACAD9	23.8345370625821	23.9377300502342	23.036445058446	23.7504303245538	22.9833874280399	23.9667481326962	25.4117399581083	25.324064315942	25.3292638005729	24.774168469383	24.0355517233817	25.4601319241109	23.7004989870632	24.8785293495247	24.9529703424404	24.6108236622915	23.8729966340252	24.8074517785842	25.3424264663532	25.3737708355643	24.3773778513714	23.5720197969599	24.9970326449318	24.4781114170619	26.2709601017402	24.5492747199975	23.2846602050544	24.0334758608403
ACADM	26.786507520497	27.2244057576354	27.3200951738535	28.0545667095417	27.5361001685732	27.1473280467904	27.9356050895898	27.8918162305674	27.195894779227	27.8873600981172	27.114695749151	27.4604430252539	27.1937397704189	27.5612352050082	27.8184800865548	25.9860582830683	27.1254516150565	29.1219178600651	28.6192918474764	28.0487005647773	27.483630116959	26.8030074757826	27.0055526808574	29.0958175691872	27.1499364823522	27.6850589530721	25.909124461737	25.5029617486385
ACADS	24.6249896754851	23.8343753775049	24.8147253927961	24.4886429500262	24.4330651129267	25.8134410658852	25.9808542978381	26.9028920608893	21.9771618730674	25.4657531911339	25.2701957124241	25.8737093114826	25.2239560963411	25.2615937367816	25.5857363873743	24.6959715236047	25.0538280980424	26.2008932107772	25.5512565735219	24.7615776219135	25.4326371390296	26.1537081456801	23.597777151724	24.2388837253816	24.6729589396996	24.2601297799026	27.4134081539215	24.5167642725877
ACADSB	22.9219891683687	23.938148431796	21.6282015751335	23.4043710650959	23.5551996074962	22.3044171987823	24.0292197273748	24.1945495145292	23.2235205458418	25.7316563141201	23.4110523210321	25.6266766396312	22.7605831679241	23.0185347680586	22.1262835218762	22.1349281409209	22.205645121369	23.5268868063904	24.0385186883978	22.4676492260488	24.0830680630301	23.8566635285272	22.0722714154881	22.3650969793247	24.2899666871948	22.668447622141	21.5424328197766	21.5040707804018
ACADVL	28.3075697560071	27.7886149342262	27.6380651608654	27.8843431216672	26.7707937302328	27.395673571129	28.7595859352431	29.5298377530423	29.3758069860103	27.4148630452757	28.3325179140166	28.8386640247655	28.1757678578016	28.3468836434251	28.572980739039	26.9061226184447	27.3351329122993	28.1117860732859	29.1816832283157	28.5890764192927	28.9998593240821	27.6123593937213	27.1775219297314	28.9229394224375	28.4692955241956	27.4077729662133	28.6224875868393	28.0171319694453
ACAP1	23.0823735760643	24.2844818033118	24.1275697448207	23.6602041766966	23.484622966096	23.9711194986701	22.5812299956858	23.3502555227002	22.5994683789549	22.4289666917653	23.6845151660326	23.3496710565961	24.1926888272129	22.9740276260472	22.9868655407169	22.8111625874361	23.318020705696	21.7062056647887	23.2258629988155	23.0733358850652	19.2702085527242	25.3548446206887	23.1666277387544	22.8019594646562	20.3745212001233	22.6434024362312	24.3798388644939	23.9963408904878
ACAP2	25.117150661734	24.8262714989673	24.4039324068534	24.8241561087353	23.3870535004806	25.3449547052574	23.5644122391012	24.5840627486188	23.8945612902104	23.7590738116631	23.8169689977366	24.2100366711807	24.7635199740414	24.7159953262182	25.1174808579529	27.0886235411172	23.7397926008999	22.9079706338491	23.1253648622671	24.0826164817703	21.5159220803219	24.2052042234556	23.5802916878285	23.8863900460412	23.2577905201908	24.5100622687862	25.6369888961741	25.488477090428
ACAT1	28.4156564684705	27.2562604641382	27.7650656053149	27.6820628499842	28.2104591115359	28.637502181475	27.8831342709527	29.509466899065	29.184173803729	29.4708766019473	28.2279369505026	29.8128582780762	27.8470642196854	28.8353657573197	28.5195144608236	29.1167930834997	28.3821255573732	29.4951863479943	28.313830026469	27.8429578249961	28.3205086562779	29.1688975002868	25.5840796840199	30.4587604282158	28.1825743117693	29.0850646477012	27.6469516271406	28.3097105237376
ACAT2	24.4447826379277	24.0726076096069	26.2982198494414	24.4622560577283	24.8947419529616	24.7531034916831	24.0629643643812	22.3668424480782	24.2029517821509	24.1569979578411	24.5742684786	23.6589848733627	24.4873448623641	24.0608530812001	23.8098220728912	24.9091585697968	23.8330051274917	23.0622524415217	22.5811658658934	23.0563265105331	23.806128322981	24.5464593084274	25.2872163254562	23.7935093393088	24.8305445190159	23.8039063271222	24.5508415076905	24.4043061941504
ACBD3	24.9217953262472	24.1900718398361	23.3517027787811	23.8396177319816	23.5696842657068	23.9086508033996	23.3627523262857	23.1809408327015	23.689337920644	23.3605725874688	24.1866307480636	23.3849738042467	23.6208045130045	23.8706481670093	23.496569698663	24.6813137419893	22.6959306040647	22.7588825283236	22.6208976873195	23.2850946631669	23.9846329803902	23.8243615865617	23.7088213890213	23.7330604170956	22.4686074789238	23.6588866216121	24.1402216451527	23.9177428646602
ACIN1	27.1688505602334	28.2196777854934	27.9296915364307	27.5942171489445	28.3125874934804	27.664779477106	27.8968254468907	28.3940905090529	28.0026354191417	27.5041802952571	27.502881703803	28.31486473627	27.7376790816852	27.5876076703556	27.7355972564558	27.1454080179266	28.6527174392423	29.1759179354456	28.3090258519828	27.9408735374213	28.3474293457409	27.4200337178204	28.0560510748807	27.6243840430837	26.1187557749264	27.7437910681867	26.7987046508995	27.2734659567183
ACLY	26.954668054463	27.224463465437	26.7686538483745	27.0931835881941	26.8855889746363	27.1210132892445	27.0249182719791	27.2288834323285	27.1031150611475	27.076190384427	27.2630192263048	26.537579861498	26.9274038389204	27.2931391855598	27.2001842728811	28.2875752548479	26.0912701019456	25.3376566330613	26.3889141681629	26.1600396328488	26.0888758322788	27.1134465946811	26.273976452573	25.9957400383746	26.202994738364	26.7919585880098	27.3472461593463	27.5489774286768
ACO1	23.3549852309906	24.1565724609866	24.3047904036435	23.4917118228713	23.9377446245384	24.6642046232635	23.9710646902765	23.4713120635812	23.7556586116737	25.2576300045352	23.6036521089908	24.3973850491905	24.7305832462579	23.6937881819467	24.5274330131798	23.3437478887304	23.5769556116347	21.7856115998392	23.0235538732316	23.2003363295147	23.0042784192549	23.6380230950805	25.7362840108337	24.3379391668891	23.9617247114917	23.0187484050193	23.368091259269	24.0537745800656
ACO2	27.6785402912291	27.339027878634	28.1974413090693	27.2183806638425	27.8497420704624	27.9458741788728	28.0919066703197	28.3284478846925	27.5739962955432	30.314276122851	27.8120079702143	27.4944906282189	27.7567370831754	27.7389175262441	28.4055559795438	28.1911166644141	27.7879804586839	29.0194143774099	29.4475719243515	27.5339469741881	28.5842621636532	27.7914122752461	26.2331481829159	27.9942189168156	27.8056269514859	27.4558724188765	27.7138205422858	27.8699337944234
ACOT1	23.1979045949387	24.3526347170434	25.2254462439868	23.2848870618095	24.5645667659038	25.3304267661956	26.1673947666251	24.3997296032445	24.1395309081534	25.629614493878	25.5402537971281	24.978906566272	25.5165057967326	22.6229622147973	23.6579784198376	23.7443265937834	25.2053110773357	26.2111796264188	25.9419672444955	25.2871658522597	24.4008360727363	25.7722740038195	25.518206228453	26.9390317639094	23.8413029564287	24.4309881535951	22.6766940878735	24.0428389516556
ACOT13	24.2175148881365	25.0331395408803	24.6798045525722	25.6181144705877	25.0929826785302	23.9639925851681	26.0539123747087	24.482698995046	24.3189300364879	27.2389552389401	25.5504392241167	23.4531844257799	25.8130084815361	23.9753156922258	24.7284437132268	23.7514102264342	23.2301172968546	26.3792824525831	25.3197473003105	24.8464225172681	26.0499807739764	25.4604643246322	24.4185263604858	24.6294501268511	23.6117413215225	23.5325642438319	24.503650952903	23.5556841171987
ACOT7	23.0539236298579	21.9386452398759	24.4937257461984	23.5596194784459	22.4505712955389	22.4171493892774	21.5645050925697	19.6981613973432	22.2438151974749	23.5939717911838	22.1404419446204	23.5851044603188	22.5629339473223	21.9136611979442	22.8220376322953	27.0280159224494	23.5085718666966	21.3782522280938	20.5395936865811	22.0634637833934	19.1517869534863	22.5332649405695	20.331775264259	23.1388431836542	23.2687550025016	22.0642325120663	22.0587156671089	23.2301399812221
ACOT8	22.8912597639977	21.8911372921795	22.0889983711934	21.9148172892794	19.3568271959567	20.9904682633425	21.8439984028411	23.0774707443689	23.3283179136119	21.1932695353435	21.315783032298	21.7718243442768	22.6489185717593	23.2164003929166	20.9310683883014	22.1568138246912	23.8123890153574	21.5654996174508	23.5554322539561	23.3416338818193	20.096543514883	21.8609690515154	22.5703763053054	23.9999012918584	22.545921506165	22.7232267528436	23.4719220213618	20.9575346180619
ACOT9	24.0343214718444	23.5463557395418	22.5541809601776	23.8219879985819	23.9570623111359	23.3294953061851	22.3129031450309	24.0999664276485	22.9089120382751	22.0299460973564	21.509912077	21.7619707371475	22.8112650447105	21.9716142577367	23.2744523701677	24.0318268615317	24.2799520511591	24.9160578612623	25.2020378119243	23.9052082725922	20.2640600558392	23.0868703086098	23.566196557279	22.8811922763019	23.7883704753785	23.9906920540661	24.228370312151	23.4678095622581
ACOX1	23.7629361077028	23.5077059393964	22.2110215177518	22.3578400824354	22.2708114934441	23.6275705285832	24.101945984386	23.8350443372901	23.6837835447366	22.1156854636364	24.115621298151	24.0247802009801	22.8141648617427	23.6293141405694	24.1382227450487	23.8938907886723	23.7855837414977	23.7403046837891	23.5291030694599	24.5300106409004	24.3437919108195	24.1476262643737	22.4066304181645	24.8208813318267	23.6383734719773	22.3909596579764	23.788882121845	24.5111954697298
ACOX3	19.5485209273086	19.7670141026273	19.2327218753408	20.0574916936414	19.9077202973198	21.9876879295056	20.1176406630128	21.1426147172311	20.4259184573022	19.8829994722588	20.4430535212131	22.6606254781172	18.0988171092524	21.8429835678911	22.094486523175	21.3682078614417	21.0182205410149	20.5145539879651	21.4175024728628	20.7653123586511	21.9391222436163	18.9218385794674	20.8182376050963	22.6283311164853	22.9093796678161	21.6903436652695	19.8012874557806	20.3305682071925
ACP1	26.9632232360555	26.4700205207545	27.4253830579376	27.7052325323409	27.6352565987335	27.7852877938715	26.2929525160336	25.3821183643874	26.6739421403838	26.5735698591317	27.4835784441559	27.1159274494896	27.5463200114617	26.735494271405	27.0116384579873	27.8834186660933	26.0370824762098	25.7424191537331	26.1469742098058	26.1924858443184	26.3705187581611	27.6030972915588	27.3536172864223	26.2102832179052	25.2625739759605	25.6814729341864	26.3649583868562	27.3738486776633
ACP2	23.8484446427763	25.6024125770647	21.8855927973785	22.7583177988356	21.4980030408912	22.497897030716	22.6308009972907	25.3740104182576	23.3058695787757	21.0501974681386	20.9331803074542	21.7403447384846	24.1561309348768	23.5671484112575	20.9778549884774	18.1707916962455	22.6622148209591	23.2600892124788	25.0487514638299	24.9602944368455	22.4708130739855	22.5857357592067	24.3715810638552	24.4067268664387	19.6675429222863	20.5992045519444	23.5158665123072	23.6958852212723
ACPP	24.111823049441	22.9038947839331	19.7217666403012	23.0252596622512	18.0137358206927	22.1658607670554	22.7434754799841	24.6795547333753	24.4278679390254	16.7109883267176	21.8243618881121	20.4289926541184	22.7785591481336	24.5847245044477	25.0034069610698	19.6616006167298	22.9842820618871	21.6000954445313	24.0176717450569	23.4168271473505	22.9891734021768	17.9554345663642	22.0576136338727	21.8262071007014	21.6273287197302	22.4491291220251	24.1716435431432	23.4285971110468
ACSF2	21.4600918564856	19.5568855699218	23.1930928859857	21.965859839826	22.8829181453924	23.9237413935273	21.4589863772791	20.5326432539433	20.229452246634	22.6637076018683	21.0313412780363	22.545310863499	20.8472521507966	21.5128083808332	21.1707144615434	21.2089776097792	22.6509473726898	26.9258907496751	26.7757728433772	21.5202025387962	20.9604556356789	21.2466117953035	20.383005365161	20.8326951607933	22.451468261838	21.7334225391905	21.674021034456	22.5486829786582
ACSF3	23.8922160103168	25.5453395612472	25.5997678992959	25.4861367282472	24.8462673995877	25.1652814648651	26.0148153391007	24.750145801726	24.9589239835767	25.0822559953648	25.2031392469235	23.6317323640403	22.8328621894726	23.6522674186699	24.0666362171198	24.5392804152138	23.4956453191302	26.06585695495	26.1679509957003	24.4010481311953	24.2925618099175	25.7426987554813	24.5362935566735	25.6863685138064	23.4648172585584	25.0786428113509	24.1140800110118	24.3677627287647
