""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ID"
"RGS10"	-0.826500908571431	7.68859411483254	-4.29563826314582	2.17151082257052e-05	0.00226102192596098	2.48094454141155	"RGS10"
"HLA-DPB1"	-1.16563954761905	10.2291672631579	-4.26050682967798	2.52570947187173e-05	0.00246762928049213	2.34298076524914	"HLA-DPB1"
"HSPB1"	-0.965944717142856	8.11210752392345	-4.24561199267492	2.69197111677907e-05	0.00259576240990984	2.28479969561987	"HSPB1"
"MEIS1"	1.35403003619048	7.6459726076555	4.24378948001882	2.71301768536452e-05	0.00260473187125603	2.27769351084737	"MEIS1"
"S100Z"	-0.829550525714288	6.62804470813397	-4.23980260028871	2.75960741512664e-05	0.00261794509285485	2.26215792719755	"S100Z"
"HLA-DRB1"	-1.14165786380952	11.2233371244019	-4.23958323103315	2.76219294674017e-05	0.00261794509285485	2.26130350309883	"HLA-DRB1"
"EGFL7"	-1.1378311647619	7.03608392822967	-4.23440734633474	2.82387194837445e-05	0.00265372169792579	2.24115560141168	"EGFL7"
"COL4A5"	1.3989887552381	6.50902321770335	4.21001525038455	3.13265946464421e-05	0.00283784795027224	2.14650855098067	"COL4A5"
"LHFPL2"	-0.761459223809521	7.1299090861244	-4.1987094085655	3.28646717380175e-05	0.00291549075922301	2.10280883393322	"LHFPL2"
"MREG"	-0.787910798095236	5.80535850478469	-4.19313557041976	3.36491948402646e-05	0.00296139620304519	2.08130421940854	"MREG"
"MRC1"	-1.16573380761904	6.38749896650718	-4.17304461738927	3.66277826328042e-05	0.00318561162051111	2.00400766463388	"MRC1"
"GALNT14"	-0.89475440666667	6.04513188995215	-4.16317296337842	3.81817808886611e-05	0.00324442734309856	1.96615272957409	"GALNT14"
"MIR21; VMP1"	0.859433030476191	9.51213801435407	4.15202237640649	4.00126247581618e-05	0.00337414445584225	1.92349228032596	"MIR21; VMP1"
"KYNU"	-0.956756033333331	7.73482361722488	-4.14242080484507	4.16558463869411e-05	0.00346120375057141	1.88684218353508	"KYNU"
"C10orf128"	-0.929002100655236	6.11879118740431	-4.10290933443225	4.91191008012437e-05	0.00389058363417851	1.73684283735015	"C10orf128"
"METRNL"	0.966803956190477	7.88029015550239	4.10093228368975	4.95241314963318e-05	0.00390870529653255	1.72937194374129	"METRNL"
"HOMER3"	1.06718594571429	8.30281228708134	4.08682276960842	5.2508313608326e-05	0.00405759365576813	1.67615088838597	"HOMER3"
"TARP; TRGC2; TRGV9"	1.02266893047618	9.43789499521531	4.02498174340107	6.77246356470605e-05	0.0048766135369497	1.44487801795464	"TARP; TRGC2; TRGV9"
