"name"	"Cluster_NR"	"NR"	"distance"
"340"	"1,2-diacylglycerol-LD-PC"	0	0.298545246904204	0.2243
"341"	"1,2-diacylglycerol-LD-PE"	0	0	0.0198
"342"	"1,2-diacylglycerol-LD-PI"	0	0.127474952420663	0.1071
"343"	"1,2-diacylglycerol-LD-PS"	0	0	0.0198
"344"	"1,2-diacylglycerol-LD-SM"	0	0	0.0198
"345"	"1,2-diacylglycerol-LD-TAG"	0	0.278991839326505	0.2109
"346"	"1,2-diacylglycerol-VLDL"	0	0.275598872651549	0.2086
"347"	"1,2-diacylglycerol-bile-PC"	0	0	0.0198
"348"	"1,2-diacylglycerol-chylomicron"	0	0.279394197687135	0.2112
"349"	"1-Acyl"	0	0.250753620690846	0.1916
"350"	"1-Acylglycerone"	0	0	0.0198
"351"	"1-Alkyl-2-Acetyl-Sn-Glycerol"	0	0.2326467299539	0.1792
"352"	"1-Alkyl-Sn-Glycerol"	0	0	0.0198
"353"	"1-Arachidonoyl"	0	0.250753620690846	0.1916
"354"	"1-Didecanoylglycerophosphoethanolamine"	0	0.14685848975676	0.1204
"355"	"1-Dihomo-Linolenoylglycerophosphocholine"	0	0.146778069718269	0.1203
"356"	"1-Dihomo-Linolenoylglycerophosphoethanolamine"	0	0.14685848975676	0.1204
"357"	"1-Docosahexenoylglyceroethanolamine"	0	0.14685848975676	0.1204
"358"	"1-Docosahexenoylglycerophosphocholine"	0	0.146778069718269	0.1203
"359"	"1-Docosapentenoylglycerophosphocholine"	0	0.146778069718269	0.1203
"360"	"1-Docosatetraenoyglycerophosphoethanolamine"	0	0.17058066657906	0.1366
"361"	"1-Docosatetraenoylglycerophosphocholine"	0	0.146778069718269	0.1203
"362"	"1-Eicosadienoylglycerophosphocholine"	0	0.146778069718269	0.1203
"363"	"1-Eicosapentenoylglycerophosphocholine"	0	0.146778069718269	0.1203
"364"	"1-Eicosatetraenoylglycerophosphocholine"	0	0.146778069718269	0.1203
"365"	"1-Eicosatrienoylglycerophosphocholine"	0	0.146778069718269	0.1203
"366"	"1-Eicosatrienoylglycerophosphoethanolamine"	0	0.14685848975676	0.1204
"367"	"1-Eicosenoylglycerophosphocholine"	0	0.146778069718269	0.1203
"368"	"1-Gamma-Linolenoyl-Cholesterol,"	0	0.266870644018145	0.2026
"369"	"1-Heptadecanoylglycerophosphoethanolamine"	0	0.14685848975676	0.1204
"370"	"1-Hexadecenoylglycerophosphoethanolamine"	0	0.14685848975676	0.1204
"371"	"1-Lignocericylglycerophosphocholine"	0	0.146778069718269	0.1203
"372"	"1-Linoleoyl-Cholesterol,"	0	0.266870644018145	0.2026
"373"	"1-Linoleoylglycerophosphocholine"	0	0.146778069718269	0.1203
"374"	"1-Linoleoylglycerophosphoethanolamine"	0	0.14685848975676	0.1204
"375"	"1-Myristoylglycerophosphoethanolamine"	0	0.14685848975676	0.1204
"376"	"1-Nonadecanoylglycerophosphocholine,"	0	0.146778069718269	0.1203
"377"	"1-Octadeca-Trienoylglycerophosphocholine,"	0	0.146778069718269	0.1203
"378"	"1-Oleoylglycerophosphocholine"	0	0.146778069718269	0.1203
"379"	"1-Oleoylglycerophosphoethanolamine"	0	0.14685848975676	0.1204
"380"	"1-Palmitoleoylglycerophosphocholine"	0	0.146778069718269	0.1203
"381"	"1-Pentadecanoylglycerophosphocholine,"	0	0.146778069718269	0.1203
"382"	"1-Pentadecanoylglycerophosphoethanolamine"	0	0.14685848975676	0.1204
"383"	"1-Timnodnoyl-Cholesterol,"	0	0.266870644018145	0.2026
"384"	"1-Tridecanoylglycerophosphoethanolamine"	0	0.14685848975676	0.1204
"385"	"1-Vaccenoyl-Cholesterol,"	0	0.266870644018145	0.2026
"386"	"1-acyl-PE"	0	0	0.0198
"387"	"1-acylglycerol-3P"	0	0.28020851043659	0.2118
"388"	"1-acylglycerol-3P-bile-PC"	0	0	0.0198
"389"	"1-acylglycerol-LD-PC"	0	0	0.0198
"390"	"1-acylglycerol-LD-PE"	0	0	0.0198
"391"	"1-acylglycerol-LD-PI"	0	0	0.0198
"392"	"1-acylglycerol-LD-PS"	0	0	0.0198
"393"	"1-acylglycerol-LD-SM"	0	0	0.0198
"394"	"1-acylglycerol-LD-TG1"	0	0	0.0198
"395"	"1-acylglycerol-VLDL"	0	0.273164251585242	0.2069
"396"	"1-acylglycerol-chylomicron"	0	0.275417642995173	0.2085
"397"	"1-alpha,25-dihydroxyvitamin"	0	0.422561766277796	0.3093
"398"	"1-hydroxy"	0	0.470127309471566	0.3419
"399"	"1.5"	0	0.385071887887957	0.2836
"400"	"10"	0	0	0.0198
"401"	"10,11-epoxy-(4Z,7Z)-hexadecadienoic"	0	0	0.0198
"402"	"10,13,16,19-docosatetraenoic"	0	0.273183900513675	0.2069
"403"	"10,13,16-docosatriynoic"	0	0.33677413825589	0.2505
"404"	"100"	0	0	0.0198
"405"	"10385"	0	0	0.0198
"406"	"104"	0	0	0.0198
"407"	"1050"	0	0	0.0198
"408"	"1051"	0	0	0.0198
"409"	"11"	0	0	0.0198
"410"	"11,15-cyclo-8,12,14-trihydroxy-(5Z,9E)-eicosadienoic"	0	0.205669938949559	0.1607
"411"	"11-Eicosenoyl"	0	0	0.0198
"412"	"11-Octadecenoyl"	0	0.280223119682854	0.2118
"413"	"11-dehydro-thromboxane"	0	0.325854095494363	0.243
"414"	"110"	0	0	0.0198
"415"	"114"	0	0	0.0198
"416"	"115"	0	0	0.0198
"417"	"12"	0	0	0.0198
"418"	"12,13-epoxy-(6Z,9Z)-octadecadienoic"	0	0	0.0198
"419"	"12,13-epoxylinoleic"	0	0.144734937180639	0.1189
"420"	"12,15,18,21-tetracosatetraenoic"	0	0.273544138887477	0.2072
"421"	"12-Dehydrocholic"	0	0.300056146805221	0.2254
"422"	"12-HT"	0	0.428334719613961	0.3133
"423"	"12-hydroxydodecanoic"	0	0.388746267418933	0.2861
"424"	"1216"	0	0	0.0198
"425"	"1218"	0	0	0.0198
"426"	"1219"	0	0	0.0198
"427"	"122"	0	0	0.0198
"428"	"123"	0	0	0.0198
"429"	"1242"	0	0	0.0198
"430"	"1254"	0	0	0.0198
"431"	"1255"	0	0	0.0198
