adj.P.Val,AveExpr,B,betweenness,closeness,degree,eigenvalue,EigenVector Dir,id,logFC,name,nes,P.Value,Page_Rank,pval,pval.fdr,selected,shared name,size,t,TF,
"0,1212731","6,717448","-2,70925",156,"0,02941176",8,"-40,46166","-5,03E-172",ADNP2,"0,3509203",ADNP2,"1,840099","0,009573621","-6,760434","0,06575365","0,4526919",FAUX,ADNP2,13,"2,721808",TF,Err :502
"0,3299818","1,400608","-4,78211",0,0,1,"-40,46166","4,84E-173",AFAP1,"0,6871606",AFAP1,0,"0,1225045","-7,565419",1,1,FAUX,AFAP1,0,"1,577778",Gene,"-1,72E+02"
"0,6575658","5,391876","-5,633583",0,0,1,"-40,46166","-1,75E-172",AFF2,"-0,4948458",AFF2,0,"0,4318481","-7,63862",1,1,FAUX,AFF2,0,"-0,7940684",Gene,Err :502
"0,9077353","-7,439682","-5,901548",0,0,1,"-40,46166","-3,73E-172",AFMID,"-0,05364654",AFMID,0,"0,8019686","-7,628341",1,1,FAUX,AFMID,0,"-0,2524751",Gene,Err :502
"0,06373325","2,465019","-1,128393",0,0,1,"-40,46166","3,29E-176",AGAP1,"-1,802304",AGAP1,0,"0,001532271","-7,094736",1,1,FAUX,AGAP1,0,"-3,401922",Gene,"-1,75E+02"
"0,06145174","6,709868","-0,9940959",0,0,1,"-40,46166","1,78E-172",AGL,"0,3785387",AGL,0,"0,001313715","-7,517237",1,1,FAUX,AGL,0,"3,456123",Gene,"-1,72E+02"
"0,2391024","6,624838","-4,251321",0,0,1,"-40,46166","1,65E-172",AHCYL2,"0,2576182",AHCYL2,0,"0,06175508","-7,608945",1,1,FAUX,AHCYL2,0,"1,922034",Gene,"-1,72E+02"
"0,08150963","6,131636","-1,702325","7834,895",0,3,"-40,46166","-1,28E-176",AHSP,"-3,171098",AHSP,0,"0,002965157","-7,035278",1,1,FAUX,AHSP,0,"-3,164936",Gene,Err :502
"0,2691123","5,412098","-4,512528",74,"0,04347826",4,"-40,46166","2,06E-172",AKAP8L,"0,2284915",AKAP8L,"1,528086","0,08610491","-7,613352","0,1264911","0,4647886",FAUX,AKAP8L,18,"1,759766",TF,"-1,72E+02"
"0,1098294","-2,707293","-2,484957","22745,14","0,09090909",10,"-40,46166","1,47E-172",AKNA,"1,670575",AKNA,"1,856464","0,00735926","-7,314783","0,0633875","0,4526919",FAUX,AKNA,19,"2,824229",TF,"-1,72E+02"
"0,8011484","-7,194471","-5,816876",0,0,1,"-40,46166","3,46E-171",AKR1B1,"-0,1759242",AKR1B1,0,"0,6255134","-7,659359",1,1,FAUX,AKR1B1,0,"-0,4918562",Gene,"-1,70E+02"
"0,2151835","0,6503378","-3,897729","39675,5",0,2,"-40,46166","2,51E-169",AKR1C1,"-1,852019",AKR1C1,0,"0,03979091","-7,497023",1,1,FAUX,AKR1C1,0,"-2,12537",Gene,"-1,69E+02"
"0,1894295","5,947618","-3,6569",0,0,1,"-40,46166","-2,25E-169",ALAD,"-0,7287404",ALAD,0,"0,02964994","-7,659359",1,1,FAUX,ALAD,0,"-2,2555",Gene,Err :502
"0,09362784","7,236035","-2,107145",0,0,1,"-40,46166","-5,85E-138",ALAS2,"-2,915891",ALAS2,0,"0,004737992","-7,654802",1,1,FAUX,ALAS2,0,"-2,991627",Gene,Err :502
"0,1418455","-4,269538","-3,023352",0,0,1,"-40,46166","-4,98E-169",ALDH1A2,"-1,907681",ALDH1A2,0,"0,01387198","-7,261095",1,1,FAUX,ALDH1A2,0,"-2,573899",Gene,Err :502
"0,4028945","4,921373","-5,048591",0,0,1,"-40,46166","1,68E-139",ALG2,"0,1835579",ALG2,0,"0,1759717","-7,517237",1,1,FAUX,ALG2,0,"1,377683",Gene,"-1,39E+02"
"0,1111069","4,240335","-2,511375",0,0,1,"-40,46166","1,45E-16",ALG5,"0,3702785",ALG5,0,"0,00759032","-7,396848",1,1,FAUX,ALG5,0,"2,812291",Gene,"-1,58E+01"
"0,1822475","4,869248","-3,574241",0,0,1,"-40,46166","-1,47E-162",ALG9,"0,3023162",ALG9,0,"0,02682358","-7,449125",1,1,FAUX,ALG9,0,"2,29886",Gene,Err :502
"0,9439936","2,264173","-5,919754",0,0,1,"-40,46166","1,08E-11",ALKBH7,"0,03653846",ALKBH7,0,"0,8738286","-7,409732",1,1,FAUX,ALKBH7,0,"0,1598197",Gene,"-1,10E+01"
"0,07817441","-2,692603","-1,606243",0,0,1,"-40,46166","1,35E-173",ALOX15,"-2,583196",ALOX15,0,"0,002654063","-7,094736",1,1,FAUX,ALOX15,0,"-3,20527",Gene,"-1,73E+02"
"0,240459","5,880413","-4,363065","36656,94",0,3,"-40,46166","1,25E-162",ALOX5,"-0,9905084",ALOX5,0,"0,07112485","-7,486349",1,1,FAUX,ALOX5,0,"-1,854062",Gene,"-1,62E+02"
"0,1975112","5,936817","-3,751043",0,0,1,"-40,46166","5,77E-163",ALOX5AP,"-1,608163",ALOX5AP,0,"0,03324913","-7,552918",1,1,FAUX,ALOX5AP,0,"-2,205334",Gene,"-1,62E+02"
"0,3102269","6,468446","-4,699979",0,0,1,"-40,46166","-2,23E-162",ALS2CL,"0,418732",ALS2CL,0,"0,1098922","-7,647897",1,1,FAUX,ALS2CL,0,"1,635069",Gene,Err :502
"0,2437659","0,5260961","-4,381655","14744,21",0,2,"-40,46166","5,22E-163",AMIGO2,"-1,142456",AMIGO2,0,"0,07282553","-7,453072",1,1,FAUX,AMIGO2,0,"-1,842554",Gene,"-1,62E+02"
"0,35875","3,17632","-4,897505",0,0,1,"-40,46166","-2,43E-162",ANAPC11,"0,2342541",ANAPC11,0,"0,1430193","-7,613628",1,1,FAUX,ANAPC11,0,"1,494057",Gene,Err :502
"0,1797412","5,44845","-3,543688",0,0,1,"-40,46166","5,68E-163",ANAPC7,"0,3672011",ANAPC7,0,"0,02585089","-7,577432",1,1,FAUX,ANAPC7,0,"2,314733",Gene,"-1,62E+02"
"0,07130313","5,064501","-1,419475",4,0,2,"-40,46166","4,05E-173",ANGPT2,"1,990508",ANGPT2,0,"0,002140468","-6,986002",1,1,FAUX,ANGPT2,0,"3,282881",Gene,"-1,72E+02"
"0,09674894","4,91788","-2,179785",0,0,1,"-40,46166","7,13E-163",ANKMY1,"0,5511998",ANKMY1,0,"0,005155353","-7,608945",1,1,FAUX,ANKMY1,0,"2,959898",Gene,"-1,62E+02"
"0,6124172","2,405661","-5,557602",4910,0,2,"-40,46166","-6,52E-163",ANKRD24,"0,2395179",ANKRD24,0,"0,3785808","-7,298283",1,1,FAUX,ANKRD24,0,"0,8904042",Gene,Err :502
"0,9778104","6,571836","-5,929677",0,0,1,"-40,46166","-4,13E-163",ANKRD28,"-0,01743301",ANKRD28,0,"0,9454666","-7,45514",1,1,FAUX,ANKRD28,0,"-0,06883226",Gene,Err :502
"0,3981568","3,63199","-5,033712",0,0,1,"-40,46166","-2,45E-163",ANKRD49,"0,2596059",ANKRD49,0,"0,172369","-7,63862",1,1,FAUX,ANKRD49,0,"1,38953",Gene,Err :502
"0,587642","2,962016","-5,511502",0,0,1,"-40,46166","1,64E-11",ANKRD55,"0,1988604",ANKRD55,0,"0,3507173","-7,660997",1,1,FAUX,ANKRD55,0,"0,944253",Gene,"-1,08E+01"
"0,2754441","5,23823","-4,543324","2307,648","0,3333333",3,"-40,46166","-3,37E-09",ANKZF1,"0,2729579",ANKZF1,"1,487774","0,08959454","-7,709921","0,1368106","0,4716499",FAUX,ANKZF1,51,"1,739805",TF,Err :502
"0,9801718","-7,481024","-5,930282",0,0,1,"-40,46166","4,23E-163",ANXA1,"0,009957048",ANXA1,0,"0,9533162","-7,619674",1,1,FAUX,ANXA1,0,"0,05891166",Gene,"-1,62E+02"
"0,255146","4,941175","-4,440058",0,0,1,"-40,46166","3,45E-163",ANXA3,"-1,342868",ANXA3,0,"0,0784576","-7,608945",1,1,FAUX,ANXA3,0,"-1,806002",Gene,"-1,62E+02"
"0,2391024","6,914056","-4,352393",0,0,1,"-40,46166","-7,91E-164",AP1G2,"0,3800126",AP1G2,0,"0,07016774","-7,608945",1,1,FAUX,AP1G2,0,"1,860642",Gene,Err :502
"0,07976345","5,581041","-1,656044",0,0,1,"-40,46166","6,95E-163",AP3M1,"0,4770157",AP3M1,0,"0,002810954","-7,506024",1,1,FAUX,AP3M1,0,"3,184399",Gene,"-1,62E+02"
"0,8076843","-1,736887","-5,823045",0,0,1,"-40,46166","-1,77E-16",APBA1,"0,4552688",APBA1,0,"0,6349399","-7,46046",1,1,FAUX,APBA1,0,"0,4784481",Gene,Err :502
"0,5238295","7,88724","-5,381264",0,0,1,"-40,46166","-1,16E-13",APBB1,"0,1544066",APBB1,0,"0,2854605","-7,561041",1,1,FAUX,APBB1,0,"1,082641",Gene,Err :502
"0,2155802","2,110942","-3,900287",986,0,2,"-40,46166","4,90E-24",APBB1IP,"-1,665094",APBB1IP,0,"0,03991621","-7,038892",1,1,FAUX,APBB1IP,0,"-2,123955",Gene,"-2,33E+01"
"0,08837444","-0,7233054","-1,967021",0,0,1,"-40,46166","-4,62E-134",APBB2,"-2,482353",APBB2,0,"0,004027126","-7,48638",1,1,FAUX,APBB2,0,"-3,052267",Gene,Err :502
"0,2534896","6,064777","-4,430428",0,0,1,"-40,46166","-2,87E-15",API5,"0,2267749",API5,0,"0,07749771","-7,46046",1,1,FAUX,API5,0,"1,812071",Gene,Err :502
"0,4810551","-7,414975","-5,279068",0,0,1,"-40,46166","-4,54E-162",APOBEC2,"0,2725154",APOBEC2,0,"0,2447709","-7,594428",1,1,FAUX,APOBEC2,0,"1,180533",Gene,Err :502
"0,316811","4,235616","-4,729484",20286,0,2,"-40,46166","-4,20E-163",APOBEC3G,"0,2927784",APOBEC3G,0,"0,1142506","-7,459582",1,1,FAUX,APOBEC3G,0,"1,614691",Gene,Err :502
"0,06995214","4,510918","-1,3835",0,0,1,"-40,46166","-4,76E-17",APPL1,"0,43394",APPL1,0,"0,002053724","-7,335378",1,1,FAUX,APPL1,0,"3,297715",Gene,Err :502
"0,8018782","-7,522277","-5,817709",0,0,1,"-40,46166","5,46E-163",AQP1,"0,07342281",AQP1,0,"0,6267683","-7,635489",1,1,FAUX,AQP1,0,"0,4900661",Gene,"-1,62E+02"
"0,06045282","1,903338","-0,9016703",0,0,1,"-40,46166","2,61E-173",AQP10,"-3,271734",AQP10,0,"0,001181824","-7,094736",1,1,FAUX,AQP10,0,"-3,493179",Gene,"-1,73E+02"
"0,2391024","3,327114","-4,11902",0,0,1,"-40,46166","-1,29E-173",AQP3,"-1,420366",AQP3,0,"0,05232629","-7,094736",1,1,FAUX,AQP3,0,"-2,000052",Gene,Err :502
"0,3550183","3,015877","-4,882108",0,0,1,"-40,46166","2,41E-163",AQP9,"-1,521442",AQP9,0,"0,1400723","-7,578708",1,1,FAUX,AQP9,0,"-1,505465",Gene,"-1,63E+02"
"0,3235279","6,55648","-4,757883",0,0,1,"-40,46166","5,40E-163",AREG,"0,1790768",AREG,0,"0,1186258","-7,572955",1,1,FAUX,AREG,0,"1,594864",Gene,"-1,62E+02"
"0,2581067","8,18843","-4,458373",12,0,2,"-40,46166","-3,06E-164",ARFIP1,"0,2344549",ARFIP1,0,"0,0803186","-7,307238",1,1,FAUX,ARFIP1,0,"1,794412",Gene,Err :502
"0,09288907","0,1344109","-2,096166",0,0,1,"-40,46166","-4,87E-175",ARHGAP5,"-2,571054",ARHGAP5,0,"0,004677965","-7,094736",1,1,FAUX,ARHGAP5,0,"-2,996404",Gene,Err :502
"0,05298884","8,487195","-0,2978888",22304,0,3,"-40,46166","6,20E-165",ARHGEF7,"0,7102362",ARHGEF7,0,"5,93E-04","-7,360733",1,1,FAUX,ARHGEF7,0,"3,730839",Gene,"-1,64E+02"
"0,2965305","7,324076","-4,638273",0,"0,05882353",2,"-40,14661","-9,20E-13",ARID3A,"0,3109595",ARID3A,"0,8321193","0,1013541","-7,535991","0,4053416","0,6194451",FAUX,ARID3A,14,"1,676993",TF,Err :502
"0,6382921","-3,968002","-5,601419",0,0,1,"-40,46166","-6,48E-164",ARL1,"0,6597737",ARL1,0,"0,4080424","-7,595318",1,1,FAUX,ARL1,0,"0,8361544",Gene,Err :502
"0,384347","3,936218","-4,987332","10506,24",0,2,"-40,46166","3,21E-15",ARL4C,"-0,4524816",ARL4C,0,"0,1616686","-7,449766",1,1,FAUX,ARL4C,0,"-1,425892",Gene,"-1,45E+01"
"0,4856572","3,524291","-5,290337",0,0,1,"-40,46166","-2,81E-163",ARL5C,"0,1947987",ARL5C,0,"0,2488898","-7,595318",1,1,FAUX,ARL5C,0,"1,170113",Gene,Err :502
"0,9745934","3,716018","-5,929095",0,0,1,"-40,46166","-1,62E-160",ARL8A,"0,01133428",ARL8A,0,"0,9388634","-7,585252",1,1,FAUX,ARL8A,0,"0,07718291",Gene,Err :502
"0,222486","-4,39343","-3,969735",0,1,1,"-40,46166","2,80E-28",ARNTL,"-1,988342",ARNTL,"-0,4767176","0,04348176","-7,709921","0,6335632","0,7484711",FAUX,ARNTL,16,"-2,085248",TF,"-2,76E+01"
"0,2391024","6,695414","-4,129017",1,"0,5",3,"-40,46166","8,32E-174",ARNTL2,"0,2022919",ARNTL2,"2,888265","0,05298256","-6,646494","0,003873731","0,3212745",FAUX,ARNTL2,14,"1,994243",TF,"-1,73E+02"
"0,7365885","-2,703686","-5,746813",0,0,1,"-40,46166","8,13E-160",ARPP19,"0,3586549",ARPP19,0,"0,5358509","-7,595318",1,1,FAUX,ARPP19,0,"0,6244992",Gene,"-1,59E+02"
"0,04897842","0,08342045","0,1204401",0,0,1,"-40,46166","-2,39E-160",ARRB1,"0,9019312",ARRB1,0,"3,69E-04","-7,594428",1,1,FAUX,ARRB1,0,"3,891632",Gene,Err :502
"0,1305041","5,280315","-2,857922",4910,0,2,"-40,46166","-3,93E-160",ASCC1,"0,3620591",ASCC1,0,"0,01140621","-7,344821",1,1,FAUX,ASCC1,0,"2,652496",Gene,Err :502
"0,1796096","7,050038","-3,539546",0,0,1,"-40,46166","1,02E-160",ASCC2,"-0,4557887",ASCC2,0,"0,02572188","-7,606261",1,1,FAUX,ASCC2,0,"-2,316878",Gene,"-1,60E+02"
"0,08737309","-4,117466","-1,940675",0,1,1,"-40,46166","3,18E-160",ASCL3,"1,849873",ASCL3,"0,8216704","0,003906061","-7,709921","0,4112645","0,6233018",FAUX,ASCL3,4,"3,063589",TF,"-1,59E+02"
"0,09181617","-0,8468782","-2,047141",0,0,1,"-40,46166","-8,05E-24",ASTN2,"-2,216927",ASTN2,0,"0,004419186","-7,355749",1,1,FAUX,ASTN2,0,"-3,017683",Gene,Err :502
"0,2391024","4,890312","-4,33357",0,0,1,"-40,46166","1,14E-160",ATAD1,"0,3045174",ATAD1,0,"0,068513","-7,516124",1,1,FAUX,ATAD1,0,"1,872201",Gene,"-1,60E+02"
"0,6788259","4,171539","-5,666547",10,"0,2",5,"-40,46166","4,31E-160",ATF3,"0,2893683",ATF3,"2,062293","0,4585009","-7,709921","0,03917983","0,4466006",FAUX,ATF3,23,"0,7485716",TF,"-1,59E+02"
"0,2758845","6,880763","-4,545132",0,1,1,"-40,46166","-2,37E-09",ATF6B,"0,2342034",ATF6B,"1,084562","0,08980414","-7,709921","0,2781158","0,5501805",FAUX,ATF6B,15,"1,738627",TF,Err :502
"0,2205097","3,898253","-3,951453",0,0,1,"-40,46166","-5,25E-160",ATG12,"0,2232248",ATG12,0,"0,04251193","-7,538103",1,1,FAUX,ATG12,0,"2,095492",Gene,Err :502
"0,4344457","5,763156","-5,148823",0,0,1,"-40,46166","1,20E-160",ATG4B,"0,1416728",ATG4B,0,"0,2026449","-7,622787",1,1,FAUX,ATG4B,0,"1,295325",Gene,"-1,60E+02"
"0,1138186","4,161279","-2,573847",0,0,1,"-40,46166","4,68E-16",ATG4C,"0,4994497",ATG4C,0,"0,008166576","-7,318024",1,1,FAUX,ATG4C,0,"2,783932",Gene,"-1,53E+01"
"0,27015","4,10012","-4,517288",0,0,1,"-40,46166","-1,29E-160",ATG5,"0,1807922",ATG5,0,"0,0866345","-7,622787",1,1,FAUX,ATG5,0,"1,756693",Gene,Err :502
"0,9343969","6,234599","-5,916028",0,0,1,"-40,46166","8,28E-161",ATN1,"0,05928138",ATN1,0,"0,856001","-7,46046",1,1,FAUX,ATN1,0,"0,1826443",Gene,"-1,60E+02"
"0,3423901","4,377874","-4,833488",0,0,1,"-40,46166","3,00E-131",ATP1B1,"0,5277252",ATP1B1,0,"0,1312034","-7,355749",1,1,FAUX,ATP1B1,0,"1,540997",Gene,"-1,31E+02"
"0,04533715","1,921957","0,4916145",28,0,2,"-40,46166","-7,55E-24",ATP1B2,"-3,764947",ATP1B2,0,"2,42E-04","-6,785159",1,1,FAUX,ATP1B2,0,"-4,032099",Gene,Err :502
"0,141618","-0,374504","-3,020415",0,0,1,"-40,46166","1,39E-24",ATP2C2,"-1,990145",ATP2C2,0,"0,01382376","-7,094736",1,1,FAUX,ATP2C2,0,"-2,575309",Gene,"-2,39E+01"
"0,1807855","2,690302","-3,558726",0,0,1,"-40,46166","2,50E-17",ATP6V0C,"-0,6431287",ATP6V0C,0,"0,02632499","-7,534983",1,1,FAUX,ATP6V0C,0,"-2,306931",Gene,"-1,66E+01"
"0,4679201","5,69515","-5,243255",0,0,1,"-40,46166","9,29E-161",ATP6V0D1,"-0,2784461",ATP6V0D1,0,"0,2322193","-7,534983",1,1,FAUX,ATP6V0D1,0,"-1,213094",Gene,"-1,60E+02"
"0,3746523","4,994311","-4,955802",0,0,1,"-40,46166","2,17E-161",ATP6V1G1,"0,2561496",ATP6V1G1,0,"0,154826","-7,514291",1,1,FAUX,ATP6V1G1,0,"1,450144",Gene,"-1,61E+02"
"0,2118515","6,258527","-3,871391","68086,54",0,4,"-40,46166","3,47E-157",ATRIP,"0,3120556",ATRIP,0,"0,03852408","-6,976809",1,1,FAUX,ATRIP,0,"2,139898",Gene,"-1,56E+02"
"0,1958781","6,934847","-3,731787",0,0,1,"-40,46166","1,04E-159",ATXN2L,"0,4860305",ATXN2L,0,"0,03247765","-7,552918",1,1,FAUX,ATXN2L,0,"2,215665",Gene,"-1,59E+02"
"0,3988283","5,143041","-5,036546",0,0,1,"-40,46166","-5,46E-172",ATXN7L3,"0,1861552",ATXN7L3,0,"0,1730486","-7,094736",1,1,FAUX,ATXN7L3,0,"1,387281",Gene,Err :502
"0,7463399","2,75678","-5,758916",0,0,1,"-40,46166","-1,18E-159",ATXN7L3B,"0,09423045",ATXN7L3B,0,"0,5494976","-7,577432",1,1,FAUX,ATXN7L3B,0,"0,6036375",Gene,Err :502
"0,2391024","-3,543625","-4,219459",0,0,1,"-40,46166","1,12E-159",AWAT1,"1,252656",AWAT1,0,"0,05933085","-7,517237",1,1,FAUX,AWAT1,0,"1,941055",Gene,"-1,59E+02"
"0,3627621","1,629833","-4,914953",0,0,1,"-40,46166","-1,61E-159",B3GALT4,"-0,5299067",B3GALT4,0,"0,1464431","-7,184926",1,1,FAUX,B3GALT4,0,"-1,481035",Gene,Err :502
"0,3214725","4,952574","-4,749025",0,0,1,"-40,46166","8,80E-161",B3GNT2,"0,3130893",B3GNT2,0,"0,1172416","-7,610918",1,1,FAUX,B3GNT2,0,"1,601071",Gene,"-1,60E+02"
"0,3619417","2,773265","-4,909927",0,0,1,"-40,46166","-2,96E-159",BAALC,"1,384896",BAALC,0,"0,1454475","-7,608945",1,1,FAUX,BAALC,0,"1,484797",Gene,Err :502
"0,2483341","2,0414","-4,404268","762,4807","0,5",2,"-40,46166","-4,08E-159",BACH2,"-1,321851",BACH2,"-1,103177","0,07495304","-7,709921","0,2699502","0,5479727",FAUX,BACH2,36,"-1,828474",TF,Err :502
"0,1183414","2,198016","-2,659417",0,0,1,"-40,46166","5,18E-159",BCAM,"-1,931326",BCAM,0,"0,009029068","-7,635489",1,1,FAUX,BCAM,0,"-2,744779",Gene,"-1,58E+02"
"0,2689482","6,218159","-4,511328",0,0,1,"-40,46166","8,43E-159",BCKDHA,"0,2856471",BCKDHA,0,"0,08597195","-7,355749",1,1,FAUX,BCKDHA,0,"1,760539",Gene,"-1,58E+02"
"0,4381735","1,657835","-5,160523",986,"0,5",2,"-40,46166","8,19E-160",BCL11B,"-1,19204",BCL11B,"-1,384889","0,2060561","-7,709921","0,1660864","0,4805217",FAUX,BCL11B,21,"-1,285399",TF,"-1,59E+02"
"0,09551722","2,653383","-2,15396",0,0,1,"-40,46166","6,54E-159",BCL2L13,"-1,025818",BCL2L13,0,"0,005002859","-7,595318",1,1,FAUX,BCL2L13,0,"-2,971202",Gene,"-1,58E+02"
"0,1169214","5,827316","-2,62827",21,"0,1428571",7,"-40,46166","1,61E-159",BCL6B,"-1,260662",BCL6B,"-1,653658","0,008704866","-7,709921","0,09819707","0,4625362",FAUX,BCL6B,16,"-2,759072",TF,"-1,59E+02"
"0,04234407","-1,603556","1,421621",0,0,1,"-40,46166","2,64E-159",BEND7,"-4,06814",BEND7,0,"8,43E-05","-7,552918",1,1,FAUX,BEND7,0,"-4,376792",Gene,"-1,59E+02"
"0,2989066","-3,223617","-4,648645",0,0,1,"-40,46166","1,45E-159",BEX5,"-1,346205",BEX5,0,"0,1027371","-7,552918",1,1,FAUX,BEX5,0,"-1,67001",Gene,"-1,59E+02"
"0,09034621","5,114996","-2,014671",0,0,1,"-40,46166","1,83E-159",BFAR,"0,3339901",BFAR,0,"0,004255834","-7,48638",1,1,FAUX,BFAR,0,"3,031727",Gene,"-1,59E+02"
"0,5005123","-2,720583","-5,326083",6,"0,25",4,"-40,46166","-1,96E-158",BHLHA15,"-0,8579876",BHLHA15,"-2,310529","0,2625298","-7,709921","0,02085887","0,4466006",FAUX,BHLHA15,20,"-1,136476",TF,Err :502
"0,6580001","0,7243664","-5,63416",0,1,1,"-40,46166","-9,56E-159",BHLHE41,"-0,5515746",BHLHE41,"0,6282167","0,4322937","-7,709921","0,529862","0,7006909",FAUX,BHLHE41,26,"-0,7932942",TF,Err :502
