"data.key.column","interaction","likelihood","mor","name","selected","shared interaction","shared name","source","state","target"
"344343","interacts with","1","0.9891282","AKNA (interacts with) HDHD2","false","interacts with","AKNA (interacts with) HDHD2","AKNA","activation","HDHD2"
"344346","interacts with","1","0.8176988","AKNA (interacts with) CRYZL1","false","interacts with","AKNA (interacts with) CRYZL1","AKNA","activation","CRYZL1"
"344349","interacts with","1","0.1535435","AKNA (interacts with) HARBI1","false","interacts with","AKNA (interacts with) HARBI1","AKNA","activation","HARBI1"
"344352","interacts with","1","0.6136582","AKNA (interacts with) SP110","false","interacts with","AKNA (interacts with) SP110","AKNA","activation","SP110"
"344355","interacts with","1","0.08044619","AKNA (interacts with) TMEM184B","false","interacts with","AKNA (interacts with) TMEM184B","AKNA","activation","TMEM184B"
"344358","interacts with","1","-0.7939749","AKNA (interacts with) RAB3IP","false","interacts with","AKNA (interacts with) RAB3IP","AKNA","inhibition","RAB3IP"
"344361","interacts with","1","0.9980567","AKNA (interacts with) SLC15A2","false","interacts with","AKNA (interacts with) SLC15A2","AKNA","activation","SLC15A2"
"344364","interacts with","1","-0.9716746","AKNA (interacts with) MCF2L2","false","interacts with","AKNA (interacts with) MCF2L2","AKNA","inhibition","MCF2L2"
"344367","interacts with","1","0.9035217","AKNA (interacts with) CENPP","false","interacts with","AKNA (interacts with) CENPP","AKNA","activation","CENPP"
"344370","interacts with","1","0.8014279","AKNA (interacts with) CHIC2","false","interacts with","AKNA (interacts with) CHIC2","AKNA","activation","CHIC2"
"344373","interacts with","1","0.9520186","AKNA (interacts with) VAMP2","false","interacts with","AKNA (interacts with) VAMP2","AKNA","activation","VAMP2"
"344376","interacts with","1","0.9970236","AKNA (interacts with) EBP","false","interacts with","AKNA (interacts with) EBP","AKNA","activation","EBP"
"344379","interacts with","1","0.9995834","AKNA (interacts with) ZSWIM6","false","interacts with","AKNA (interacts with) ZSWIM6","AKNA","activation","ZSWIM6"
"344382","interacts with","1","-0.8904389","AKNA (interacts with) NDEL1","false","interacts with","AKNA (interacts with) NDEL1","AKNA","inhibition","NDEL1"
"344385","interacts with","1","0.996922","AKNA (interacts with) ZBTB39","false","interacts with","AKNA (interacts with) ZBTB39","AKNA","activation","ZBTB39"
"344388","interacts with","1","-0.009728998","AKNA (interacts with) DNLZ","false","interacts with","AKNA (interacts with) DNLZ","AKNA","inhibition","DNLZ"
"344391","interacts with","1","0.3988853","AKNA (interacts with) ETFB","false","interacts with","AKNA (interacts with) ETFB","AKNA","activation","ETFB"
"344394","interacts with","1","0.1232418","AKNA (interacts with) SOD2","false","interacts with","AKNA (interacts with) SOD2","AKNA","activation","SOD2"
"344397","interacts with","1","-0.04684214","ALX4 (interacts with) TUBB6","false","interacts with","ALX4 (interacts with) TUBB6","ALX4","inhibition","TUBB6"
"344400","interacts with","1","-0.3086819","ANKZF1 (interacts with) PARD3","false","interacts with","ANKZF1 (interacts with) PARD3","ANKZF1","inhibition","PARD3"
"344403","interacts with","1","-0.8563816","ANKZF1 (interacts with) PKP2","false","interacts with","ANKZF1 (interacts with) PKP2","ANKZF1","inhibition","PKP2"
"344406","interacts with","1","0.7800712","ANKZF1 (interacts with) APBB1IP","false","interacts with","ANKZF1 (interacts with) APBB1IP","ANKZF1","activation","APBB1IP"
"344409","interacts with","1","-0.9862182","ANKZF1 (interacts with) SLC6A9","false","interacts with","ANKZF1 (interacts with) SLC6A9","ANKZF1","inhibition","SLC6A9"
"344412","interacts with","1","-0.9927055","ANKZF1 (interacts with) CRISP2","false","interacts with","ANKZF1 (interacts with) CRISP2","ANKZF1","inhibition","CRISP2"
"344415","interacts with","1","0.2067805","AR (interacts with) GTF2IRD1","false","interacts with","AR (interacts with) GTF2IRD1","AR","activation","GTF2IRD1"
"344418","interacts with","1","-0.03745686","ARID3A (interacts with) SAMD14","false","interacts with","ARID3A (interacts with) SAMD14","ARID3A","inhibition","SAMD14"
"344421","interacts with","1","0.9945701","ARID3A (interacts with) ZNF337","false","interacts with","ARID3A (interacts with) ZNF337","ARID3A","activation","ZNF337"
"344424","interacts with","1","0.9014021","ARID3B (interacts with) HSPA4","false","interacts with","ARID3B (interacts with) HSPA4","ARID3B","activation","HSPA4"
"344427","interacts with","1","0.6074288","ARID3B (interacts with) RGN","false","interacts with","ARID3B (interacts with) RGN","ARID3B","activation","RGN"
"344430","interacts with","1","0.273118","ARID3B (interacts with) PTGES2","false","interacts with","ARID3B (interacts with) PTGES2","ARID3B","activation","PTGES2"
"344433","interacts with","1","0.9586571","ARID5A (interacts with) ETV4","false","interacts with","ARID5A (interacts with) ETV4","ARID5A","activation","ETV4"
"344436","interacts with","1","0.1965102","ARID5B (interacts with) SYCE1L","false","interacts with","ARID5B (interacts with) SYCE1L","ARID5B","activation","SYCE1L"
"344439","interacts with","1","-0.04191428","ARNT (interacts with) SOX13","false","interacts with","ARNT (interacts with) SOX13","ARNT","inhibition","SOX13"
"344442","interacts with","1","0.3443317","ARNTL (interacts with) RAB8A","false","interacts with","ARNTL (interacts with) RAB8A","ARNTL","activation","RAB8A"
"344445","interacts with","1","0.3629668","ARNTL (interacts with) STMN1","false","interacts with","ARNTL (interacts with) STMN1","ARNTL","activation","STMN1"
"344448","interacts with","1","-0.01417415","ARNTL (interacts with) TSPO2","false","interacts with","ARNTL (interacts with) TSPO2","ARNTL","inhibition","TSPO2"
"344451","interacts with","1","-0.002130502","ARNTL (interacts with) UBE2W","false","interacts with","ARNTL (interacts with) UBE2W","ARNTL","inhibition","UBE2W"
"344454","interacts with","1","0.4637841","ARNTL (interacts with) MAF","false","interacts with","ARNTL (interacts with) MAF","ARNTL","activation","MAF"
"344457","interacts with","1","-0.1518819","ARNTL (interacts with) JMY","false","interacts with","ARNTL (interacts with) JMY","ARNTL","inhibition","JMY"
"344460","interacts with","1","-0.07020424","ARNTL (interacts with) NBN","false","interacts with","ARNTL (interacts with) NBN","ARNTL","inhibition","NBN"
"344463","interacts with","1","0.07884563","ARNTL (interacts with) NLN","false","interacts with","ARNTL (interacts with) NLN","ARNTL","activation","NLN"
"344466","interacts with","1","0.1183778","ARNTL (interacts with) LYPD3","false","interacts with","ARNTL (interacts with) LYPD3","ARNTL","activation","LYPD3"
"344469","interacts with","1","0.1646291","ARNTL (interacts with) MPV17","false","interacts with","ARNTL (interacts with) MPV17","ARNTL","activation","MPV17"
"344472","interacts with","1","0.9652782","ARNTL (interacts with) OPLAH","false","interacts with","ARNTL (interacts with) OPLAH","ARNTL","activation","OPLAH"
"344475","interacts with","1","-0.01666744","ARNTL (interacts with) GMCL1","false","interacts with","ARNTL (interacts with) GMCL1","ARNTL","inhibition","GMCL1"
"344478","interacts with","1","0.9145885","ARNTL (interacts with) SCNN1D","false","interacts with","ARNTL (interacts with) SCNN1D","ARNTL","activation","SCNN1D"
"344481","interacts with","1","0.1093944","ARNTL (interacts with) SUOX","false","interacts with","ARNTL (interacts with) SUOX","ARNTL","activation","SUOX"
"344484","interacts with","1","0.4410502","ARNTL (interacts with) XPO4","false","interacts with","ARNTL (interacts with) XPO4","ARNTL","activation","XPO4"
"344487","interacts with","1","0.6862232","ARNTL (interacts with) XPO1","false","interacts with","ARNTL (interacts with) XPO1","ARNTL","activation","XPO1"
"344490","interacts with","1","-0.09163678","ARNTL2 (interacts with) ASB6","false","interacts with","ARNTL2 (interacts with) ASB6","ARNTL2","inhibition","ASB6"
"344493","interacts with","1","0.8600764","ARNTL2 (interacts with) FKTN","false","interacts with","ARNTL2 (interacts with) FKTN","ARNTL2","activation","FKTN"
"344496","interacts with","1","-0.6727892","ARNTL2 (interacts with) LGMN","false","interacts with","ARNTL2 (interacts with) LGMN","ARNTL2","inhibition","LGMN"
"344499","interacts with","1","-0.009478301","ARNTL2 (interacts with) LRP6","false","interacts with","ARNTL2 (interacts with) LRP6","ARNTL2","inhibition","LRP6"
"344502","interacts with","1","0.6508023","ARNTL2 (interacts with) FAM189B","false","interacts with","ARNTL2 (interacts with) FAM189B","ARNTL2","activation","FAM189B"
"344505","interacts with","1","0.9798557","ARNTL2 (interacts with) ZNF493","false","interacts with","ARNTL2 (interacts with) ZNF493","ARNTL2","activation","ZNF493"
"344508","interacts with","1","0.2506409","ARNTL2 (interacts with) MVD","false","interacts with","ARNTL2 (interacts with) MVD","ARNTL2","activation","MVD"
"344511","interacts with","1","-0.01788161","ARNTL2 (interacts with) PHF19","false","interacts with","ARNTL2 (interacts with) PHF19","ARNTL2","inhibition","PHF19"
"344514","interacts with","1","-0.3667028","ARNTL2 (interacts with) GNGT2","false","interacts with","ARNTL2 (interacts with) GNGT2","ARNTL2","inhibition","GNGT2"
"344517","interacts with","1","-0.004067173","ARNTL2 (interacts with) TMEM39B","false","interacts with","ARNTL2 (interacts with) TMEM39B","ARNTL2","inhibition","TMEM39B"
"344520","interacts with","1","0.9166627","ARNTL2 (interacts with) TMEM231","false","interacts with","ARNTL2 (interacts with) TMEM231","ARNTL2","activation","TMEM231"
"344523","interacts with","1","0.6223175","ARNTL2 (interacts with) TMEM44","false","interacts with","ARNTL2 (interacts with) TMEM44","ARNTL2","activation","TMEM44"
"344526","interacts with","1","0.9589818","ARNTL2 (interacts with) SYAP1","false","interacts with","ARNTL2 (interacts with) SYAP1","ARNTL2","activation","SYAP1"
"344529","interacts with","1","0.8443941","ARNTL2 (interacts with) BEND5","false","interacts with","ARNTL2 (interacts with) BEND5","ARNTL2","activation","BEND5"
"344532","interacts with","1","-0.7547355","ASCL3 (interacts with) SLC11A2","false","interacts with","ASCL3 (interacts with) SLC11A2","ASCL3","inhibition","SLC11A2"
"344535","interacts with","1","0.5180928","ASCL3 (interacts with) HRH4","false","interacts with","ASCL3 (interacts with) HRH4","ASCL3","activation","HRH4"
"344538","interacts with","1","-0.2314559","ASCL3 (interacts with) ISCA1","false","interacts with","ASCL3 (interacts with) ISCA1","ASCL3","inhibition","ISCA1"
"344541","interacts with","1","0.949466","ASCL3 (interacts with) ARHGEF17","false","interacts with","ASCL3 (interacts with) ARHGEF17","ASCL3","activation","ARHGEF17"
"344544","interacts with","1","0.9379653","ASH1L (interacts with) MEIS1","false","interacts with","ASH1L (interacts with) MEIS1","ASH1L","activation","MEIS1"
"344547","interacts with","1","0.183405","ATF2 (interacts with) ATF3","false","interacts with","ATF2 (interacts with) ATF3","ATF2","activation","ATF3"
"344550","interacts with","1","-0.2260975","ATF3 (interacts with) TEAD4","false","interacts with","ATF3 (interacts with) TEAD4","ATF3","inhibition","TEAD4"
"344553","interacts with","1","0.2556428","ATF3 (interacts with) THOC7","false","interacts with","ATF3 (interacts with) THOC7","ATF3","activation","THOC7"
"344556","interacts with","1","-0.3910699","ATF3 (interacts with) CCNB3","false","interacts with","ATF3 (interacts with) CCNB3","ATF3","inhibition","CCNB3"
"344559","interacts with","1","0.1027294","ATF3 (interacts with) LEAP2","false","interacts with","ATF3 (interacts with) LEAP2","ATF3","activation","LEAP2"
"344562","interacts with","1","-0.9606799","ATF3 (interacts with) USP30","false","interacts with","ATF3 (interacts with) USP30","ATF3","inhibition","USP30"
"344565","interacts with","1","0.5148215","ATF3 (interacts with) PI4KAP2","false","interacts with","ATF3 (interacts with) PI4KAP2","ATF3","activation","PI4KAP2"
"344568","interacts with","1","0.8188773","ATF3 (interacts with) IRF2BP2","false","interacts with","ATF3 (interacts with) IRF2BP2","ATF3","activation","IRF2BP2"
"344571","interacts with","1","0.389478","ATF3 (interacts with) ZNF284","false","interacts with","ATF3 (interacts with) ZNF284","ATF3","activation","ZNF284"
"344574","interacts with","1","-0.9096791","ATF3 (interacts with) PFKFB1","false","interacts with","ATF3 (interacts with) PFKFB1","ATF3","inhibition","PFKFB1"
"344577","interacts with","1","0.9925238","ATF3 (interacts with) PPP1R15A","false","interacts with","ATF3 (interacts with) PPP1R15A","ATF3","activation","PPP1R15A"
"344580","interacts with","1","-0.4680017","ATF3 (interacts with) PAQR8","false","interacts with","ATF3 (interacts with) PAQR8","ATF3","inhibition","PAQR8"
"344583","interacts with","1","-0.004343233","ATF3 (interacts with) SEMA4D","false","interacts with","ATF3 (interacts with) SEMA4D","ATF3","inhibition","SEMA4D"
"344586","interacts with","1","0.1960905","ATF3 (interacts with) BIN3","false","interacts with","ATF3 (interacts with) BIN3","ATF3","activation","BIN3"
"344589","interacts with","1","0.183405","ATF3 (interacts with) ATF2","false","interacts with","ATF3 (interacts with) ATF2","ATF3","activation","ATF2"
"344592","interacts with","1","0.1328475","ATF3 (interacts with) CTU1","false","interacts with","ATF3 (interacts with) CTU1","ATF3","activation","CTU1"
"344595","interacts with","1","0.4657407","ATF3 (interacts with) NENF","false","interacts with","ATF3 (interacts with) NENF","ATF3","activation","NENF"
"344598","interacts with","1","-0.341898","ATF3 (interacts with) PAOX","false","interacts with","ATF3 (interacts with) PAOX","ATF3","inhibition","PAOX"
"344601","interacts with","1","0.7699718","ATF3 (interacts with) RGS5","false","interacts with","ATF3 (interacts with) RGS5","ATF3","activation","RGS5"
"344604","interacts with","1","0.09856162","ATF3 (interacts with) TIA1","false","interacts with","ATF3 (interacts with) TIA1","ATF3","activation","TIA1"
"344607","interacts with","1","0.9320541","ATF3 (interacts with) GRHPR","false","interacts with","ATF3 (interacts with) GRHPR","ATF3","activation","GRHPR"
"344610","interacts with","1","0.7823224","ATF3 (interacts with) C4orf36","false","interacts with","ATF3 (interacts with) C4orf36","ATF3","activation","C4orf36"
"344613","interacts with","1","-0.9489847","ATF3 (interacts with) TNFSF8","false","interacts with","ATF3 (interacts with) TNFSF8","ATF3","inhibition","TNFSF8"
"344616","interacts with","1","-0.8354437","ATF3 (interacts with) DENND2C","false","interacts with","ATF3 (interacts with) DENND2C","ATF3","inhibition","DENND2C"
"344619","interacts with","1","-0.9721122","ATF6B (interacts with) BSN","false","interacts with","ATF6B (interacts with) BSN","ATF6B","inhibition","BSN"
"344622","interacts with","1","0.7685702","ATF7 (interacts with) LAMC1","false","interacts with","ATF7 (interacts with) LAMC1","ATF7","activation","LAMC1"
"344625","interacts with","1","0.2020262","ATF7 (interacts with) GNAI1","false","interacts with","ATF7 (interacts with) GNAI1","ATF7","activation","GNAI1"
"344628","interacts with","1","0.9978193","BACH2 (interacts with) FCRL5","false","interacts with","BACH2 (interacts with) FCRL5","BACH2","activation","FCRL5"
"344631","interacts with","1","0.151812","BATF3 (interacts with) PPARG","false","interacts with","BATF3 (interacts with) PPARG","BATF3","activation","PPARG"
"344634","interacts with","1","-0.1456376","BBX (interacts with) RHEBL1","false","interacts with","BBX (interacts with) RHEBL1","BBX","inhibition","RHEBL1"
"344637","interacts with","1","0.9999757","BCL11B (interacts with) ASTN2","false","interacts with","BCL11B (interacts with) ASTN2","BCL11B","activation","ASTN2"
"344640","interacts with","1","-0.9843186","BCL6B (interacts with) ARPP19","false","interacts with","BCL6B (interacts with) ARPP19","BCL6B","inhibition","ARPP19"
"344643","interacts with","1","0.9675179","BCL6B (interacts with) BCL2L13","false","interacts with","BCL6B (interacts with) BCL2L13","BCL6B","activation","BCL2L13"
"344646","interacts with","1","-0.9925481","BCL6B (interacts with) PELP1","false","interacts with","BCL6B (interacts with) PELP1","BCL6B","inhibition","PELP1"
"344649","interacts with","1","0.9107399","BCL6B (interacts with) PLCL1","false","interacts with","BCL6B (interacts with) PLCL1","BCL6B","activation","PLCL1"
"344652","interacts with","1","0.999839","BCL6B (interacts with) CRISPLD2","false","interacts with","BCL6B (interacts with) CRISPLD2","BCL6B","activation","CRISPLD2"
"344655","interacts with","1","0.4774986","BCL6B (interacts with) SLC6A19","false","interacts with","BCL6B (interacts with) SLC6A19","BCL6B","activation","SLC6A19"
"344658","interacts with","1","-0.6786435","BCL6B (interacts with) SLC22A23","false","interacts with","BCL6B (interacts with) SLC22A23","BCL6B","inhibition","SLC22A23"
"344661","interacts with","1","-0.8834385","BCL6B (interacts with) ACR","false","interacts with","BCL6B (interacts with) ACR","BCL6B","inhibition","ACR"
"344664","interacts with","1","-0.07962755","BCL6B (interacts with) SPHK1","false","interacts with","BCL6B (interacts with) SPHK1","BCL6B","inhibition","SPHK1"
"344667","interacts with","1","-0.009728998","BCL6B (interacts with) TFB2M","false","interacts with","BCL6B (interacts with) TFB2M","BCL6B","inhibition","TFB2M"
"344670","interacts with","1","-0.966687","BCL6B (interacts with) OR52B6","false","interacts with","BCL6B (interacts with) OR52B6","BCL6B","inhibition","OR52B6"
"344673","interacts with","1","0.4879696","BCL6B (interacts with) PNPLA7","false","interacts with","BCL6B (interacts with) PNPLA7","BCL6B","activation","PNPLA7"
"344676","interacts with","1","-0.02442769","BCL6B (interacts with) UQCRH","false","interacts with","BCL6B (interacts with) UQCRH","BCL6B","inhibition","UQCRH"
"344679","interacts with","1","-0.005485175","BCL6B (interacts with) FEZ2","false","interacts with","BCL6B (interacts with) FEZ2","BCL6B","inhibition","FEZ2"
"344682","interacts with","1","-0.1524593","BCL6B (interacts with) TAF8","false","interacts with","BCL6B (interacts with) TAF8","BCL6B","inhibition","TAF8"
"344685","interacts with","1","-0.5340501","BCL6B (interacts with) NAA38","false","interacts with","BCL6B (interacts with) NAA38","BCL6B","inhibition","NAA38"
"344688","interacts with","1","0.5422319","BHLHA15 (interacts with) MAP3K10","false","interacts with","BHLHA15 (interacts with) MAP3K10","BHLHA15","activation","MAP3K10"
"344691","interacts with","1","-0.7282672","BHLHA15 (interacts with) NUCB2","false","interacts with","BHLHA15 (interacts with) NUCB2","BHLHA15","inhibition","NUCB2"
"344694","interacts with","1","0.8909702","BHLHA15 (interacts with) SMARCA2","false","interacts with","BHLHA15 (interacts with) SMARCA2","BHLHA15","activation","SMARCA2"
"344697","interacts with","1","-0.6443324","BHLHA15 (interacts with) GNPAT","false","interacts with","BHLHA15 (interacts with) GNPAT","BHLHA15","inhibition","GNPAT"
"344700","interacts with","1","0.7388158","BHLHA15 (interacts with) GSTO1","false","interacts with","BHLHA15 (interacts with) GSTO1","BHLHA15","activation","GSTO1"
"344703","interacts with","1","0.9502446","BHLHA15 (interacts with) COL1A1","false","interacts with","BHLHA15 (interacts with) COL1A1","BHLHA15","activation","COL1A1"
"344706","interacts with","1","0.796343","BHLHA15 (interacts with) PLXNA4","false","interacts with","BHLHA15 (interacts with) PLXNA4","BHLHA15","activation","PLXNA4"
"344709","interacts with","1","-0.9762004","BHLHA15 (interacts with) ZBTB44","false","interacts with","BHLHA15 (interacts with) ZBTB44","BHLHA15","inhibition","ZBTB44"
"344712","interacts with","1","-0.05723089","BHLHA15 (interacts with) RELL1","false","interacts with","BHLHA15 (interacts with) RELL1","BHLHA15","inhibition","RELL1"
"344715","interacts with","1","-0.08710488","BHLHA15 (interacts with) AIP","false","interacts with","BHLHA15 (interacts with) AIP","BHLHA15","inhibition","AIP"
"344718","interacts with","1","-0.01483777","BHLHA15 (interacts with) C1orf122","false","interacts with","BHLHA15 (interacts with) C1orf122","BHLHA15","inhibition","C1orf122"
"344721","interacts with","1","0.7418473","BHLHA15 (interacts with) OSBPL10","false","interacts with","BHLHA15 (interacts with) OSBPL10","BHLHA15","activation","OSBPL10"
"344724","interacts with","1","-0.7842085","BHLHA15 (interacts with) FLNB","false","interacts with","BHLHA15 (interacts with) FLNB","BHLHA15","inhibition","FLNB"
"344727","interacts with","1","-0.03202688","BHLHA15 (interacts with) KCTD3","false","interacts with","BHLHA15 (interacts with) KCTD3","BHLHA15","inhibition","KCTD3"
"344730","interacts with","1","0.7503135","BHLHA15 (interacts with) BCAS4","false","interacts with","BHLHA15 (interacts with) BCAS4","BHLHA15","activation","BCAS4"
"344733","interacts with","1","0.9145885","BHLHA15 (interacts with) PAOX","false","interacts with","BHLHA15 (interacts with) PAOX","BHLHA15","activation","PAOX"
"344736","interacts with","1","0.4217462","BHLHA15 (interacts with) OPTN","false","interacts with","BHLHA15 (interacts with) OPTN","BHLHA15","activation","OPTN"
"344739","interacts with","1","-0.003643655","BHLHA15 (interacts with) TSPO","false","interacts with","BHLHA15 (interacts with) TSPO","BHLHA15","inhibition","TSPO"
"344742","interacts with","1","-0.018519","BHLHA15 (interacts with) CASP7","false","interacts with","BHLHA15 (interacts with) CASP7","BHLHA15","inhibition","CASP7"
"344745","interacts with","1","0.5674581","BHLHA15 (interacts with) CLDN5","false","interacts with","BHLHA15 (interacts with) CLDN5","BHLHA15","activation","CLDN5"
"344748","interacts with","1","-0.795765","BHLHE41 (interacts with) ABLIM3","false","interacts with","BHLHE41 (interacts with) ABLIM3","BHLHE41","inhibition","ABLIM3"
"344751","interacts with","1","0.1599064","BHLHE41 (interacts with) LDLRAP1","false","interacts with","BHLHE41 (interacts with) LDLRAP1","BHLHE41","activation","LDLRAP1"
"344754","interacts with","1","0.7633811","BNC2 (interacts with) SUSD4","false","interacts with","BNC2 (interacts with) SUSD4","BNC2","activation","SUSD4"
"344757","interacts with","1","0.971058","BNC2 (interacts with) FCRL1","false","interacts with","BNC2 (interacts with) FCRL1","BNC2","activation","FCRL1"
"344760","interacts with","1","-0.5634431","BPTF (interacts with) CLTB","false","interacts with","BPTF (interacts with) CLTB","BPTF","inhibition","CLTB"
"344763","interacts with","1","0.2007434","BPTF (interacts with) GJC3","false","interacts with","BPTF (interacts with) GJC3","BPTF","activation","GJC3"
"344766","interacts with","1","-0.03816872","BPTF (interacts with) DHRS7B","false","interacts with","BPTF (interacts with) DHRS7B","BPTF","inhibition","DHRS7B"
"344769","interacts with","1","0.6531813","BPTF (interacts with) FBXL13","false","interacts with","BPTF (interacts with) FBXL13","BPTF","activation","FBXL13"
"344772","interacts with","1","0.9425314","BPTF (interacts with) CD248","false","interacts with","BPTF (interacts with) CD248","BPTF","activation","CD248"
"344775","interacts with","1","0.9382797","BPTF (interacts with) UHRF2","false","interacts with","BPTF (interacts with) UHRF2","BPTF","activation","UHRF2"
"344778","interacts with","1","0.5324636","BPTF (interacts with) CNDP2","false","interacts with","BPTF (interacts with) CNDP2","BPTF","activation","CNDP2"
"344781","interacts with","1","-0.1484514","BPTF (interacts with) MPZ","false","interacts with","BPTF (interacts with) MPZ","BPTF","inhibition","MPZ"
"344784","interacts with","1","0.5500232","BPTF (interacts with) MAZ","false","interacts with","BPTF (interacts with) MAZ","BPTF","activation","MAZ"
"344787","interacts with","1","0.6061787","BPTF (interacts with) DNAL4","false","interacts with","BPTF (interacts with) DNAL4","BPTF","activation","DNAL4"
"344790","interacts with","1","-0.9401174","BPTF (interacts with) MFSD2A","false","interacts with","BPTF (interacts with) MFSD2A","BPTF","inhibition","MFSD2A"
"344793","interacts with","1","0.08954665","BPTF (interacts with) FBXO5","false","interacts with","BPTF (interacts with) FBXO5","BPTF","activation","FBXO5"
"344796","interacts with","1","0.4236673","BPTF (interacts with) TRIM22","false","interacts with","BPTF (interacts with) TRIM22","BPTF","activation","TRIM22"
"344799","interacts with","1","-0.0642795","CAMTA1 (interacts with) ESCO2","false","interacts with","CAMTA1 (interacts with) ESCO2","CAMTA1","inhibition","ESCO2"
"344802","interacts with","1","-0.01431918","CAMTA1 (interacts with) HECTD3","false","interacts with","CAMTA1 (interacts with) HECTD3","CAMTA1","inhibition","HECTD3"
"344805","interacts with","1","0.99182","CAMTA1 (interacts with) GNAS","false","interacts with","CAMTA1 (interacts with) GNAS","CAMTA1","activation","GNAS"
"344808","interacts with","1","-0.7987199","CAMTA1 (interacts with) RPGR","false","interacts with","CAMTA1 (interacts with) RPGR","CAMTA1","inhibition","RPGR"
"344811","interacts with","1","0.8837764","CAMTA1 (interacts with) ACIN1","false","interacts with","CAMTA1 (interacts with) ACIN1","CAMTA1","activation","ACIN1"
"344814","interacts with","1","0.6805477","CAMTA1 (interacts with) AGAP2","false","interacts with","CAMTA1 (interacts with) AGAP2","CAMTA1","activation","AGAP2"
"344817","interacts with","1","0.9628955","CAMTA1 (interacts with) DNAJC17","false","interacts with","CAMTA1 (interacts with) DNAJC17","CAMTA1","activation","DNAJC17"
