	tf	target	confidence	mor
485	HAND2	DCN	E	1
486	HAND2	FLNC	E	1
487	HAND2	FMOD	E	1
488	HAND2	GAS6	E	1
489	HAND2	GRIK3	E	1
490	HAND2	NRXN1	E	1
491	HAND2	SPARCL1	E	1
492	HDX	LRCH2	E	1
493	HDX	SLC16A2	E	1
494	HDX	UGGT2	E	1
495	HES1	CALN1	D	-1
496	HES1	KDM7A	D	-1
497	HES1	TPD52L1	D	-1
498	HES2	CHST6	E	-1
499	HES2	CPEB1	E	-1
500	HES2	GNAI1	E	-1
501	HES4	MRC1	E	-1
502	HES5	CPEB1	E	-1
503	HES7	CCR10	E	-1
504	HES7	CPEB1	E	-1
505	HESX1	KRT80	E	1
506	HESX1	NTRK2	E	1
507	HESX1	PRSS3	E	1
508	HESX1	SIAH3	E	1
509	HESX1	THSD7B	E	1
510	HEY1	CCDC68	E	1
511	HEY1	CPEB1	E	1
512	HEY1	DOCK4	E	1
513	HEY1	SEMA3G	E	1
514	HEY1	TEK	E	1
515	HEY2	CPEB1	E	1
516	HEY2	NTRK2	E	1
517	HEY2	SEMA3G	E	1
518	HEY2	SGIP1	E	1
519	HEYL	ASAP2	E	1
520	HEYL	FMOD	E	1
521	HEYL	NTRK2	E	1
522	HEYL	SPARCL1	E	1
523	HIC2	ALOX15B	E	-1
524	HIC2	PRSS3	E	-1
525	HIF3A	ALOX15B	E	1
526	HIF3A	CCDC68	E	1
527	HIF3A	CLMN	E	1
528	HIF3A	SCN3A	E	1
529	HIF3A	SPARCL1	E	1
530	HIVEP2	KDM7A	E	1
531	HIVEP3	TMEM176A	E	1
532	HLF	LRIG3	E	1
533	HLF	NRXN1	E	1
534	HLF	SLC16A2	E	1
535	HLX	FAM124A	E	1
536	HLX	OPN1SW	E	1
537	HMG20A	LRIG3	E	1
538	HMG20A	TFCP2	E	1
539	HMG20B	GAS6	E	1
540	HMGA2	CDH1	E	1
541	HMGA2	COL11A2	E	1
542	HMGA2	IFNB1	E	1
543	HMGA2	IGF2BP2	E	1
544	HMGA2	POU1F1	E	1
545	HMGA2	SNAI1	E	1
546	HMGA2	ABL2	E	1
547	HMGA2	ACAD10	E	1
548	HMGA2	ACY1	E	1
549	HMGA2	ADCY6	E	1
550	HMGA2	ANKDD1B	E	1
551	HMGA2	ANKLE2	E	1
552	HMGA2	ANKRD28	E	1
553	HMGA2	ARHGAP32	E	1
554	HMGA2	ARHGAP39	E	1
555	HMGA2	ARHGEF16	E	1
556	HMGA2	BICD1	E	1
557	HMGA2	C1orf131	E	1
558	HMGA2	C2orf72	E	1
559	HMGA2	CA12	E	1
560	HMGA2	CARD10	E	1
561	HMGA2	CBLB	E	1
562	HMGA2	CCDC125	E	1
563	HMGA2	CCDC153	E	1
564	HMGA2	CCNJL	E	1
565	HMGA2	CD276	E	1
566	HMGA2	CLDN4	E	1
567	HMGA2	COL25A1	E	1
568	HMGA2	COX6B2	E	1
569	HMGA2	CRACD	E	1
570	HMGA2	CRYM	E	1
571	HMGA2	DAPK2	E	1
572	HMGA2	DNAAF1	E	1
573	HMGA2	DNAI4	E	1
574	HMGA2	DOC2A	E	1
575	HMGA2	DTX4	E	1
576	HMGA2	ENTPD2	E	1
577	HMGA2	EPHA10	E	1
578	HMGA2	FAAH	E	1
579	HMGA2	FAM221B	E	1
580	HMGA2	FAM86B1	E	1
581	HMGA2	FAR1	E	1
582	HMGA2	FEM1C	E	1
583	HMGA2	FERMT1	E	1
584	HMGA2	GAS2L3	E	1
585	HMGA2	GLIS3	E	1
586	HMGA2	GSTK1	E	1
587	HMGA2	LAMA1	E	1
588	HMGA2	MAPK15	E	1
589	HMGA2	MBOAT1	E	1
590	HMGA2	MGAT4B	E	1
591	HMGA2	MICAL1	E	1
592	HMGA2	MICALL2	E	1
593	HMGA2	MROH1	E	1
594	HMGA2	MST1	E	1
595	HMGA2	MYO19	E	1
596	HMGA2	MYO1B	E	1
597	HMGA2	NAV2	E	1
598	HMGA2	P2RY1	E	1
599	HMGA2	PDE8A	E	1
600	HMGA2	PLCH1	E	1
601	HMGA2	PLEKHA7	E	1
602	HMGA2	PLPP5	E	1
603	HMGA2	PODXL2	E	1
604	HMGA2	PPFIBP2	E	1
605	HMGA2	PPIP5K1	E	1
606	HMGA2	PRDM16	E	1
607	HMGA2	PRELID2	E	1
608	HMGA2	PROM2	E	1
609	HMGA2	PTX3	E	1
610	HMGA2	RAP1GAP	E	1
611	HMGA2	RFX8	E	1
612	HMGA2	RGMB	E	1
613	HMGA2	RTKN	E	1
614	HMGA2	SAMD5	E	1
615	HMGA2	SH2D4A	E	1
616	HMGA2	SH3GLB2	E	1
617	HMGA2	SLITRK1	E	1
618	HMGA2	SMIM5	E	1
619	HMGA2	SNORC	E	1
620	HMGA2	SOX4	E	1
621	HMGA2	SOX6	E	1
622	HMGA2	SPATA6L	E	1
623	HMGA2	SPOCD1	E	1
624	HMGA2	SPPL2B	E	1
625	HMGA2	TCF7	E	1
626	HMGA2	TEKT2	E	1
627	HMGA2	TMC7	E	1
628	HMGA2	TNFSF15	E	1
629	HMGA2	TRAM2	E	1
630	HMGA2	TRPM4	E	1
631	HMGA2	TRPV3	E	1
632	HMGA2	TTLL9	E	1
633	HMGA2	TWIST1	E	1
634	HMGN3	PRICKLE1	D	1
635	HMX1	KMT2A	E	1
636	HMX2	KMT2A	E	1
637	HMX2	TEK	E	1
638	HMX3	TEK	E	1
639	HNF1B	NRXN1	C	1
640	HOXA10	WT1	D	1
641	HOXA11	HOXA10	E	-1
642	HOXA11	PRL	E	1
643	HOXA11	AARD	E	1
644	HOXA11	AARSD1	E	1
645	HOXA11	ACADM	E	1
646	HOXA11	ACKR4	E	1
647	HOXA11	ACSM4	E	1
648	HOXA11	ACTL8	E	1
649	HOXA11	ADAM19	E	1
650	HOXA11	ADAR	E	1
651	HOXA11	ADARB2	E	1
652	HOXA11	ADO	E	1
653	HOXA11	AGO3	E	1
654	HOXA11	AGXT	E	1
655	HOXA11	AKAP3	E	1
656	HOXA11	AMOTL2	E	1
657	HOXA11	APOD	E	1
658	HOXA11	ARHGAP28	E	1
659	HOXA11	ARHGAP29	E	1
660	HOXA11	ARHGAP32	E	1
661	HOXA11	ARHGEF7	E	1
662	HOXA11	ARID5B	E	1
663	HOXA11	ARMC4	E	1
664	HOXA11	ASB3	E	1
665	HOXA11	ATP11B	E	1
666	HOXA11	ATP2B1	E	1
667	HOXA11	ATXN2L	E	1
668	HOXA11	AURKC	E	1
669	HOXA11	AZI2	E	1
670	HOXA11	B3GNT5	E	1
671	HOXA11	BABAM2	E	1
672	HOXA11	BARHL2	E	1
673	HOXA11	BCLAF3	E	1
674	HOXA11	BMERB1	E	1
675	HOXA11	BRIP1	E	1
676	HOXA11	BTBD3	E	1
677	HOXA11	BUD23	E	1
678	HOXA11	C16orf89	E	1
679	HOXA11	C1orf131	E	1
680	HOXA11	C4orf3	E	1
681	HOXA11	CARF	E	1
682	HOXA11	CASK	E	1
683	HOXA11	CCDC102B	E	1
684	HOXA11	CCDC130	E	1
685	HOXA11	CCDC80	E	1
686	HOXA11	CCDC88A	E	1
687	HOXA11	CCL3	E	1
688	HOXA11	CCL3L1	E	1
689	HOXA11	CCT3	E	1
690	HOXA11	CDADC1	E	1
691	HOXA11	CDH7	E	1
692	HOXA11	CDK2AP1	E	1
693	HOXA11	CEBPE	E	1
694	HOXA11	CELA2B	E	1
695	HOXA11	CELF1	E	1
696	HOXA11	CENPM	E	1
697	HOXA11	CEP192	E	1
698	HOXA11	CEP97	E	1
699	HOXA11	CHAC1	E	1
700	HOXA11	CHD5	E	1
701	HOXA11	CHD9	E	1
702	HOXA11	CNGA1	E	1
703	HOXA11	CNOT11	E	1
704	HOXA11	COL18A1	E	1
705	HOXA11	COL28A1	E	1
706	HOXA11	COL3A1	E	1
707	HOXA11	COMMD1	E	1
708	HOXA11	COMT	E	1
709	HOXA11	COPS7A	E	1
710	HOXA11	COPS8	E	1
711	HOXA11	COX4I1	E	1
712	HOXA11	CP	E	1
713	HOXA11	CPNE8	E	1
714	HOXA11	CPVL	E	1
715	HOXA11	CRLS1	E	1
716	HOXA11	CRNN	E	1
717	HOXA11	CRYGN	E	1
718	HOXA11	CRYZL1	E	1
719	HOXA11	CSNK1A1	E	1
720	HOXA11	CUX2	E	1
721	HOXA11	CXorf58	E	1
722	HOXA11	CYFIP1	E	1
723	HOXA11	CYSLTR1	E	1
724	HOXA11	CZIB	E	1
725	HOXA11	DACT1	E	1
726	HOXA11	DCAF16	E	1
727	HOXA11	DDX50	E	1
728	HOXA11	DDX55	E	1
729	HOXA11	DDX58	E	1
730	HOXA11	DEFA6	E	1
731	HOXA11	DEFB123	E	1
732	HOXA11	DENND2B	E	1
733	HOXA11	DGCR6L	E	1
734	HOXA11	DGKZ	E	1
735	HOXA11	DHX35	E	1
736	HOXA11	DLAT	E	1
737	HOXA11	DLG1	E	1
738	HOXA11	DMD	E	1
739	HOXA11	DNAJB2	E	1
740	HOXA11	DNAJC19	E	1
741	HOXA11	DNAJC30	E	1
742	HOXA11	DOCK10	E	1
743	HOXA11	DOCK8	E	1
744	HOXA11	DOK6	E	1
745	HOXA11	DPP3	E	1
746	HOXA11	DPYSL3	E	1
747	HOXA11	E4F1	E	1
748	HOXA11	EDC4	E	1
749	HOXA11	EDN3	E	1
750	HOXA11	EEF1A1	E	1
751	HOXA11	EEF1AKNMT	E	1
752	HOXA11	ELP3	E	1
753	HOXA11	EMC3	E	1
754	HOXA11	EMC8	E	1
755	HOXA11	EMX2	E	1
756	HOXA11	ENO4	E	1
757	HOXA11	EPRS1	E	1
758	HOXA11	EXOC8	E	1
759	HOXA11	F11	E	1
760	HOXA11	FAM214B	E	1
761	HOXA11	FAM71C	E	1
762	HOXA11	FAT4	E	1
763	HOXA11	FBXO33	E	1
764	HOXA11	FBXO7	E	1
765	HOXA11	FDCSP	E	1
766	HOXA11	FGFBP2	E	1
767	HOXA11	FKBP15	E	1
768	HOXA11	FOLH1	E	1
769	HOXA11	FRMD6	E	1
770	HOXA11	FRRS1	E	1
771	HOXA11	FTCD	E	1
772	HOXA11	FYCO1	E	1
773	HOXA11	FYN	E	1
774	HOXA11	G6PD	E	1
775	HOXA11	GAS1	E	1
776	HOXA11	GAS2	E	1
777	HOXA11	GBA2	E	1
778	HOXA11	GCNT2	E	1
779	HOXA11	GDF7	E	1
780	HOXA11	GHR	E	1
781	HOXA11	GLIS3	E	1
782	HOXA11	GLUL	E	1
783	HOXA11	GNAT1	E	1
784	HOXA11	GNPAT	E	1
785	HOXA11	GNPTAB	E	1
786	HOXA11	GPR101	E	1
787	HOXA11	GPR137B	E	1
788	HOXA11	GRB14	E	1
789	HOXA11	GRHL2	E	1
790	HOXA11	GSN	E	1
791	HOXA11	GUCA2B	E	1
792	HOXA11	HIPK3	E	1
793	HOXA11	HLA-DOB	E	1
794	HOXA11	HNMT	E	1
795	HOXA11	HOOK1	E	1
796	HOXA11	HOXA13	E	1
797	HOXA11	HOXA6	E	1
798	HOXA11	HOXA9	E	1
799	HOXA11	HOXB3	E	1
