	2260553_BL	2283265_BL	2480485_BL	2151503_BL	2010157_BL	2150901_BL	2210551_BL	2292915_BL	2382431_BL	2498789_BL	2512641_BL	2583919_BL	2616045_BL	4235533_BL
AAMP	0.205718479332989	0.445373183830294	0.0842622821946658	0.962054410873502	0.122148202981739	0.140792468231004	0.107103904821735	0.549188428247798	0.36215484549834	0.117226914028907	0.0797981852832229	3.25815691204235	0.0458998217385348	0.268479116810567
AANAT	4.97566598248833e-05	0.000370787796150876	0	0.00180477328769947	0.000707788803097952	0.000393597599581742	0.0076034881446949	0.00263680580306771	0.00144954807099773	0.00675245226953	0.00102949624679756	0.00413901917475689	0.00184891491411601	0.000233696549247643
AARS2	0.00318408920282259	0.0895594312438437	0.0320369712818214	0.148041185367085	0.155280897138199	1.04292236061162	1.04393076119941	0.0349122409434429	0.313452017999976	0.431184464432147	0.0550218278513045	2.97607652250828	0.0118726295677923	0.157109969664175
AARSD1	0.408694180974256	0.0784966557096702	0.175829497531173	0.302761211879537	0.192028543667796	0.111311714715917	0.111711129053004	0.0507722068453123	0.202791775132583	0.173252641062761	0.0386621887600254	1.78051474708685	0.0083073753015389	0.0707689171070417
AASDHPPT	0.0154062042701927	0.0675717864108774	0.00690974429814741	0.22962096244421	0.0169147452307341	0.246487621588383	0.0102848248343367	0.441873586203823	0.103711577237345	0.0359102757408019	0.38250236187138	0.856257779597808	0.0192855018059856	0.0481662993321164
AASDH	1.0158592708164	0.0588507993522361	0.0349903130501517	1.72582340466561	0.0281947397490291	0.463476526831424	0.00952080525817484	0.0597549640467822	0.184307654900808	0.0378095053322235	0.0366543966407742	1.81843285483019	0.00746179275645369	0.0188999325998731
AASS	0.00658931103352891	0.000668535098813979	0.18448862893758	4.69290349702072	0.0187026948768755	2.23293151961848	0.00022935111780719	0.0836453527129831	0.332925029370131	0.0168771826206261	0.000245810665016842	0.0375555971443658	0.0104268313829086	0.00026745321082637
AATF	3.69582328067001	0.120634391074165	0.235304781586468	11.4767428104137	0.504130735630962	2.11150277302164	0.225024360704605	5.3378663184572	0.169153818559787	0.172550659297811	0.17015583805036	4.90814287965654	0.0616759673251721	0.0829745497534053
AATK	0.0155295364675217	0.000873838596896582	0.000840495620157607	0.113737521414166	0.00292012588978459	0.012094945913879	0.142671517327796	0.00940657176595574	0.051043882798724	0.00787241377919968	0.0134231138794355	0.227761525623275	0.0156547666258867	0.0310157236398447
ABAT	0.0142353613765462	1.39892591568473	0.0169242390510591	0.860605477089632	0.216891510397351	0.0782708355059726	0.113903380189136	0.0858339913422709	0.0761734304802226	0.432286810454032	0.0399003715077362	0.968398950266799	0.0533031746296063	0.0102083179823576
ABCA10	0.000484909786340322	0.00188792246042585	0.000332078275492034	0.124447040070608	0.0168311959329232	0.0131428712988198	0.000634701970567702	0.00919142694498963	0.00236593207839907	0.0426514434646781	0.000930108780848009	0.0388098815946617	0.00163835989992961	0.000248385646148661
ABCA11P	0.00198405138755383	0.0373478309036565	0.0112088336482691	0.0221256938934759	0.0121915721719383	0.0451993051332491	0.00213612492464443	0.0033485679797498	0.0177558157333166	0.0972389110127112	0.000123909290409711	0.17513981282893	0.00235990484295913	0.000237134823102058
ABCA12	0.00261807749388286	0.00259023322280876	0.00322451848301687	0.00559309457555919	0.00719375292766261	0.00218033992052421	0.000392199102351829	1.92883637155463e-05	0.000332524524317198	0	0.00159215595706247	0.00751171833007548	0.000839135371562657	0.000896566700665994
ABCA13	0.00202688352422657	0.312644641026065	0.00292842954468793	0.138672950108466	0.0504721175341913	0.695830829669515	0.00757121790107302	3.33055201530688	0.865309326240202	0.542843290656781	0.00522940879000691	5.35536738354094	0.117006046587452	0.256575253063422
ABCA17P	0	0.000278278890716553	0	0	0.00013924667802857	1.73088051081197e-05	0	0	0.000283590330165904	1.73135444962713e-05	2.40633165069928e-05	0.000938964791259433	0.00086814861311585	2.12515611238197e-05
ABCA1	3.54856607109024	0.158856338131072	0.0305814793451878	0.000262574970109074	0.211978860703516	0.446065312692675	0.208621897052951	2.04153362338557	0.151404338164564	0.323656968054873	0.0622624070599341	9.23471872203655	1.2251718227772	0.0974900178026218
ABCA2	0.386207160196796	0.409578471005498	5.45163892090024	0.566874527886717	1.90956983150503	0.399911400580326	0.716645750717173	0.676855784756938	0.924956582473896	0.528566784608772	9.67758405835299	8.28152412348832	0.355359668179017	0.200612267996275
ABCA3	0.00543790369802345	0.0168687376163969	0.0144694357637971	0.00481312512831092	0.38394513183669	0.0377320428780697	0.191458857909257	0.191474323087746	0.36834349883782	0.209587436092601	0.0293760565185926	0.56406876480249	0.0546694119409461	0.0130487282880696
ABCA4	7.49896403583245e-05	0.000794477049651081	0	0	0	0.000163542087189396	0.000345296267201432	0.000929511050097364	0.000149126922606405	0.000295890154960212	7.16623006427394e-05	0.0227024580261064	0.000320221813480366	0.00036430659090791
ABCA5	0.00505734281840922	0.00899895004129329	0	0.0224808299906566	0.0107166872412928	0.0668564905424334	0.00375871627318437	0.130711231566369	0.04120873961357	0.0753976196538681	0.0041248057762158	0.70714558115796	0.0273574325471252	0.00704391101474326
ABCA6	7.57800962433159e-05	0.00415753596569892	9.4539187055444e-05	0.0455843261811539	0.000512557506283212	0.0160706287640408	0.00225490264463016	0.0730131702449408	0.00223690383909608	0.0108309127577041	0.000974607288741259	0.0143391499903564	0.00139932633833984	0.000284452455833779
ABCA7	0.118491089747578	0.377159881768401	0.171256339891255	0.0227436764232927	1.64839452966402	0.0639356291125255	0.45052627179925	1.03676648359298	0.489817583957517	0.143845564518919	0.0671556887324549	8.04101701656611	0.209488235101569	0.172106920459341
ABCA8	0	0.00156103908880123	0	0.311396035903984	0	0	0	5.14433488085574e-05	8.93391857638578e-05	2.58954487346385e-05	1.76536447695402e-05	0.00776945846306087	0.000270010147632403	5.62100631560572e-06
ABCA9	0.000125854154759217	0.00207634966996383	0.00884024561999778	0.0363850153968958	0.00159247893335203	0.00925301593585438	0.000405255960241805	0.0641193029836918	0.00161735457709911	0.000927829575985839	7.80522104676587e-05	0.0109989115267121	0.00526116125879583	0.00131585056336021
ABCB10	0.026642872698038	0.141350580587657	0.157647238874573	0.026706901216261	0.250735808056279	0.0309632811141067	0.591720839563128	0.0739859933773962	0.360849114903316	0.0670774456140356	0.0647982528891639	8.26734106601813	0.206440888829658	0.0254075309066646
ABCB11	0	0	0.000194969344840034	5.39203124559679e-05	0	0.000900960998828967	0.00102569048286207	7.78162372884158e-05	4.85400533343071e-05	0.000304584053909832	4.4015029802944e-05	6.99125022906158e-06	0.000319067344679926	0
ABCB1	0.0925617557575967	0.325468488085386	2.59143461994232	0.143861506507185	2.11108188245869	0.252337608235487	0.0510935335014671	0.00361758956352938	0.117832637492984	0.176728588227254	0.00596401298582576	0.0704278623746376	0.0392719904055465	0.233941654782544
ABCB4	0.017832665769693	0.00161733683300207	0.00227216038848802	0.00860942339841812	0.00115041996190267	0.015860921235663	0.0018882367562491	0.000753638405515439	0.0020759171065808	0.0862408204774813	0.0133778962802098	0.00278941050057955	0.000412941700799018	0.00214288312075278
ABCB5	4.26017442782728e-05	6.09174260279488e-06	0	6.88860773844508e-05	0	6.34450918874163e-05	0	0	0	0	0.000779685830993008	0.00147156813678207	0.000205392455571737	1.48062106489801e-05
ABCB6	0.0653300657579379	0.0284097192392792	0.0157353526364471	0.00583424771496275	0.152166787288237	0.00843504439789403	0.00359703909026388	0.04958271631779	0.0248373800987631	0.00480844607591833	0.0378664514841202	0.0780470073252534	0.0123122135730137	0.00832822915815343
ABCB7	4.29885246484133	0.0832508834545735	0.187026392711269	0.0371912527396748	0.0379456603620251	0.120217968766082	0.0248791838347824	0.0584469372987537	0.387773968331136	0.182751515311425	0.104026787170517	0.0572121179196094	1.40837542536995	0.0321463662732804
ABCB8	0.182980178718582	0.0235009744194491	0.025535074855529	0.00924158900387213	0.201699556738227	0.00499793561757322	0.0395493312488019	0.485892582909604	0.0550092896387262	0.048442936264169	0.0673768710568328	0.154884222845639	0.458354529357082	0.00122026937106058
ABCB9	0.0126380745516264	0.0126201078992343	0.0027666291725171	0.000131665897574217	0.00861961308220896	0.0024030771632791	0.000224443741869755	0.0140766416884506	0.00338207351237372	0.0076111080629947	0.00847195640495769	0.000713756456660027	0.00146142826624594	0.0436004220979845
ABCC10	0.134139656093005	0.0675218663039509	0.0327097995426311	0.02110408286196	0.0124984924708627	0.106820644442717	0.0663772789059824	4.91117066302283	0.167145197316368	0.112033404279473	0.102204064728076	0.0639806853657108	0.010691683273992	0.0453881175081427
ABCC11	3.52643944829005e-05	0.000135293953323965	0	3.81094057343494e-05	0	0	2.71237266115522e-05	0.000441845880378848	0.000441219394869455	0.000257801898967827	0.000102260721945014	6.51357744235375e-05	2.06602104663427e-05	0.00102491665493635
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	9.50533594311464e-06	0	0	0.0309273102302039	3.33614449061864e-05	0.000388088452681233	0.000741419538456766	0	0.0122517083221328	0.0006131743284776	0.00535873182522422	0.00298609485925545	0.000247647809605058	0.000106570290598559
ABCC1	8.71633391152966	4.4499741107949	0.46506634988532	0.298187388394532	1.46994010631646	0.572387808815205	0.102032022253731	0.0543925647650728	1.11624774094288	0.569988984778521	1.84163066919642	0.726570242451553	1.75751997430736	0.678286609248443
ABCC2	0.00300729873325188	0.0501710570668817	0.0128761653244411	0.0927052233258229	0.00328746264903884	0.0319317469752419	0.00859304584010796	0.0520952597344489	0.0556615857200567	0.0221173561396878	0.00791375072298606	0.00916125865135376	0.0286297222004082	0.0373826123220651
ABCC3	0.000411652605665741	0.0240892251942652	0	0.00818540847923094	0.00518543629400071	0.00270810573278539	0.00551708899884533	0.0575138870274465	0.0308379671015222	0.00462118738274833	0.000170460230229544	0.00228186002738515	0.0497300554762833	0.000191942827202906
ABCC4	0.235720336827801	0.00479186048848042	0.0393977703856192	0.0874712962116876	0.0467237846828821	0.453878176419996	0.0992490469382468	0.0978379512483802	0.128283743000269	0.0276605560440037	0.0158203182724127	0.0398195841130905	0.00160754665012	0.0439760915254499
ABCC5	0.18903986122672	0.108914321514451	0.0504854504133373	0.253433524563839	0.0159820278905706	0.0166628941385748	0.0422626943281536	0.029084305362273	0.26991192222531	0.364534492851253	0.0669869894770759	0.289454449169279	0.0374408941707663	0.110214533540443
ABCC6P1	0.000202200229637589	0	0.000344649498695502	0	0	0.00295393184672274	5.13287406168754e-05	0.00595725098553762	0	1.00481813645873e-05	0.0063448728177042	0.000164963578347148	0.000781139659857758	0
ABCC6P2	0	0	0	0	0	0	0	7.00376378983727e-05	0	0	0.00100511985579209	0	0	0
ABCC6	0.0189112876257414	0.0890086010255727	0.0022659574811899	0.0624212606539365	0.000527407074318233	0.0151743099226551	0.00317006380063552	1.77541060621499	0.0138979281914653	0.0180188894268394	0.240780875502926	0.0924004964223326	0.0248388384158911	0.0807825878981101
ABCC8	0	0.000110054228585218	0	0	5.91681234683501e-05	2.21429084664363e-05	0	3.61208342979579e-05	8.82552089962279e-05	0	1.30375627538044e-05	0	2.35074194622634e-05	4.45138277922715e-05
ABCC9	0	7.88878756226742e-05	0	0	0	0.000863484349241136	0	0.000112064053376105	0	0	0	0	0.000157135118999806	4.44912445505323e-05
ABCD1	0.12135380428845	0.0482855690807598	0.0900068467002947	0.071418572074808	0.0156235535752049	0.245720627679083	0.0641703210120226	0.0930264466623552	0.131774002278353	0.015190345008266	0.0133147490910204	0.0165648283154108	0.173164794447198	0.101890119221633
ABCD2	0.0329888794647752	0	0	0.115995917936597	0.00299455274272515	0.0754384791638175	0	0.0365800598917542	0.0243509569809088	0.156089450608882	0.000245908538430429	0.00526699352525009	0.00164100618819934	0.00584962371561329
ABCD3	0.456681851392945	0.0347828453612598	0.106022607056525	0.266654782744731	0.410511680792666	0.206074088035511	0.0880309535560039	0.0829771841628326	0.226965710249999	0.0485800412080108	0.0539526605894104	0.125830968529842	0.051213078030751	0.918794769644995
ABCD4	0.232679484399096	0.102733482522682	0.312567208736674	0.0598905920126939	0.0360904237971583	0.173897279265086	0.462993424026665	0.259244576137724	0.230153621485312	0.112271690035415	0.00437810721394108	0.162115275324108	0.105734060867664	0.0975300763098382
ABCE1	0.182518748730928	0.0844667844153711	0.0414291123509568	0.0162777759431239	0.14213236456354	0.102820857654951	0.613441681780601	0.161888336783376	0.0503941568558364	0.0425072199117144	0.0276759510793887	0.343152055003378	0.700729777061625	0.084943966595746
ABCF1	1.48230938261654	0.162323207508802	0.656409294564944	0.186506115948478	0.0667797901124775	0.182983971489648	0.0612700863124678	0.755205960412081	0.79467923215032	1.89596321557587	0.373784185340848	0.90717308523223	1.36139704088168	0.1663476778935
ABCF2	1.73928746440534	0.0279066156084518	0.0798790443899636	0.0158941661666036	0.0903163985715205	0.0387629137429309	1.41073080522581	0.416035532066907	0.255715358455901	0.0363952300957772	0.10316009499815	0.0384903203753392	0.22455990222242	0.0886142020128015
ABCF3	0.534593400423386	0.123106356376418	0.368335553041695	0.0974236317464483	0.215586501857799	0.462646469120699	0.0275520259944339	0.0421255476071082	0.335253654922364	0.169584965997441	0.120874915450725	0.357933705893791	0.0561515879086824	0.0729903721693425
ABCG1	0.0762891445404192	0.781295282224784	0.123317235604816	0.00513917856466029	0.10531189787406	0.248504585115341	1.70453750754304	0.0300319988939566	0.065744466197208	0.00795336046613663	0.0764275467144153	0.250581718122209	0.407498088116828	0.0336290054409304
ABCG2	7.69922482286922e-05	0.000226351812556011	0.00273682852208606	0.00200687285760638	0.0040151305545024	0.00157679987750565	0.00229702266802	0.00110094802349565	0.00986349052519787	0.000878750927880993	0.029411837763767	0.0651730867683923	0.000524617557042146	0.00233288021726046
ABCG4	0	0.000151491331969029	0	0	0	0	0	5.45222202325161e-05	0.000173011753150547	0	0	0	4.21401926190963e-06	0
ABCG5	7.41176437630835e-05	0.000412075039402085	0	0	0	0.000180323030509558	0.000338833087581463	0	0	4.67841106805503e-05	0.00553227373258196	0.00127563958114251	0.000219025291254322	0.00051578374650226
ABCG8	5.44322613815853e-05	0.00357001132044732	0	0	0.000266334580206584	0.000687617547665392	0	0.000247781930360401	0.000778503902020274	4.8516407409896e-05	0.000571630482399157	0.000481268022664835	0.000191341664572449	5.7118371793763e-05
ABHD10	0.191172081081277	0.0153097209147684	0.165918881062244	0.0689682356949027	0.0429809706477107	0.0292224690929159	0.6349206398662	0.11584011660577	0.0774178880342384	0.0035048759098583	0.421019220965087	0.127856871354624	0.0135705448113612	0.0418200142359613
ABHD11	0.00664362727433608	0.0154759770453525	0.00273989575027637	0.00173423352577787	0.0589022494084137	0.00199064980205946	0.000717699718023327	0.360194721268631	0.012043155542952	0.000484411845564095	0.0218525807924925	0.0362790236741871	0.00375571156519276	0.0182770256047331
ABHD12B	0.00183411516598972	0.0301559351695917	0.00508926800394966	0.0187638437429735	0.902028604944353	0.0271853854237324	0.021211221199745	0.0078845231806905	0.0457241101256985	0.0103381183687384	0.00924293893074688	0.0227994325896739	0.0396224747250958	0.010205252622341
ABHD12	1.77429243244978	0.0463924920827393	0.136771741118758	0.0558629446057371	0.0127686431988345	0.0690007481529673	0.237690102619727	1.13095504808264	0.225247128984532	0.122829196710272	0.295633329427085	0.304149303684338	0.294690350792323	0.0472429271411174
ABHD13	0.0337531512964258	0.0674428084799956	0.01033169207281	0.0441035228731533	0.00718156580217461	0.0340440175860567	0.0443676383802098	0.0304340520927238	0.0582118431677619	0.0734576921858517	0.856454897429242	0.00397804481752535	0.0632230457618632	0.068923977271459
ABHD14A	0.00995096297995004	0.00333439018319659	0.00173966068328984	0.00910081351611401	0.000512701018493114	0.00204322676782331	0.0154986591288963	0.0018893009923828	0.0113482951684742	0.00871779008599929	0.047326297498753	0.000189680870654332	1.33612086918941	0.0259083036511212
ABHD14B	0.0614819083425027	0.0555821282877904	0.00227287666217627	0.00810227540524552	0.341113647992194	0.0433986416112635	0.0405647729127455	0.0225372821481876	0.0375251488877844	0.0101905817812648	0.0688021274054219	0.0097576604827377	1.81150714463624	0.00521932134429152
ABHD15	0.0422382093937648	0.242000561052436	0.010398296434725	0.0193619269063802	0.0282954806754296	0.0149061314887092	0.030780987389475	0.159361120044116	0.0267108890165977	0.00861413637768352	0.062806037395616	0.00258523988921197	6.34360760806979	0.465413940929256
ABHD1	0.00541611956228278	0.0138384032893837	0.000804286036286698	0.000839140106691677	0.00177053551422172	0.0159181725418268	0.00221409416127091	0.0700237601368744	0.00916007454993203	0.00240051058154452	0.0171593508186413	0.00127027392443297	0.403226239716218	0.00986868146771447
ABHD2	0.0749199197798802	0.712768438406693	0.0521001939458803	0.546981598280503	0.341225104216839	0.0791254098070291	0.432783730068035	0.251753810854208	0.26918401062325	0.825843966984303	0.682256432777992	0.064829112759337	33.5135081406668	0.564255484839355
ABHD3	0.00231061127484039	0.139154993639154	0.00981825415724104	0.185117907612894	0.00797415246755692	0.203721265194927	0.0697298444151292	0.0984302426857048	0.0671791663110739	0.158387514937235	0.0914960293116147	0.0167316672654867	4.5404716418724	0.0367783071553264
ABHD4	0.0565301582835794	0.16040415787142	0.0209718215399321	0.0701859663673583	0.176695566509972	0.143928199198492	0.0362719883610115	0.490737834925844	0.0283434616873972	0.0243314278300844	0.189437044038545	0.0409398360086647	1.85685049459629	0.0218250404007542
ABHD5	0.0401337031531641	0.0480964882791008	0.0173560626610271	0.100314296670827	0.0297352941940153	0.792449024265043	0.179691039368262	4.62812094524716	0.122136010211857	0.0798533776143916	0.0772729441393685	0.0155685113939422	19.9788315239908	0.0465019721728741
ABHD6	0.00235401008084255	0.0154497390260749	0.00671807440143109	0.0252425601684622	0.00540810149922386	0.0434018795938512	0.00212143129781038	0.0945113011687482	0.0363571409528516	0.006049189960974	0.000990409660516523	0.0213996664306814	2.73812079991873	0.000925187704493754
ABHD8	0.0109812825722017	0.0127695283916352	0.0116824130820982	0.0015571595901543	0.0691034546499118	0.0355518488942489	0.0279767447096312	0.0151114569748065	0.11347601839324	0.00484470620518679	0.00935649334963179	0.208699404221013	1.00278307602741	0.0111420549256012
ABI1	0.0562418323089548	0.385705462264191	0.186255777481863	3.31907618380052	1.50592226247974	0.240329181557253	2.99455816008071	2.84174299545428	0.510498384237534	0.0379579913417037	0.125899032807185	0.267470120712351	55.4177078695479	0.763541932660676
ABI2	0.00305765818858857	0.0423316281382182	0.0531379453353568	0.0735929325040499	1.15217914076273	0.0878982266999778	0.000951314950377975	0.0957534706677047	0.0278062270355386	0.00390155269259144	0.0262311513362066	0.0266895501317731	2.59918794461976	0.0394357271977553
ABI3BP	0.0260433895773214	0.000501105840642836	0.000351432855139495	0.00665945197078015	0.0752468090884749	0.00258255686100117	0.00141270895643496	0.00924247879226867	0.00187426778406053	0.00535414052776622	0.00248480165638565	0.000337451369104362	0.890530339245161	0.00162727061631971
ABI3	0.00452939676776797	0.0159489209661568	0.00396840135702479	0.00299366372535962	0.321454368425965	0.208818914480887	0.00663463780346767	0.162924435647533	0.0251467185663615	0.0366913082942468	0.0106545115555111	0.00262027383225697	3.35727343024461	0.00294724619767765
ABL1	2.40199253120125	0.488321901075635	0.0956336802627267	0.118459188528711	7.0605585903898	0.7939979398139	0.445825162232187	0.110419839912237	0.35523291745071	0.062144895879117	0.77748900845105	0.0709460664794813	38.5707005799305	0.150657776567305
ABL2	0.19429806978037	0.0554979695245373	0.00933144469236041	0.16181331070236	5.74825423988679	0.0488593814026493	0.029688302575174	0.0529160510076862	0.127528493200905	0.0609499846271004	0.0333394335345507	0.0189992367564236	17.5317161755054	0.304641788144399
ABLIM1	0.263250389776149	0.320328617746426	0.012034270794022	0.388174335107862	0.598991993244329	0.0253528241457224	0.122768300975142	0.044382783459009	0.148430864919968	0.759489112743028	0.00371900209399215	0.0363675573802699	6.25305456736817	0.678086571714636
ABLIM2	0.00100076885790246	0.000233081137613609	0	0	0.000622480300063057	0.00343287949863758	0.00194455404738306	0.00242300343733211	0.00129793298637753	0.877029261612713	0.000114723106009592	0.00013001203244929	0.0441418262289928	0.000639421743591352
ABLIM3	0.00111966940691983	0.000654713245545677	0.00021786578863207	0.004008199726138	0.0584013879162041	0.00319910886198159	0.00526698096423102	0.0084591503447541	0.0021487576518349	0.00336461443923177	1.67896170577138e-05	0.00034875191551256	0.23435512581253	0.000462291471447306
ABO	0.00385651142815819	0.114396229373456	0	2.54446155996026e-05	0.317642700425563	0.036297299314266	0.175062499713154	0.0232180883166009	0.0990612722701151	0.019595760644821	0.0019445073123212	0.00214527554678444	4.9286800827455	0.109108442266255
ABRA	0.000184997867260336	0.0118374386318806	0.00699418660348145	0	0.00121248310701345	0.00726563398140155	0.0025425064655775	0.00117316505339197	0.00211381958287346	0.00719103870345612	0.000312039432626105	0.000213585354131872	0.991000428801026	0.00287198821954753
ABR	0.00172858014965553	10.1179263236833	0.157970622424404	0.0930170593129159	1.12443723550304	0.0753943522609717	0.166125948127595	2.52649030611379	0.602022832318596	1.96076155512023	0.110556422928668	0.0292675181436364	29.8914029932722	0.17230466608127
ABT1	0.00413412588948425	0.841129645625575	0.00317530725806424	0.000730362411191841	0.0110369853518899	0.0486084159223335	0.0126520864580678	0.12170770678852	0.060580315075836	0.0192750916608219	0.00992116752809351	0.00398563761947644	0.0151964982615518	0.016431165334264
ABTB1	0.00380657177068321	1.04427923354953	0.0126383029373604	0.0287546509264271	0.0326124812740413	0.227121621766989	0.480385949010073	0.322502552521414	0.41323059856318	0.131207367474245	0.305508555357462	0.465757991034282	0.25149039483149	0.0256140667824963
ABTB2	0.00834863007231816	2.23973543275642	0.0113602953229231	0.00150175918602322	0.0375124860593341	0.0655391499646752	0.0120532976521934	0.0673645154418491	0.0396710679353439	0.00197599380669506	0.0680627741527455	0.0716221380962167	0.00272070828775106	0.0320576020183681
ACAA1	0.6056628893667	0.155888899458223	0.168215505397461	0.0979445074858671	0.218344981435684	0.171264486353378	0.0590946088658588	0.103787831837326	0.262216649358454	0.0700292406353221	0.0430428247714172	0.220047673169904	0.0440108011362069	0.257250768105893
ACAA2	0.014111516193889	0.00370218445254976	0.00104919588733621	0.015750378609269	0.0433790811411966	0.0227859063878966	0.0869764944644234	0.314808336280776	0.149130786196208	0.0995943710468609	0.0168419482033216	0.0524582710724771	0.0125479016125466	0.168609610203128
ACACA	1.25087160584081	1.10487013506577	0.176444795919851	0.544331729584392	0.0867272878050004	0.113138784347857	1.05515066018169	0.292064143049332	0.739467086043799	0.173140515213901	0.0937099007237332	0.201066028144326	0.0220947317207313	1.1312070925762
ACACB	0.045060732150813	1.26655272528592	0.0397434299237134	0.0149190309566724	0.604060879024339	1.57392609942292	0.0811147585083223	0.0908947400698051	0.213841680989018	0.039167246670891	0.0147790890639186	0.470638323767709	0.52817528120189	0.770452248037768
ACAD10	0.0219900957600067	0.0115044696208831	0.175758733614201	0.0762632520640567	0.191285814566253	2.29420398631394	0.173712123170842	0.199943728875038	0.164459114009826	0.0729591051220487	0.631054603681388	0.217441506783353	0.0673831035228603	0.351673815535107
ACAD11	0.0757787399933368	0.175113564138672	1.81818222160457	0.364816709498062	0.00337327701265999	0.509678526516221	0.230693065836913	0.0352916697159933	0.133820263051795	0.0435900693754744	0.172321088154452	0.129307798903717	0.0338471977073127	0.00790323994528025
ACAD8	0.0905306568857748	0.0427837729241731	0.049934993935448	0.0383080296875511	0.0103997766233991	0.0690775941263019	0.235436134897013	2.63675569749425	0.212106147040711	0.170305005358658	0.233588260425445	0.101405892819491	0.0386533754630772	0.100226958782216
ACAD9	1.94332704426175	10.9074116705568	0.0146028668749458	0.145153839883852	0.0504490705805638	0.972976224561037	0.720946497135139	0.14410036826194	0.478804980214715	1.08959450213105	1.7123756000239	0.81940360747197	0.148444856819734	1.03410657256447
ACADL	0	1.41013777869096e-05	0	0	4.28943326779115e-07	0	0	0.000180510099279302	0	0	0	0	2.16438600789033e-05	0
ACADM	2.47749283694089	0.615803889009763	0.627370107150056	0.507397033035156	0.0614735927029945	0.46459383548452	0.960041768754327	0.191358271207985	0.485726277466188	0.275239015890822	0.311068455569303	0.0848844130393214	4.34034657960785	0.219110211599431
ACADSB	0.466705129998641	0.0494524139192846	0.0188362582371077	0.0614876520388495	0.0252224651339571	0.179731157580721	0.282552740209312	0.129270166502831	0.0983543229167237	0.43999785622134	0.00397898314725217	0.0384290701426647	0.396412136763721	0.237769200502946
ACADS	0.61327875164079	0.103357994371953	0.0117199685556197	0.00553470238918334	0.0134741174690954	0.0194688774259173	0.338223705950499	0.415974330239563	0.133604358571448	0.0643819207956605	0.00784091341708539	0.205769211342787	0.711024138247182	0.0406380225206606
