	2410163_BL	2450523_BL	2463247_BL	2247707_BL	2620771_BL	2430935_BL	2264225_BL	2297941_BL	2263055_BL	2150901_BL	2370233_BL	2502699_BL	2512641_BL	4128869_BL	4235533_BL	4259035_BL
AARS2	0.134636267255019	0.0325862971003815	1.307198720504	0.0445687332879104	0.0465875726270251	0.250043600766551	0.0426990702398499	0.053198646039846	0.81186751443523	1.04292236061162	0.0111378858776349	0.0646621652962763	0.0550218278513045	0.105898907245215	0.157109969664175	0.00485830663743965
AARSD1	0.0858850177891019	0.00159208130683938	0.155048932266789	0.129880008871294	0.0841625842543763	0.0663323572304849	0.0124882336574691	0.00935825262512888	0.219553456494659	0.111311714715917	0.0386806365305706	0.110212787596623	0.0386621887600254	0.00761056467163953	0.0707689171070417	0.0185857427163068
AASDHPPT	0.0432289126078351	0.0451352709641167	0.0912758279050146	0.0151523113955385	0.0358450824107289	0.0422005795173785	0.00855483081257451	0.0549724941861956	0.204279848515144	0.246487621588383	0.0140855548839098	0.0359491772315852	0.38250236187138	0.00732642789332325	0.0481662993321164	0.00811278280542539
AASDH	0.187133124317739	0.0261582208312277	0.0838782085689448	0.0305423045645142	0.0335792572782293	0.0568084893206743	0.00935601275112303	0.108163823531346	0.0690557536719133	0.463476526831424	0.0595647289243714	0.116774092415086	0.0366543966407742	0.0911849882563832	0.0188999325998731	0.748366277572821
AASS	0.00318866339202615	0.0114128912108906	0.213768810612371	0.0283811558282238	0.00276207429854106	0.0391723640904232	0.00522395681060922	0.00361602814739092	0.00392348899207232	2.23293151961848	0.00135413615564013	0.202932207597684	0.000245810665016842	0.00154909596685419	0.00026745321082637	0.010140623136471
AATF	0.21430649431333	0.300452890350146	0.291199018320729	0.269065758676154	0.0638525790093072	0.58593006469375	0.0932684254051184	1.43492698440067	0.250029860614649	2.11150277302164	0.212807890078636	0.0979166925782833	0.17015583805036	0.511188743165658	0.0829745497534053	0.101064106431053
AATK	0.00995508512063281	0.0124483988858559	0.0385798655697123	0.0173118420989955	0.0497384622249707	0.0698935835646323	0.000827783988392438	0.003203100051434	0.0309004022701781	0.012094945913879	0.000565182582160764	0.0246498282754697	0.0134231138794355	0.01946809463023	0.0310157236398447	0.00930569827773673
ABAT	0.0285799054851236	0.0213863729797375	0.0307121352634652	0.0440534410445936	0.0720986334860588	0.21211243706984	0.00211430298340507	0.0156127006263392	0.0412519973406348	0.0782708355059726	0.00384741319486967	0.0899319340532483	0.0399003715077362	0.0147702704903754	0.0102083179823576	0.0166987007634723
ABCA10	0.000389063413516869	0.00129433530573884	0.00462256461092916	0.000215219512765844	0.00192678593249747	0.0195590711381033	0.0118630380414367	0.0039866360250043	0.000671158329314954	0.0131428712988198	0.00208952305831523	0.00168191137884943	0.000930108780848009	0.000349193687063068	0.000248385646148661	0.000379245984212007
ABCA11P	0.000746698821554887	0.00113330049841038	0.00812756300611934	0.00318054976657182	0.000826082569075116	0.00176366354975724	0.00130795040989691	0.0100345875661247	0.0157940438209085	0.0451993051332491	0.00391651915584952	0.000883647771796986	0.000123909290409711	0.00613894465994457	0.000237134823102058	0.0446950199715419
ABCA12	3.87837936337814e-05	0.000808917678558905	0.00242218638438337	0.00127650811170155	0.00122020800344681	0	7.86006424329244e-05	1.29641166587198e-05	0.00868918580454233	0.00218033992052421	0.00029888842061877	7.47385256947169e-05	0.00159215595706247	0.000769423503894973	0.000896566700665994	0.00209387747955693
ABCA13	0.00117768563420542	0.261332985412958	0.856600349028553	0.196816088623169	0.0107045633528878	0.867395920637955	0.0746651842147555	0.00114946493643296	1.21231336722184	0.695830829669515	0.101479590461112	0.205089802030138	0.00522940879000691	0.00813332015850972	0.256575253063422	0.158393933711784
ABCA17P	4.04773374150056e-06	0.000323955864728386	0	5.07949143918157e-05	0	0	0	7.27264924630927e-06	0	1.73088051081197e-05	0	7.42472644012267e-05	2.40633165069928e-05	6.59413474109611e-05	2.12515611238197e-05	1.27096573948066e-05
