"source"	"target"
639638	784068
784740	784668
622546	784668
297924	801507
806036	805967
806034	805967
805967	806034
805967	806036
807477	807445
807477	807446
807477	807447
807477	807471
807471	807477
807445	807477
267	853039
2185	853049
2202	853050
30306	853423
30315	853424
30322	853425
30439	853497
267	853680
267	853693
267	853704
297924	853710
267	853755
267	853763
267	853767
33160	853858
2372	853871
2372	853880
2372	853883
33238	853902
33236	853904
33238	853905
33285	853906
2372	853946
267	853976
35044	854096
293	854396
36359	854674
36498	854714
36646	854761
36625	854768
36625	854770
36625	854771
36625	854773
36646	854775
36625	854782
36646	854784
36625	854787
36646	854788
36625	854792
36625	854795
36646	854798
36625	854802
36646	854804
36625	854807
36625	854810
36646	854812
36625	854819
36646	854820
36646	854831
36625	854837
36646	854838
36646	854841
36625	854858
36646	854862
36646	854865
36625	854870
36625	854876
36646	854878
36646	854885
36646	854889
36625	854890
36646	854891
36646	854892
36625	854894
36625	854905
36535	854911
36575	854912
36655	854913
36673	854914
36697	854915
37170	855104
37170	855109
37170	855112
37171	855116
37170	855122
37170	855128
37170	855139
37170	855219
37170	855225
130877	855236
37170	855239
37170	855241
37431	855298
37470	855363
37480	855364
37488	855372
37488	855374
37488	855376
37488	855378
37488	855395
37488	855403
37639	855457
37668	855458
37746	855594
286057	855634
37991	855707
38026	855708
38811	855876
38832	855911
38832	855915
38832	855942
38832	855950
3468	856018
39062	856208
40826	856404
40827	856406
40826	856408
40826	856425
40826	856427
40827	856436
40826	856440
40826	856443
40826	856446
42964	856676
42965	856677
45152	857023
10105	857024
309640	857163
1198	857196
51497	857638
51542	857644
51542	857646
51542	857648
51542	857649
51542	857651
51542	857725
52137	857934
333623	858194
184893	858710
58744	858888
58744	858889
58744	858890
58744	858897
58744	858907
58744	858918
58744	858953
58744	858956
58744	858959
58744	858963
58744	858964
59329	858993
59329	858999
59505	859007
59512	859008
59518	859009
59534	859010
61087	859279
61087	859281
61087	859283
61087	859285
61087	859289
61087	859292
61087	859293
61087	859294
61087	859295
61087	859296
61087	859297
61087	859298
61087	859299
61087	859300
61087	859301
61087	859302
61087	859303
61087	859309
61087	859310
61087	859311
61087	859312
61087	859314
61087	859315
61087	859316
61087	859317
61087	859318
61087	859320
61087	859321
61087	859323
61087	859324
61087	859325
61087	859326
61087	859327
61087	859329
61087	859331
61087	859332
61087	859333
61087	859334
61087	859335
61087	859336
61087	859338
61087	859339
61087	859342
61087	859344
61087	859345
61087	859346
61087	859347
61087	859349
61087	859352
61087	859355
61087	859358
61287	859359
61287	859363
61287	859364
61287	859365
61287	859366
61287	859367
61287	859368
61287	859369
470453	859460
5698	859902
5698	859905
5698	859918
5698	859967
5836	860060
419207	860088
448	860169
470453	860372
515	860445
515	860462
523	860463
515	860476
7068	860478
515	860492
507	860496
515	860497
515	860534
515	860558
515	860561
515	860565
590	860660
592	860661
592	860677
7892	860686
7992	860750
8083	860761
603	860766
8308	860827
8357	860828
8619	860829
8401	860843
8401	860844
8401	860852
8401	860857
8401	860859
8761	860941
9108	861101
9222	861105
9624	861135
9637	861136
9639	861137
9823	861258
9912	861259
