TF	size	nes	pval	pval.fdr
SIX5	11	-2.0658171419496	0.0388457488756375	0.752162942491134
ZNF226	12	-2.06136018278785	0.0392686905444453	0.752162942491134
TERF2	12	-2.05093504519005	0.0402732727358829	0.752162942491134
RARB	26	2.04923312345264	0.040439324568262	0.752162942491134
ZNF589	24	-2.04917762244766	0.0404447494084781	0.752162942491134
HOXA4	11	-2.04531078304942	0.0408242283032648	0.752162942491134
NR3C2	14	2.04369918567737	0.0409832737195769	0.752162942491134
ZNF471	22	-2.04358308405414	0.0409947518092811	0.752162942491134
TRAFD1	14	-2.0351513326955	0.0418356482233063	0.752162942491134
IRX3	3	-2.03354078541476	0.0419979173720656	0.752162942491134
ZFP1	18	-2.03297473025165	0.0420550760754638	0.752162942491134
ZNF175	28	-2.02908308845608	0.0424498281099827	0.752162942491134
PKNOX1	18	-2.02640784668775	0.042723007523198	0.752162942491134
E2F1	23	-2.02284303405079	0.0430893332775032	0.752162942491134
ZNF280B	24	2.00938774570183	0.0444960287929047	0.752162942491134
KLF14	2	2.00639147709088	0.0448144969310388	0.752162942491134
ZNF441	12	-2.00447328645362	0.0450193856988775	0.752162942491134
NR3C1	17	1.99625749574893	0.0459059020031103	0.752162942491134
ZNF627	16	-1.99311989003078	0.046248320497347	0.752162942491134
NFKB2	19	1.99154269300414	0.0464212564801357	0.752162942491134
ZNF667	10	-1.98275056773547	0.0473952980902912	0.752162942491134
STAT5A	12	1.98012390542193	0.0476896075989649	0.752162942491134
ZNF791	15	-1.9753087585756	0.0482331198984462	0.752162942491134
RAX2	12	-1.97308184809995	0.0484862379951262	0.752162942491134
TEF	13	1.95875699354728	0.0501412523229078	0.752162942491134
BPTF	13	-1.95259528506641	0.0508675702998783	0.752162942491134
ZNF620	19	-1.9524503465406	0.0508847606067213	0.752162942491134
ZNF800	18	1.93982519339651	0.0524009377890309	0.752162942491134
FOXP2	3	-1.9352085632837	0.0529647073404425	0.752162942491134
NFATC2	22	-1.93471671464847	0.0530250681161459	0.752162942491134
ZNF706	15	1.93222487857654	0.0533317557625252	0.752162942491134
FIZ1	15	-1.89753139789726	0.057757838906485	0.752162942491134
FOS	19	-1.89748908779431	0.0577634176411306	0.752162942491134
EBF4	13	1.89084968598662	0.0586444124350898	0.752162942491134
ZNF180	6	-1.89009308240675	0.0587455121317084	0.752162942491134
EPAS1	11	1.88313478130832	0.0596821047122926	0.752162942491134
ZNF134	21	-1.8818425421944	0.0598573976989453	0.752162942491134
ZNF565	14	-1.88163711544532	0.0598853032540969	0.752162942491134
ZNF202	19	-1.87910800650324	0.0602297471298293	0.752162942491134
TBX6	17	-1.87881666033478	0.0602695313785676	0.752162942491134
ETV3L	2	-1.87520614652717	0.0607643689072013	0.752162942491134
NFYA	27	-1.8704326948294	0.0614237552937892	0.752162942491134
TP53	10	-1.86589880257072	0.0620555251748496	0.752162942491134
ZNF500	16	-1.86507170410473	0.0621713541620262	0.752162942491134
ZNF132	22	-1.85747862716977	0.0632430891815447	0.752162942491134
MYBL1	57	-1.85163758266472	0.0640778824790366	0.752162942491134
E4F1	16	-1.8503778837998	0.0642591043285825	0.752162942491134
ATF1	13	1.84990036615394	0.064327911115932	0.752162942491134
ETV1	42	1.84436690165849	0.0651296875296369	0.752162942491134
L3MBTL4	23	1.84435681038628	0.0651311572089633	0.752162942491134
HOXA3	18	-1.84213168958946	0.0654558894416272	0.752162942491134
HOXA6	15	-1.83988257572676	0.0657854786640465	0.752162942491134
SOX12	12	1.83498397123229	0.0665080644533026	0.752162942491134
TCFL5	27	1.82889613889195	0.0674151687757159	0.752162942491134
VENTX	17	1.82665478411987	0.067751690712996	0.752162942491134
ZNF20	15	1.82610457920589	0.067834510589398	0.752162942491134
TBX1	15	1.81798935355606	0.0690657600141909	0.752162942491134
ZNF749	17	-1.81474979406364	0.0695623690552526	0.752162942491134
ZNF587	11	-1.81156707417447	0.0700531163303016	0.752162942491134
ZNF417	30	-1.80930621564143	0.0704034438935649	0.752162942491134
ZNF695	14	-1.80466138991796	0.0711276851639287	0.752162942491134
SREBF2	13	-1.79830965278085	0.0721279509196416	0.752162942491134
CEBPA	13	-1.79755082430756	0.0722482171523287	0.752162942491134
EOMES	44	1.79405332136313	0.0728046585095865	0.752162942491134
HSF1	14	-1.78894986798019	0.0736228895864238	0.752162942491134
ZNF697	14	-1.7816820052265	0.0748011029960235	0.752162942491134
CC2D1A	18	-1.77607652352504	0.0757203051185543	0.752162942491134
JDP2	17	-1.77462607934465	0.0759596481579256	0.752162942491134
ZNF382	19	-1.76844173720245	0.0769870842804975	0.752162942491134
ZNF554	15	-1.76798556125787	0.0770633175129929	0.752162942491134
ZNF682	11	-1.76332592679908	0.0778455349399992	0.752162942491134
CREM	17	1.76207402320389	0.0780567915872599	0.752162942491134
TGIF2	12	-1.76105257786363	0.0782295043720714	0.752162942491134
