node	agg	layer1	layer2	layer3	layer4
7184	275	0	186	116	0
18061	275	0	42	237	0
18062	275	0	30	245	0
6146	274	0	123	172	0
10501	274	0	69	222	0
12175	274	0	40	236	0
7895	273	0	229	65	0
8095	273	0	194	108	0
8173	273	0	282	0	0
7224	272	0	124	175	0
10504	272	0	151	148	0
11074	272	0	92	199	0
11499	272	0	28	257	0
13575	272	0	30	244	0
18060	272	0	35	239	0
6349	271	0	126	162	0
6504	271	0	122	169	0
7241	271	0	165	130	0
7901	271	0	198	91	0
8213	271	0	137	156	0
9748	271	0	166	138	0
9789	271	0	126	169	0
8021	270	0	184	110	0
11231	270	0	98	188	0
11688	270	0	60	222	0
7941	269	0	293	9	0
8208	269	0	235	61	0
8262	269	0	250	53	0
10029	269	0	88	200	0
12174	269	0	39	233	0
17661	269	0	22	249	0
7905	268	0	129	156	0
10338	268	0	104	180	0
12772	268	0	30	242	0
17636	268	0	31	238	0
7147	267	0	157	135	0
7668	267	0	292	0	0
7889	267	0	210	71	0
8257	267	0	213	78	0
11383	267	0	94	183	0
13070	267	0	27	240	0
16575	267	0	29	241	0
6973	266	0	231	53	0
7722	266	0	222	67	0
8216	266	0	130	156	0
10178	266	0	87	191	0
11443	266	0	182	113	0
13476	266	0	36	231	0
15832	266	0	20	246	0
6641	265	0	166	127	0
8079	265	0	139	143	0
8377	265	0	94	187	0
9634	265	0	71	200	0
10665	265	0	78	203	0
10963	265	0	115	171	0
11024	265	0	140	144	0
11042	265	0	72	206	0
17298	265	0	37	229	0
17568	265	0	31	234	0
7704	264	0	201	109	0
8226	264	0	248	22	0
8227	264	0	162	127	0
10763	264	0	142	153	0
13179	264	0	31	236	0
13477	264	0	28	237	0
16842	264	0	29	236	0
6544	263	0	104	170	0
7981	263	0	236	52	0
8878	263	0	74	203	0
13247	263	0	43	221	0
17270	263	0	38	227	0
6642	262	0	216	66	0
8056	262	0	287	2	0
7823	261	0	223	74	0
7875	261	0	180	106	0
8228	261	0	124	158	0
8447	261	0	92	184	0
9362	261	0	69	209	0
9804	261	0	103	179	0
15291	261	0	31	230	0
17292	261	0	48	214	0
18069	261	0	0	261	0
7736	260	0	179	95	0
8261	260	0	282	3	0
9414	260	0	45	224	0
10027	260	0	103	162	0
17649	260	0	24	239	0
18157	260	0	0	260	0
7658	259	0	231	52	0
7795	259	0	273	16	0
8253	259	0	214	71	0
8731	259	0	79	183	0
9637	259	0	145	131	0
9733	259	0	123	169	0
10532	259	0	49	221	0
11206	259	0	86	194	0
11821	259	0	21	239	0
12176	259	0	31	231	0
18057	259	0	14	246	0
18842	259	0	35	225	0
6754	258	0	130	146	0
7848	258	0	287	8	0
17297	258	0	40	220	0
17638	258	0	29	233	0
6269	257	0	115	158	0
7570	257	0	141	121	0
7861	257	0	274	19	0
7972	257	0	193	87	0
7974	257	0	207	77	0
7988	257	0	251	32	0
8002	257	0	266	11	0
8161	257	0	208	77	0
8852	257	0	80	185	0
9843	257	0	116	170	0
10175	257	0	108	170	0
10202	257	0	71	193	0
12172	257	0	24	234	0
13248	257	0	35	222	0
17650	257	0	28	232	0
18065	257	0	25	232	0
18153	257	0	27	231	0
18853	257	0	17	241	0
7777	256	0	272	0	0
7835	256	0	271	13	0
8205	256	0	288	0	0
9039	256	0	136	153	0
10960	256	0	52	215	0
11035	256	0	54	211	0
12178	256	0	25	232	0
13572	256	0	35	221	0
17428	256	0	43	216	0
6803	255	0	163	126	0
7733	255	0	192	74	0
7834	255	0	260	17	0
8086	255	0	268	15	0
8135	255	0	274	13	0
8218	255	0	128	144	0
8255	255	0	191	73	0
9111	255	0	91	169	0
10337	255	0	80	187	0
13245	255	0	29	228	0
6495	254	0	233	27	0
6692	254	0	176	106	0
10336	254	0	82	189	0
13246	254	0	33	222	0
16583	254	0	35	219	0
62652	254	0	0	0	254
7707	253	0	257	14	0
7893	253	0	281	5	0
8762	253	0	93	165	0
9107	253	0	86	187	0
9131	253	0	87	183	0
10498	253	0	83	191	0
11555	253	0	107	153	0
14971	253	0	41	213	0
63268	253	0	0	0	253
6864	252	0	92	172	0
7907	252	0	183	86	0
8172	252	0	142	129	0
8950	252	0	104	152	0
10280	252	0	38	221	0
10496	252	0	109	170	0
16578	252	0	34	219	0
7964	251	0	284	2	0
8008	251	0	268	4	0
8266	251	0	240	34	0
8805	251	0	150	111	0
12142	251	0	26	225	0
12703	251	0	24	231	0
7378	250	0	112	161	0
7718	250	0	269	4	0
8182	250	0	230	52	0
9041	250	0	127	144	0
10137	250	0	102	166	0
17641	250	0	16	237	0
17655	250	0	22	228	0
7690	249	0	207	51	0
7969	249	0	271	6	0
10278	249	0	77	187	0
10488	249	0	96	169	0
16574	249	0	28	222	0
17273	249	0	34	217	0
18154	249	0	0	249	0
6538	248	0	170	104	0
7047	248	0	185	95	0
7773	248	0	252	20	0
8285	248	0	143	132	0
14860	248	0	0	248	0
18150	248	0	23	225	0
8020	247	0	202	63	0
9767	247	0	70	189	0
10764	247	0	130	139	0
17272	247	0	32	216	0
62542	247	0	0	0	247
6767	246	0	80	180	0
8088	246	0	274	0	0
10078	246	0	55	200	0
10621	246	0	151	110	0
10660	246	0	130	129	0
10719	246	0	74	183	0
14907	246	0	27	222	0
