"Entrez" "group"
"272" "PRDM11" "IDH1"
"273" "RORC" "IDH1"
"274" "SH2D7" "IDH1"
"275" "EVI2B" "IDH1"
"276" "SLAMF7" "IDH1"
"277" "DNAJB2" "IDH1"
"278" "EPB41L4B" "IDH1"
"279" "TGIF2LY" "IDH1"
"280" "NAAA" "IDH1"
"281" "CLCN6" "IDH1"
"282" "CXCL5" "IDH1"
"283" "AMN1" "IDH1"
"284" "DCAF8L1" "IDH1"
"285" "ADAM22" "IDH1"
"286" "EVI5" "IDH1"
"287" "TRIM46" "IDH1"
"288" "ULK3" "IDH1"
"289" "MEGF8" "IDH1"
"290" "FRAT2" "IDH1"
"291" "TECPR2" "IDH1"
"292" "DST" "IDH1"
"293" "LPAR5" "IDH1"
"294" "WNT8B" "IDH1"
"295" "FGD4" "IDH1"
"296" "OSTC" "IDH1"
"297" "FOXE1" "IDH1"
"298" "PDZRN3" "IDH1"
"299" "ATP10D" "IDH1"
"300" "KLB" "IDH1"
"301" "DMXL2" "IDH1"
"302" "MEX3B" "IDH1"
"303" "SLC46A2" "IDH1"
"304" "SLC22A18" "IDH1"
"305" "INPP1" "IDH1"
"306" "MS4A7" "IDH1"
"307" "TMEM160" "IDH1"
"308" "CAMKK1" "IDH1"
"309" "FBXO16" "IDH1"
"310" "BCL6" "IDH1"
"311" "SNORD115-47" "IDH2"
"312" "C1QTNF1-AS1" "IDH2"
"313" "RNU6-1141P" "IDH2"
"314" "DCDC2C" "IDH2"
"315" "MYRFL" "IDH2"
"316" "OCIAD1-AS1" "IDH2"
"317" "ST7-AS2" "IDH2"
"318" "OR2X1P" "IDH2"
"319" "ZNF142" "IDH2"
"320" "TMEM161B" "IDH2"
"321" "NISCH" "IDH2"
"322" "TMEM176A" "IDH2"
"323" "C9orf72" "IDH2"
"324" "ARL5A" "IDH2"
"325" "PUS10" "IDH2"
"326" "MS4A14" "IDH2"
"327" "ZC3H7B" "IDH2"
"328" "MAPK8IP3" "IDH2"
"329" "GCG" "IDH2"
"330" "C18orf32" "IDH2"
"331" "RABL3" "IDH2"
"332" "GPR85" "IDH2"
"333" "DNAJC4" "IDH2"
"334" "ATE1" "IDH2"
"335" "IMMP1L" "IDH2"
"336" "SEPSECS" "IDH2"
"337" "ANKZF1" "IDH2"
"338" "TRABD" "IDH2"
"339" "SIDT2" "IDH2"
"340" "SAC3D1" "IDH2"
"341" "RNF212" "IDH2"
"342" "TTYH3" "IDH2"
"343" "CCDC47" "IDH2"
"344" "PUDP" "IDH2"
"345" "SLC35A3" "IDH2"
"346" "HPGD" "IDH2"
"347" "SLC5A12" "IDH2"
"348" "KLHL35" "IDH2"
"349" "RAB33B" "IDH2"
"350" "SPATA9" "IDH2"
"351" "TSC22D4" "IDH2"
"352" "ZMAT2" "IDH2"
"353" "ANKDD1A" "IDH2"
"354" "IGKV1-8" "IDH2"
"355" "PCSK1N" "IDH2"
"356" "RNF138" "IDH2"
"357" "ZNF277" "IDH2"
"358" "EID1" "IDH2"
"359" "CRTC1" "IDH2"
"360" "NMRAL1" "IDH2"
"361" "NBEAL1" "IDH2"
"362" "RSBN1" "IDH2"
"363" "TMEM64" "IDH2"
"364" "AGTR2" "IDH2"
"365" "SLC35B4" "IDH2"
"366" "ZCCHC9" "IDH2"
"367" "KRT83" "IDH2"
"368" "AGTRAP" "IDH2"
"369" "IGKV1D-13" "IDH2"
"370" "TMEFF1" "IDH2"
"371" "TMED4" "IDH2"
"372" "NUDT22" "IDH2"
"373" "LIN7C" "IDH2"
"374" "RGPD6" "IDH2"
"375" "CDK2AP2" "IDH2"
"376" "NTRK3" "IDH2"
"377" "DRG2" "IDH2"
"378" "IGHV2-26" "IDH2"
"379" "IGHV2-70D" "IDH2"
"380" "IGHV4-28" "IDH2"
"381" "IGHV4-31" "IDH2"
"382" "IGHV4-4" "IDH2"
"383" "IGHV4-61" "IDH2"
"384" "IGHV6-1" "IDH2"
"385" "ZSCAN16" "IDH2"
"386" "ARAP3" "IDH2"
"387" "GNAT3" "IDH2"
"388" "ANLN" "IDH2"
"389" "HNF1A" "IDH2"
"390" "GPR50" "IDH2"
"391" "SENP2" "IDH2"
"392" "DNTTIP2" "IDH2"
"393" "OSTF1" "IDH2"
"394" "IGSF5" "IDH2"
"395" "DEFB116" "IDH2"
"396" "PTCH2" "IDH2"
"397" "SPRR2G" "IDH2"
"398" "ZNF66" "IDH2"
"399" "ZNF723" "IDH2"
"400" "SH3BP5" "IDH2"
"401" "FAM91A1" "IDH2"
"402" "DCDC2B" "IDH2"
"403" "MTFR1" "IDH2"
"404" "RNF214" "IDH2"
"405" "DNAL1" "IDH2"
"406" "RASGRF2" "IDH2"
"407" "TEAD1" "IDH2"
"408" "NPR1" "IDH2"
"409" "CDC42BPG" "IDH2"
"410" "SH3BGRL" "IDH2"
"411" "NDST2" "IDH2"
"412" "DEAF1" "IDH2"
"413" "ANKRD13C" "IDH2"
"414" "TMEM104" "IDH2"
"415" "ABHD10" "IDH2"
"416" "RBM18" "IDH2"
"417" "GRIK5" "IDH2"
"418" "LMBR1" "IDH2"
"419" "SERINC4" "IDH2"
"420" "GAS2L1" "IDH2"
"421" "PTGDS" "IDH2"
"422" "MSX2" "IDH2"
"423" "NAA25" "IDH2"
"424" "SNORD115-1" "IDH2"
"425" "PHLDA2" "IDH2"
"426" "IRAK3" "IDH2"
"427" "NIPSNAP3B" "IDH2"
"428" "GPR34" "IDH2"
"429" "RPAIN" "IDH2"
"430" "COBL" "IDH2"
"431" "LRIT1" "IDH2"
"432" "ARHGAP5" "IDH2"
"433" "SNX20" "IDH2"
"434" "ZNF653" "IDH2"
"435" "GLI4" "IDH2"
"436" "LMBR1L" "IDH2"
"437" "EGR4" "IDH2"
"438" "HCAR2" "IDH2"
"439" "PACS2" "IDH2"
"440" "PSPC1" "IDH2"
"441" "GHDC" "IDH2"
"442" "EDC4" "IDH2"
"443" "NDFIP2" "IDH2"
"444" "DGKQ" "IDH2"
"445" "CAB39" "IDH2"
"446" "ST18" "IDH2"
"447" "GNG8" "IDH2"
"448" "ZNF329" "IDH2"
"449" "TAF6L" "IDH2"
"450" "BAIAP2L2" "IDH2"
"451" "ELP2" "IDH2"
"452" "C18orf25" "IDH2"
"453" "PDPN" "IDH2"
"454" "IGHA2" "IDH2"
"455" "ZNF771" "IDH2"
"456" "IFNL3" "IDH2"
"457" "SPN" "IDH2"
"458" "CIAO3" "IDH2"
"459" "OPN1MW3" "IDH2"
"460" "SCAMP1" "IDH2"
"461" "CARNMT1" "IDH2"
"462" "TAFA5" "IDH2"
"463" "ACKR2" "IDH2"
"464" "SPAG16" "IDH2"
"465" "BTBD2" "IDH2"
"466" "HTRA4" "IDH2"
"467" "NEUROG3" "IDH2"
"468" "GRAP" "IDH2"
"469" "PPP1R16A" "IDH2"
"470" "POFUT1" "IDH2"
"471" "ARHGEF17" "IDH2"
"472" "SPINT1" "IDH2"
"473" "KALRN" "IDH2"
"474" "FIGN" "IDH2"
"475" "HSPE1-MOB4" "IDH2"
"476" "MOB3B" "IDH2"
"477" "MOB3C" "IDH2"
"478" "SSTR5" "IDH2"
"479" "CCR10" "IDH2"
"480" "LANCL1" "IDH2"
"481" "TMEM106A" "IDH2"
"482" "CETN3" "IDH2"
"483" "TBXA2R" "IDH2"
"484" "ZNF780A" "IDH2"
"485" "CCR4" "IDH2"
"486" "ADAMTS13" "IDH2"
"487" "PLGRKT" "IDH2"
