"Entrez" "group"
"210" "GTPBP3" "Responder"
"211" "S100A12" "Responder"
"212" "ETAA1" "Responder"
"213" "CFHR1" "Responder"
"214" "SLC25A21" "Responder"
"215" "KRTAP4-5" "Responder"
"216" "SLC25A16" "Responder"
"217" "THAP4" "Responder"
"218" "CCDC18" "Responder"
"219" "OAS2" "Responder"
"220" "WDR35" "Responder"
"221" "HSDL1" "Responder"
"222" "DENND4C" "Responder"
"223" "FGL2" "Responder"
"224" "PKP4" "Responder"
"225" "GPR137" "Responder"
"226" "MTO1" "Responder"
"227" "NUCB2" "Responder"
"228" "MYO1B" "Responder"
"229" "PROCR" "Responder"
"230" "ASRGL1" "Responder"
"231" "WDR93" "Responder"
"232" "GOLGA1" "Responder"
"233" "KIAA0040" "Responder"
"234" "MRFAP1" "Responder"
"235" "LILRA1" "Responder"
"236" "IQCH" "Responder"
"237" "NIPA2" "Responder"
"238" "PODXL" "Responder"
"239" "IQSEC2" "Responder"
"240" "PON2" "Responder"
"241" "SLFNL1" "Responder"
"242" "WDR72" "Responder"
"243" "CCDC125" "Responder"
"244" "TMEM163" "Responder"
"245" "ANXA2P2" "Responder"
"246" "RELL2" "Responder"
"247" "TSKU" "Responder"
"248" "LMBRD2" "Responder"
"249" "ATMIN" "Responder"
"250" "ARMC10" "Responder"
"251" "IFT74" "Responder"
"252" "ABCB9" "Responder"
"253" "MYL3" "Responder"
"254" "SV2A" "Responder"
"255" "INSC" "Responder"
"256" "TRAF3IP1" "Responder"
"257" "NALCN" "Responder"
"258" "C11orf65" "Responder"
"259" "KMO" "Responder"
"260" "HBA2" "Responder"
"261" "TTC23" "Responder"
"262" "PCTP" "Responder"
"263" "INHBB" "Responder"
"264" "PRSS53" "Responder"
"265" "RPGRIP1" "Responder"
"266" "WNT10A" "Responder"
"267" "TMEM98" "Responder"
"268" "CAPN2" "Responder"
"269" "AKAP6" "Responder"
"270" "PGLYRP3" "Responder"
"271" "XKR3" "Responder"
"272" "FCN1" "Responder"
"273" "MFAP3" "Responder"
"274" "SCFD2" "Responder"
"275" "N4BP1" "Responder"
"276" "FBN3" "Responder"
"277" "CSTL1" "Responder"
"278" "AMIGO1" "Responder"
"279" "KCNMB1" "Responder"
"280" "UHMK1" "Responder"
"281" "TRIM11" "Responder"
"282" "SCHIP1" "Responder"
"283" "CRLS1" "Responder"
"284" "UBTD1" "Responder"
"285" "ELAVL3" "Responder"
"286" "IFT81" "Responder"
"287" "OASL" "Responder"
"288" "KEL" "Responder"
"289" "CASD1" "Responder"
"290" "PLEKHH2" "Responder"
"291" "BTBD3" "Responder"
"292" "RHBDL3" "Responder"
"293" "SLC5A4" "Responder"
"294" "ZNF263" "Responder"
"295" "DMPK" "Responder"
"296" "LARS2" "Responder"
"297" "GCC1" "Responder"
"298" "RNF166" "Responder"
"299" "SCARA3" "Responder"
"300" "OXR1" "Responder"
"301" "CD1C" "Responder"
"302" "TEKT1" "Responder"
"303" "IL34" "Responder"
"304" "GUCA2B" "Responder"
"305" "DHX29" "Responder"
"306" "EPN3" "Responder"
"307" "SERPINA10" "Responder"
"308" "TM4SF18" "Responder"
"309" "PRUNE2" "Responder"
"310" "EPB41L4A" "Responder"
"311" "PLEK2" "Responder"
"312" "PCDHGA7" "Responder"
"313" "FBP1" "Responder"
"314" "GXYLT1" "Responder"
"315" "REEP6" "Responder"
"316" "TMPRSS11D" "Responder"
"317" "SAMD4A" "Responder"
"318" "PLOD1" "Responder"
"319" "WDR6" "Responder"
"320" "GPR151" "Responder"
"321" "AMIGO2" "Responder"
"322" "SPIN4" "Responder"
"323" "C1QTNF7" "Responder"
"324" "SCG3" "Responder"
"325" "HSF2BP" "Responder"
"326" "DMKN" "Responder"
"327" "SLC25A42" "Responder"
"328" "PAAF1" "Responder"
"329" "SPAST" "Responder"
"330" "SHF" "Responder"
"331" "ADARB1" "Responder"
"332" "PPT2-EGFL8" "Non Responder"
"333" "SNORD115-47" "Non Responder"
"334" "SPATA42" "Non Responder"
"335" "MROH6" "Non Responder"
"336" "LRRC73" "Non Responder"
"337" "RPL21P129" "Non Responder"
"338" "SMIM6" "Non Responder"
"339" "GUSBP11" "Non Responder"
"340" "EFCAB6-AS1" "Non Responder"
"341" "COLCA1" "Non Responder"
"342" "APOBEC3B-AS1" "Non Responder"
"343" "KCNAB1-AS2" "Non Responder"
"344" "HPN-AS1" "Non Responder"
"345" "DCDC2C" "Non Responder"
"346" "FRRS1L" "Non Responder"
"347" "ST7-AS2" "Non Responder"
"348" "RNU7-55P" "Non Responder"
"349" "HOXB-AS2" "Non Responder"
"350" "RNU6-233P" "Non Responder"
"351" "RNU6-1180P" "Non Responder"
"352" "OR2X1P" "Non Responder"
"353" "TMEM260" "Non Responder"
"354" "GRM5-AS1" "Non Responder"
"355" "ZNF783" "Non Responder"
"356" "CAPN15" "Non Responder"
"357" "TTLL5" "Non Responder"
"358" "CHN2" "Non Responder"
"359" "ARHGEF17" "Non Responder"
"360" "ZBTB48" "Non Responder"
"361" "GLI4" "Non Responder"
"362" "BMP2" "Non Responder"
"363" "NMBR" "Non Responder"
"364" "PRKAR2A" "Non Responder"
"365" "ZNF653" "Non Responder"
"366" "OR2T8" "Non Responder"
"367" "MAPK15" "Non Responder"
"368" "PRDM14" "Non Responder"
"369" "OR52N2" "Non Responder"
"370" "ASCC2" "Non Responder"
"371" "CIDEB" "Non Responder"
"372" "ZFP91" "Non Responder"
"373" "ADNP2" "Non Responder"
"374" "FNDC1" "Non Responder"
"375" "CCND2" "Non Responder"
"376" "C1D" "Non Responder"
"377" "ZNF385D" "Non Responder"
"378" "TULP3" "Non Responder"
"379" "LYL1" "Non Responder"
"380" "SFMBT1" "Non Responder"
"381" "SPRYD3" "Non Responder"
"382" "SOX13" "Non Responder"
"383" "IGHMBP2" "Non Responder"
"384" "S100A11" "Non Responder"
"385" "ZDHHC24" "Non Responder"
"386" "HOXB7" "Non Responder"
"387" "LACTB" "Non Responder"
"388" "ZNF462" "Non Responder"
"389" "APBB2" "Non Responder"
"390" "RABL3" "Non Responder"
"391" "CALCRL" "Non Responder"
"392" "ZNF784" "Non Responder"
"393" "KRT83" "Non Responder"
"394" "EIF4EBP2" "Non Responder"
"395" "PTPN22" "Non Responder"
"396" "ADIPOR1" "Non Responder"
"397" "CEACAM6" "Non Responder"
"398" "WDR41" "Non Responder"
"399" "SCRN3" "Non Responder"
"400" "PCDHGC5" "Non Responder"
"401" "TAS2R38" "Non Responder"
"402" "BTG1" "Non Responder"
"403" "RNF138" "Non Responder"
"404" "LZTS2" "Non Responder"
"405" "ERF" "Non Responder"
"406" "ZFYVE21" "Non Responder"
"407" "NTSR2" "Non Responder"
"408" "PRKG1" "Non Responder"
"409" "GPR88" "Non Responder"
"410" "GAL" "Non Responder"
"411" "MFSD3" "Non Responder"
"412" "WLS" "Non Responder"
"413" "SLC35B4" "Non Responder"
"414" "ZNF598" "Non Responder"
"415" "PROKR2" "Non Responder"
"416" "TMEM176A" "Non Responder"
"417" "ST18" "Non Responder"
"418" "ARL4A" "Non Responder"
"419" "PUS10" "Non Responder"
"420" "UNC5D" "Non Responder"
"421" "DNASE1L2" "Non Responder"
"422" "RCOR2" "Non Responder"
"423" "TBX3" "Non Responder"
"424" "CATSPER2" "Non Responder"
"425" "GABPB2" "Non Responder"
"426" "DFFB" "Non Responder"
"427" "NDST2" "Non Responder"
"428" "DPP7" "Non Responder"
"429" "FOXF1" "Non Responder"
"430" "MORN2" "Non Responder"
"431" "CYTH2" "Non Responder"
"432" "SSX3" "Non Responder"
"433" "GPSM1" "Non Responder"
"434" "EID1" "Non Responder"
"435" "ZFPL1" "Non Responder"
"436" "OTUD7B" "Non Responder"
"437" "IFI44L" "Non Responder"
"438" "CDC42BPA" "Non Responder"
"439" "ATOH1" "Non Responder"
"440" "CDCA7" "Non Responder"
"441" "GPR27" "Non Responder"
"442" "GLIS2" "Non Responder"
"443" "NFE2L3" "Non Responder"
"444" "BAP1" "Non Responder"
"445" "PDGFC" "Non Responder"
"446" "TMEM64" "Non Responder"
"447" "EGR4" "Non Responder"
"448" "OR2G6" "Non Responder"
"449" "DNAL1" "Non Responder"
"450" "OXTR" "Non Responder"
"451" "CXXC5" "Non Responder"
"452" "ADRA2A" "Non Responder"
"453" "FIBP" "Non Responder"
"454" "ZSCAN4" "Non Responder"
"455" "SAMD8" "Non Responder"
"456" "GNAT3" "Non Responder"
"457" "TSSC4" "Non Responder"
"458" "DAB1" "Non Responder"
"459" "FAM193B" "Non Responder"
"460" "CXCL2" "Non Responder"
"461" "ZBED3" "Non Responder"
"462" "NOTCH3" "Non Responder"
"463" "ZBTB14" "Non Responder"
"464" "HOXD9" "Non Responder"
"465" "DNTTIP2" "Non Responder"
"466" "ARHGAP33" "Non Responder"
"467" "CIZ1" "Non Responder"
"468" "C18orf32" "Non Responder"
"469" "TBXT" "Non Responder"
"470" "ZDHHC2" "Non Responder"
"471" "EVI5L" "Non Responder"
"472" "OR13D1" "Non Responder"
"473" "MTNR1A" "Non Responder"
"474" "TACR2" "Non Responder"
"475" "AZI2" "Non Responder"
"476" "OR56B1" "Non Responder"
"477" "SLC14A2" "Non Responder"
"478" "OR10G8" "Non Responder"
"479" "LRRC2" "Non Responder"
"480" "IGF2" "Non Responder"
"481" "NTRK3" "Non Responder"
"482" "PLAGL2" "Non Responder"
"483" "OR10H1" "Non Responder"
"484" "CCNL2" "Non Responder"
"485" "SLC38A11" "Non Responder"
"486" "CSNK1A1L" "Non Responder"
"487" "CDKN1C" "Non Responder"
"488" "PPP1R1A" "Non Responder"
"489" "TUSC3" "Non Responder"
"490" "ARHGAP32" "Non Responder"
"491" "RORC" "Non Responder"
"492" "P2RY6" "Non Responder"
"493" "HMG20B" "Non Responder"
"494" "TSHR" "Non Responder"
"495" "SLC13A4" "Non Responder"
"496" "ZFAND6" "Non Responder"
"497" "OR2L3" "Non Responder"
"498" "OR7C2" "Non Responder"
"499" "LEPR" "Non Responder"
"500" "GPR17" "Non Responder"
"501" "AHRR" "Non Responder"
"502" "CEACAM21" "Non Responder"
"503" "TBX21" "Non Responder"
"504" "CREM" "Non Responder"
"505" "AVPR1B" "Non Responder"
"506" "KCNE1" "Non Responder"
"507" "OR13C3" "Non Responder"
"508" "NMRAL1" "Non Responder"
"509" "BIRC7" "Non Responder"
"510" "CTRL" "Non Responder"
"511" "LHB" "Non Responder"
"512" "SEPTIN5" "Non Responder"
"513" "ZNF496" "Non Responder"
"514" "CRHBP" "Non Responder"
"515" "ZNF14" "Non Responder"
"516" "FSD1" "Non Responder"
"517" "E4F1" "Non Responder"
"518" "NTSR1" "Non Responder"
"519" "GDF15" "Non Responder"
"520" "OPRD1" "Non Responder"
"521" "BDKRB2" "Non Responder"
"522" "ZBTB46" "Non Responder"
"523" "FOXN2" "Non Responder"
"524" "IL21" "Non Responder"
"525" "NFATC4" "Non Responder"
"526" "ZBTB17" "Non Responder"
"527" "ACVR1B" "Non Responder"
"528" "ZC3H12C" "Non Responder"
"529" "ZNF500" "Non Responder"
"530" "ATE1" "Non Responder"
"531" "POU1F1" "Non Responder"
"532" "GABRB2" "Non Responder"
"533" "CCR4" "Non Responder"
"534" "TBX18" "Non Responder"
"535" "RAP2C" "Non Responder"
"536" "OR52B6" "Non Responder"
"537" "FOXH1" "Non Responder"
"538" "PTCH2" "Non Responder"
"539" "TOM1L2" "Non Responder"
"540" "SLC6A13" "Non Responder"
"541" "ELF3" "Non Responder"
"542" "CCKBR" "Non Responder"
"543" "P2RX3" "Non Responder"
"544" "ZNF579" "Non Responder"
"545" "ZNF207" "Non Responder"
"546" "SORBS1" "Non Responder"
"547" "EYA1" "Non Responder"
"548" "RAX2" "Non Responder"
"549" "MYPOP" "Non Responder"
"550" "SPRED1" "Non Responder"
"551" "STK10" "Non Responder"
"552" "CXCL16" "Non Responder"
"553" "BARX2" "Non Responder"
"554" "DRD2" "Non Responder"
"555" "CCR3" "Non Responder"
"556" "RND1" "Non Responder"
"557" "ZNF76" "Non Responder"
"558" "RC3H2" "Non Responder"
"559" "TEP1" "Non Responder"
"560" "TRPC3" "Non Responder"
"561" "SSTR1" "Non Responder"
"562" "OR5C1" "Non Responder"
"563" "CCL27" "Non Responder"
"564" "RFXANK" "Non Responder"
"565" "TMEM9B" "Non Responder"
"566" "OR5K2" "Non Responder"
"567" "CRTC1" "Non Responder"
"568" "CCR8" "Non Responder"
"569" "GRIK5" "Non Responder"
"570" "FZD10" "Non Responder"
"571" "DNTTIP1" "Non Responder"
"572" "PPIC" "Non Responder"
"573" "SRGAP1" "Non Responder"
"574" "GIGYF1" "Non Responder"
"575" "MCHR2" "Non Responder"
"576" "ZNF497" "Non Responder"
"577" "DAB2IP" "Non Responder"
"578" "TFPT" "Non Responder"
"579" "OR4N2" "Non Responder"
"580" "CCR7" "Non Responder"
"581" "WIZ" "Non Responder"
"582" "KIR2DL3" "Non Responder"
"583" "CCL26" "Non Responder"
"584" "ZNF628" "Non Responder"
"585" "OR2L8" "Non Responder"
"586" "FASTK" "Non Responder"
"587" "ASB11" "Non Responder"
"588" "OR4A15" "Non Responder"
"589" "RABL2B" "Non Responder"
"590" "DNAJC4" "Non Responder"
"591" "PEX11B" "Non Responder"
"592" "RIBC2" "Non Responder"
"593" "USP21" "Non Responder"
"594" "GPR37L1" "Non Responder"
"595" "RASGRP1" "Non Responder"
"596" "PRDM8" "Non Responder"
"597" "AIFM3" "Non Responder"
"598" "DHRS13" "Non Responder"
"599" "GFI1B" "Non Responder"
"600" "TIAM2" "Non Responder"
"601" "ADAM17" "Non Responder"
"602" "HLF" "Non Responder"
"603" "OR2L13" "Non Responder"
"604" "TRPV1" "Non Responder"
"605" "HTR2A" "Non Responder"
"606" "PMAIP1" "Non Responder"
"607" "DLX4" "Non Responder"
"608" "SLC5A12" "Non Responder"
"609" "OR4Q3" "Non Responder"
"610" "SAG" "Non Responder"
"611" "NAB1" "Non Responder"
"612" "CALCA" "Non Responder"
"613" "INSRR" "Non Responder"
"614" "OR2Z1" "Non Responder"
"615" "ZHX1" "Non Responder"
"616" "CCR1" "Non Responder"
"617" "PLK2" "Non Responder"
"618" "CNR2" "Non Responder"
"619" "SPACA1" "Non Responder"
"620" "TGFB3" "Non Responder"
"621" "PTRH1" "Non Responder"
"622" "FOXG1" "Non Responder"
"623" "DCC" "Non Responder"
"624" "NKIRAS1" "Non Responder"
"625" "CDK5R1" "Non Responder"
"626" "JAG2" "Non Responder"
"627" "MPP7" "Non Responder"
"628" "PTOV1" "Non Responder"
"629" "CPE" "Non Responder"
"630" "ZNF764" "Non Responder"
"631" "ZFAND2B" "Non Responder"
"632" "CBX2" "Non Responder"
"633" "C9orf64" "Non Responder"
"634" "MC4R" "Non Responder"
"635" "PBXIP1" "Non Responder"
"636" "FTMT" "Non Responder"
"637" "TET1" "Non Responder"
"638" "ERO1A" "Non Responder"
"639" "SVOP" "Non Responder"
"640" "HNF1A" "Non Responder"
"641" "ZSCAN5A" "Non Responder"
"642" "CALCR" "Non Responder"
"643" "OR2G3" "Non Responder"
"644" "NR2E3" "Non Responder"
"645" "ZNF277" "Non Responder"
"646" "SAGE1" "Non Responder"
"647" "TNFSF15" "Non Responder"
"648" "ELN" "Non Responder"
"649" "IFNA8" "Non Responder"
"650" "GUCY2F" "Non Responder"
"651" "OXER1" "Non Responder"
"652" "RTKN" "Non Responder"
"653" "HRH3" "Non Responder"
"654" "BMP4" "Non Responder"
"655" "CXXC1" "Non Responder"
"656" "OR52D1" "Non Responder"
"657" "OR52N5" "Non Responder"
"658" "SSTR3" "Non Responder"
"659" "KIR2DL1" "Non Responder"
"660" "MAP4K2" "Non Responder"
"661" "OR4F5" "Non Responder"
"662" "ETS1" "Non Responder"
"663" "DND1" "Non Responder"
"664" "RHBDL1" "Non Responder"
"665" "CSNK1G3" "Non Responder"
"666" "HHEX" "Non Responder"
"667" "ASB18" "Non Responder"
"668" "ZNF800" "Non Responder"
"669" "RNF214" "Non Responder"
"670" "CCL25" "Non Responder"
"671" "SRFBP1" "Non Responder"
"672" "ADM" "Non Responder"
"673" "THPO" "Non Responder"
"674" "GRIA4" "Non Responder"
"675" "RANBP6" "Non Responder"
"676" "CCDC85B" "Non Responder"
"677" "MBD3L1" "Non Responder"
"678" "SENP5" "Non Responder"
"679" "RGS7" "Non Responder"
"680" "ZDHHC8" "Non Responder"
"681" "SATB2" "Non Responder"
"682" "ANGPTL3" "Non Responder"
"683" "ZBTB2" "Non Responder"
"684" "IL23R" "Non Responder"
"685" "CHMP5" "Non Responder"
"686" "FZD3" "Non Responder"
"687" "GHDC" "Non Responder"
"688" "PPM1L" "Non Responder"
"689" "CTRC" "Non Responder"
"690" "RORB" "Non Responder"
"691" "TGIF2" "Non Responder"
"692" "GABRP" "Non Responder"
"693" "TMEM41B" "Non Responder"
"694" "PRMT7" "Non Responder"
"695" "ZNF134" "Non Responder"
"696" "DEAF1" "Non Responder"
"697" "KIT" "Non Responder"
"698" "GEM" "Non Responder"
"699" "EPOR" "Non Responder"
"700" "EPC2" "Non Responder"
"701" "GRIN2D" "Non Responder"
"702" "S100A4" "Non Responder"
"703" "OR2A12" "Non Responder"
"704" "GNG7" "Non Responder"
"705" "MSX1" "Non Responder"
"706" "TBC1D16" "Non Responder"
"707" "CCDC47" "Non Responder"
"708" "OR10Q1" "Non Responder"
"709" "OR2T35" "Non Responder"
"710" "CCL13" "Non Responder"
"711" "DGKI" "Non Responder"
"712" "NMUR1" "Non Responder"
"713" "PPM1K" "Non Responder"
"714" "GRM3" "Non Responder"
"715" "ADCYAP1" "Non Responder"
"716" "ZNF574" "Non Responder"
"717" "SPATA9" "Non Responder"
"718" "ARL9" "Non Responder"
"719" "LENG8" "Non Responder"
"720" "OR6F1" "Non Responder"
"721" "HCAR3" "Non Responder"
"722" "PTGIS" "Non Responder"
"723" "RAB34" "Non Responder"
"724" "GRM8" "Non Responder"
"725" "KREMEN1" "Non Responder"
"726" "HIPK2" "Non Responder"
"727" "KCTD20" "Non Responder"
"728" "FOXL1" "Non Responder"
"729" "OR51Q1" "Non Responder"
"730" "STK38L" "Non Responder"
"731" "AGTR2" "Non Responder"
"732" "DENND5B" "Non Responder"
"733" "ZNF280B" "Non Responder"
"734" "TEAD3" "Non Responder"
"735" "NEDD4" "Non Responder"
"736" "OR51M1" "Non Responder"
"737" "TLK1" "Non Responder"
"738" "GUCA1A" "Non Responder"
"739" "TATDN1" "Non Responder"
"740" "SHARPIN" "Non Responder"
"741" "SCML2" "Non Responder"
"742" "P2RY2" "Non Responder"
"743" "CHRNB3" "Non Responder"
"744" "GPR50" "Non Responder"
"745" "EPHA7" "Non Responder"
"746" "NPHS1" "Non Responder"
"747" "SEMA3D" "Non Responder"
"748" "IQGAP3" "Non Responder"
"749" "OR1L8" "Non Responder"
"750" "ZNF71" "Non Responder"
"751" "CCR10" "Non Responder"
"752" "SPOCK1" "Non Responder"
"753" "GCM1" "Non Responder"
"754" "NRXN1" "Non Responder"
"755" "HESX1" "Non Responder"
"756" "ZBED1" "Non Responder"
"757" "ERGIC2" "Non Responder"
"758" "PBX1" "Non Responder"
"759" "MLX" "Non Responder"
"760" "GRM6" "Non Responder"
"761" "HAND2" "Non Responder"
"762" "NPY2R" "Non Responder"
"763" "PYGO2" "Non Responder"
"764" "LEMD2" "Non Responder"
"765" "ZNF394" "Non Responder"
"766" "CXCL3" "Non Responder"
"767" "ZFP41" "Non Responder"
"768" "ZNF425" "Non Responder"
"769" "OR51B2" "Non Responder"
"770" "RASSF2" "Non Responder"
"771" "SNX27" "Non Responder"
"772" "NHS" "Non Responder"
"773" "ADRB1" "Non Responder"
"774" "ROS1" "Non Responder"
"775" "GP1BA" "Non Responder"
"776" "MOGS" "Non Responder"
"777" "FAM181B" "Non Responder"
"778" "TMC5" "Non Responder"
"779" "ZNF41" "Non Responder"
"780" "ZNF785" "Non Responder"
"781" "OTUD1" "Non Responder"
"782" "NRIP1" "Non Responder"
"783" "ETV3L" "Non Responder"
"784" "HOXB5" "Non Responder"
"785" "TRIM63" "Non Responder"
"786" "BMP7" "Non Responder"
"787" "KRT28" "Non Responder"
"788" "OR10A7" "Non Responder"
"789" "OR11H1" "Non Responder"
"790" "ZNF346" "Non Responder"
"791" "ERC1" "Non Responder"
"792" "IL17RD" "Non Responder"
"793" "HPCA" "Non Responder"
"794" "PIM2" "Non Responder"
"795" "SH3GL3" "Non Responder"
"796" "TBX2" "Non Responder"
"797" "OR2A4" "Non Responder"
"798" "REM1" "Non Responder"
"799" "MRGPRX1" "Non Responder"
"800" "OR2T33" "Non Responder"
"801" "GPR183" "Non Responder"
"802" "ARFIP2" "Non Responder"
"803" "NOC2L" "Non Responder"
"804" "ARHGEF28" "Non Responder"
"805" "VGLL4" "Non Responder"
"806" "GZMB" "Non Responder"
"807" "ASB16" "Non Responder"
"808" "OR5AU1" "Non Responder"
"809" "DNASE1L1" "Non Responder"
"810" "ATF5" "Non Responder"
